date,text,state,query_term
2020-04-29 23:37:14+00:00,*Wishing I was there but having to stay at home and practice social distancing like a good girl*,Alabama,social distancing
2020-04-29 23:12:17+00:00,"lmao fr, can keep this social distancing shit ",Alabama,social distancing
2020-04-29 22:42:53+00:00,Hey @Travistritt has anyone given you any idea as to when live concerts may start back up? I’ve heard next year (because of social distancing) but I can’t believe that’s true. Concerts must be a big part of y’all’s income.,Alabama,social distancing
2020-04-29 17:06:07+00:00,"Focus on your mental and physical health. Instead of reaching for a glass of wine, go for a run in the park (while social distancing). Play a game. Do things that keep you physically healthy to keep you mentally healthy. #LawyerWellnessWednesday #StressAwarenessMonth",Alabama,social distancing
2020-04-29 17:02:07+00:00,"http://ht.ly/9HGZ30qBraj Next Thursday, May 7th 2020, join the fight for senior social isolation and mental health! Social distancing is tough, especially for our loved ones who cannot care for themselves. Sign up in the link and together we can protect our seniors! ",Alabama,social distancing
2020-04-29 16:46:57+00:00,"Remember in Feb. & Mar. when all the experts were saying if we do social distancing right, in a few months people will be saying how we overreacted? Well, here we are. It worked (for now), experts were right. #WednesdayWisdom",Alabama,social distancing
2020-04-29 08:37:54+00:00,Social distancing back in the day,Alabama,social distancing
2020-04-29 03:36:12+00:00,Feelings I need to express while currently working in the town deemed 8th most likely in the U.S. to see a major outbreak: Social distancing is not about you. It’s about the person next to you. • 1 Corinthians 10:23-24 •,Alabama,social distancing
2020-04-29 03:26:50+00:00,"@Robert_Aderholt I’m Donna Scott. I now have Hogan’s barbershop. You knew my dad. I hope you can speak on our behalf to the governor. Our shop isn’t cosmetology. We are never in their face. We are ready to do masks, social distancing, any sanitizing necessary.",Alabama,social distancing
2020-04-29 01:48:44+00:00,"Please don’t get lax on your quarantine/social distancing routine. Wash or sanitize your hands every time it comes in contact with anyone or anything outside your house. Do NOT let people into your home who don’t live there, even if they are close friends or family.",Alabama,social distancing
2020-04-29 00:50:39+00:00,"If y’all get pregnant, I’m snitching on ya for not practicing social distancing.",Alabama,social distancing
2020-04-28 23:33:26+00:00,Gov. Ivey isn’t forcing anyone do do anything. Don’t won’t to go to the beach? Fine. Want to stay home like you’ve been doing? Great. Social distancing guidelines remain in place. ,Alabama,social distancing
2020-04-28 22:10:50+00:00,I'm not going to stop social distancing until we have a vaccine I'm only listening to Fauci.,Alabama,social distancing
2020-04-28 22:10:29+00:00,The moment people are able to go out they’re just going to go without doing much social distancing or caring. ,Alabama,social distancing
2020-04-28 21:58:12+00:00,"return was as follows or should have said safety protocols:temp check at gate b4 entering premise 100 or above not allowed, call dr, mask will be provided, when we got to work neither of those were available. Ppl walking around not social distancing &amp; no ,recipe for disaster!",Alabama,social distancing
2020-04-28 20:44:30+00:00,No mask or social distancing! Shame shame shame,Alabama,social distancing
2020-04-28 18:05:00+00:00,Counties all around Erie county are allowing camping. Why not Erie? But I can golf? Let me guess? Marc and Andrew golf but have never camped? U can’t get more social distancing than camping,Alabama,social distancing
2020-04-28 17:36:10+00:00,Confused how flooding Walmart & other stores is promoting social distancing while opening up the economy but forcing small businesses &amp; self employed people with no income &amp; having the hardest time getting unemployment to stay closed when they have less contact with the public ,Alabama,social distancing
2020-04-28 17:11:05+00:00,Social distancing baby girl ______ ,Alabama,social distancing
2020-04-28 16:11:43+00:00,.@GovernorKayIvey : Beaches can reopen as long as social distancing is maintained.,Alabama,social distancing
2020-04-29 22:13:46+00:00,Sorry I wasn’t clear. I meant healthy as those without underlying conditions. So if the “healthy” people get the virus they will not need hospitalization. The goal of social distancing is to slow the spread so we don’t overwhelm the hospitals.,Alabama,social distancing
2020-04-29 20:50:18+00:00,"I wish they would do this in my neighborhood. Parents having kiddie parties, kids not social distancing, kids riding motorcycles &amp; four wheelers without helmets, to name a few examples of great parenting. I see nothing wrong with this. We’re in a pandemic.",Alabama,social distancing
2020-04-29 17:24:01+00:00,"Though our worlds have been turned upside down, now is a valuable time to not only teach children their schoolwork, but also how to show kindness to others. - Read more:",Alabama,social distancing
2020-04-29 15:30:21+00:00,Coronavirus: Social distancing could require 'necessary renovations' to sports arenas https://www.cnbc.com/2020/04/26/coronavirus-social-distancing-could-require-necessary-renovations-to-sports-arenas.html #coronavirus #SocialDistancing #sports,Alabama,social distancing
2020-04-29 13:11:45+00:00,"Join via Conference Call: Dial 888.354.0094 ID 2872985111#Topics: Covid-19, Working Safely, Navigating Work Thru Social Distancing, Work Comp Coverage, etc. Don't miss this informative Q &amp; A #WorkingForYou",Alabama,social distancing
2020-04-29 12:48:23+00:00,Great game. We reviewed it for our podcast. Hear it at http://www.hamandspam.podbean.com and watch our playthrough here https://youtu.be/JKstDPrIEhs,Alabama,social distancing
2020-04-29 12:01:36+00:00,New: Teach children kindness while social distancing https://bit.ly/2YhPxWC,Alabama,social distancing
2020-04-29 10:48:02+00:00,"@JeremyWGR I do not see the reasoning for ""fanless"" sports. Do the powers to be think Bills fans will not be flocking to bars to watch the games. If bars are closed they will have football parties in their homes regardless. No social distancing. just as well have them in stadium.",Alabama,social distancing
2020-04-29 04:58:06+00:00,People outta work man. And people are working and taking a huge hit—I see all sides. But y’all know we can’t keep at it like this....even when or if they find a vaccine..we can’t stop the world until the do. Just try and build your immune system..keep social distancing - - - ,Alabama,social distancing
2020-04-29 03:15:10+00:00,Had a great time tonight while in Alabama. My brother also watched from his house. #SocialDistancing,Alabama,social distancing
2020-04-28 23:25:13+00:00,Rural folks always practice social distancing. They’ll be fine.,Alabama,social distancing
2020-04-28 22:25:05+00:00,Very happy to share this celebrity’s contribution to encouragement during this global pandemic. @TheMuppets Glad Kermit is social distancing. ,Alabama,social distancing
2020-04-28 22:06:50+00:00,"Beaches yes, w/ social distancing. Bars/restaurants curbside pickup only.",Alabama,social distancing
2020-04-28 20:59:13+00:00,Koopa Troopa all day long!!! Was sad when he wasn’t in Mario Kart 64. Who was your go-to in the original?,Alabama,social distancing
2020-04-28 20:57:57+00:00,This!!!!,Alabama,social distancing
2020-04-28 19:22:14+00:00,Tired of sitting in the house? Social distancing doesn’t mean you can’t enjoy a day at the lake when you OWN a lot at Smith Lake RV and Cabin Resort. Drive-through or grab a golf cart and have a look soon. Lots now… https://www.instagram.com/p/B_iT5_FH238/?igshid=10mne1ldlahd0,Alabama,social distancing
2020-04-28 17:03:38+00:00,Were churches ever officially closed or was it just part of the stay at home and social distancing guidelines?,Alabama,social distancing
