date,text,state,query_term
2020-04-24 21:59:42+00:00,The economy will collapse in the long term if we continue with the business closures and large government making decisions for us that have proven to mess everything up.,DC,business closures
2020-04-23 21:28:12+00:00,"Classic counsel on cover letters! Covid-19 and business closures mean more job seekers. Get informed, boost your chances. #jobsearch #jobsearchcoach @National Harbor, Maryland https://www.instagram.com/p/B_Vosy8nb3S/?igshid=xj0jre0tc5sq",DC,business closures
2020-04-17 01:01:43+00:00,I'm guessing that would violate the mayor's non-essential business closure order?,DC,business closures
2020-04-16 18:19:35+00:00,"Ok, why did this take so long...and yet mandatory stay at home orders and “non-essential business” closures have been in place for weeks... Wearing masks is key to stopping the spread but also .....responsibly reopening our Maryland economy. ",DC,business closures
2020-04-16 01:53:41+00:00,Explain exactly how government-forced business closures are the “free-market”?,DC,business closures
2020-04-15 01:20:03+00:00,"There is no partisanship. The governors and mayors issued all these stay-at-home orders, school closures and business restrictions so it will be up to them to lift them. Not sure what you think the president can do here? Please, explain.",DC,business closures
2020-04-03 04:29:54+00:00,"That may sound like a loophole, but based on the legislative text, it seems that was intended. It’s about helping the business stay afloat to protect payroll in the long run, while ensuring businesses under forced closure don’t need to put their employees at risk",DC,business closures
2020-04-29 01:06:57+00:00,"Coronavirus In Massachusetts: Baker Extends Business Closures, Stay At Home Advisory To May 18 - CBS Boston https://boston.cbslocal.com/2020/04/28/coronavirus-latest-massachusetts-news-gov-charlie-baker/ via @GoogleNews",Massachusetts,business closures
2020-04-28 18:43:01+00:00,"BREAKING: Non-essential business closures, stay at home advisory, and ban on gatherings of 10 or more people has been extended by @MassGovernor to May 18th. Keep on #SocialDistancing &amp; help #FlattenTheCurve . #COVID19 #wethe4th #mapoli https://www.mass.gov/news/baker-polito-administration-extends-non-essential-business-closures-to-may-18th-announces",Massachusetts,business closures
2020-04-28 17:50:21+00:00,FYI: @MassGovernor has extended the stay-at-home advisory &amp; closure of non-essential business thru 5/18. #COVID19MA,Massachusetts,business closures
2020-04-28 16:39:10+00:00,#BREAKING: Governor Baker extends Mass. stay-at-home advisory. Non-essential business closure order from May 4 to May 18. #covid19MA,Massachusetts,business closures
2020-04-28 16:16:38+00:00,"Governor Baker, just now, announced he’s extending the state’s closure of non-essential business / stay-at-home advisory until May 18 #COVID19",Massachusetts,business closures
2020-04-28 01:39:53+00:00,"“According to the MGH simulator, the state’s business closure order and stay-at-home advisory should remain in place for another 12 weeks — or until roughly July 20” ",Massachusetts,business closures
2020-04-22 15:59:31+00:00,In 2 min!! @scottburrisphlr and @ProfLWiley on the legality of easing stay-at-home orders and business closures- you don’t want to miss!!,Massachusetts,business closures
2020-04-03 00:05:31+00:00,"A special thanks to @marty_walsh &amp; @JohnFBarros on the launch of the Small Business Relief Fund to provide grants to Boston's small businesses most impacted by closures, policies, or general loss of revenue due to the COVID-19 pandemic. Fund launches on April 6. #bospoli",Massachusetts,business closures
2020-04-22 18:29:41+00:00,those who operate pyramid schemes are unaffected by the closure of nonessential businesses not because they are essential but because they are not a real business ,Mississippi,business closures
2020-04-28 15:59:16+00:00,"Regardless of non-essential business closures, it looks like NEW COMICS are coming starting May 20, 2020. If we are still unable to have people in the shop, we will still have curbside pickup and shipping services… https://www.instagram.com/p/B_h8rQsB7pL/?igshid=1d218dms3mvml",New York,business closures
2020-04-19 12:31:17+00:00,"“Even with mass closures and very slow business, Duraj is looking for ways to help communities and people out by delivering free bread to those in need” during coronavirus. To learn more about their story https://www.eurobakerydeli.com/our-story #withrefugees",New York,business closures
2020-04-18 17:29:00+00:00,"Again, bar flights from Florida and North Carolina into NY & NJ........Protestor wears US Navy uniform and stands out in ocean amid closures - Business Insider ",New York,business closures
2020-04-05 23:18:18+00:00,"This past week, police officers from our office, with support from @HealthierJC inspectors, handled 78 calls for service from the community on price gouging, non-essential business closures, and social distancing. Where are we needed next? #JerseyCity #JCresponds ",New York,business closures
2020-04-02 13:15:59+00:00,"Fourth, he has threatened to exercise powers he does not legally possess to “open the economy”—overriding the authority of governors and mayors to impose stay-at-home orders and business closures. (Thankfully, he has, for now, backed off that threat.)",New York,business closures
2020-04-24 21:59:42+00:00,The economy will collapse in the long term if we continue with the business closures and large government making decisions for us that have proven to mess everything up.,Washington,business closures
2020-04-23 21:28:12+00:00,"Classic counsel on cover letters! Covid-19 and business closures mean more job seekers. Get informed, boost your chances. #jobsearch #jobsearchcoach @National Harbor, Maryland https://www.instagram.com/p/B_Vosy8nb3S/?igshid=xj0jre0tc5sq",Washington,business closures
2020-04-17 01:01:43+00:00,I'm guessing that would violate the mayor's non-essential business closure order?,Washington,business closures
2020-04-16 18:19:35+00:00,"Ok, why did this take so long...and yet mandatory stay at home orders and “non-essential business” closures have been in place for weeks... Wearing masks is key to stopping the spread but also .....responsibly reopening our Maryland economy. ",Washington,business closures
2020-04-16 01:53:41+00:00,Explain exactly how government-forced business closures are the “free-market”?,Washington,business closures
2020-04-15 01:20:03+00:00,"There is no partisanship. The governors and mayors issued all these stay-at-home orders, school closures and business restrictions so it will be up to them to lift them. Not sure what you think the president can do here? Please, explain.",Washington,business closures
2020-04-03 04:29:54+00:00,"That may sound like a loophole, but based on the legislative text, it seems that was intended. It’s about helping the business stay afloat to protect payroll in the long run, while ensuring businesses under forced closure don’t need to put their employees at risk",Washington,business closures
2020-04-02 15:00:49+00:00,#AskGovWhitmer when do you think you’ll be extending the stay at home order and non-essential business closure? And to what date will it be extended to?,Wyoming,business closures
