date,text,state,query_term
2020-03-16 21:45:16+00:00,"Small businesses will suffer during the next few weeks with closures eminent due to the COVID-19 pandemic. . . . Many of our clients have asked how they are able to help. Being a small service based business, we… https://www.instagram.com/p/B9z0radJUHn/?igshid=thyd8bgn6u9z",Connecticut,business closures
2020-03-25 01:27:35+00:00,Latest #DC #coronavirus business closure orders effective through April 24. ,DC,business closures
2020-03-25 00:16:15+00:00,.@MayorBowser has ordered the closure of all non-essential business in the District of Columbia effective at 10 p.m. Confused about what’s open and closed? See the graphic below or visit: http://coronavirus.dc.gov.,DC,business closures
2020-03-23 15:45:26+00:00,New interpretive guidance for @GovLarryHogan’s executive order regarding non-essential business closures and operations: https://governor.maryland.gov/wp-content/uploads/2020/03/OLC-Interpretive-Guidance-COVID19-04.pdf,DC,business closures
2020-03-17 16:03:44+00:00,Thanks sir! I am preparing my self for closure of my love owning &amp; operating a business! I didn’t prepare enough,DC,business closures
2020-03-16 00:17:28+00:00,"Apparently corporate tried to dissuade the owner from making the move, citing worry that members won't come back after the temporary closure. That kind of baffles me, the idea of putting your clients health in jeopardy out of fear of losing their business.",DC,business closures
2020-03-15 12:05:53+00:00,".@MainStTakoma Here’s an idea. To help downtown TP business, close the farmers market part of Laurel 7 days a week. Use the space for other purposes, e.g., socially-distanced cafe/restaurant seating and vending. Less traffic with school closures &amp; telework creates opportunities.",DC,business closures
2020-03-09 20:37:58+00:00,"I'm based here and run a b2b business with contracts across the US. Not really applicable to the nightlife scene, but if you end up expanding your coverage in the future, I'd be happy to talk about my impending, inevitable closure.",DC,business closures
2020-03-22 00:33:33+00:00,I most certainly think it’s serious. I also think it’s serious when millions of people lose their jobs and have no income/food/place to live. Employers can’t continue to pay people when there is no work done. Eventually or immediately layoffs will happen or closure of business,Delaware,business closures
2020-03-18 03:37:29+00:00,My business can’t weather a closure...,Georgia,business closures
2020-03-12 14:11:32+00:00,Smart marketing @storybrand got this email TechSmith is helping organizations and academic institutions who are preparing for prolonged absences and/or campus closures due to COVID-19. We are offering free access and expanded usage of tools that help enable business and education,Georgia,business closures
2020-03-23 14:32:38+00:00,"""Attorneys say that although USCIS has made one positive accommodation their clients deserve policies that better take into account the new health and safety realities of doing business under social distancing, remote work and USCIS office closures."" ",Massachusetts,business closures
2020-03-17 12:54:00+00:00,We can support our local restaurants during their three-week closure by having food delivered or ordered through take-out. Let’s keep our restaurants in business while also ensuring we remain safe and healthy!....(4/4) ,Massachusetts,business closures
2020-03-17 02:50:03+00:00,@marty_walsh could you provide small business owners some relief by requiring landlords to not charge rent during lockdowns and forced closures? It is very unfair that businesses are not allowed to make money but required to pay their landlords. This will #bankrupt the small guys,Massachusetts,business closures
2020-03-16 16:13:16+00:00,What’s up with these restaurants asking patrons to come in today/tonight before the official closures? This time is intended for preparation and sanitization. The $$is a necessity for staff but asking for in-person business at this time is dangerous to all.,Massachusetts,business closures
2020-03-13 13:06:49+00:00,"#CambMA #localbusiness challenge! What small, local business do you love and want to support during the #COVIDー19 closures, and how can people support them? Gift cards, home delivery, curbside pick up or other and I will amplify! I’ll start! A :",Massachusetts,business closures
2020-03-13 03:46:17+00:00,"Economy, business experts weigh in on how cancellations, closures could impact Boston’s economy ",Massachusetts,business closures
2020-03-24 02:32:18+00:00,"Cancelled graduation celebrations, season cancellation for athletes, isolation of older Americans, lost employment, business closures, etc. Great disappointment &amp; Isolation is a combination that could be trouble. Not everyone has the tools. Remember that, reach out. #COVID19",Mississippi,business closures
2020-03-20 12:58:12+00:00,Smartest thing I’ve heard @GovParsonMO say: “local municipalities know their situations best and should be the ones making decisions about business closure.” Hopeful he’ll remember that for other issues once this passes.,Missouri,business closures
2020-03-16 02:08:22+00:00,"Ohio, Illinois, NYC... I feel for my friends in the restaurant business. These forced closures are going to be devastating. Carry out and delivery won’t make a dent in what they will be losing. I don’t doubt more states and cities will be following suit.",Missouri,business closures
2020-03-15 21:44:07+00:00,"Those Americans buying homes, vehicles, in need of student loans Will be helped. Hopefully this action will help stabilize financial markets. Small business may have to borrow $$$to get through closures of restaurants and so on. ",Missouri,business closures
2020-03-11 23:23:17+00:00,"SNAP comes again in 3 days - I was planning on doing Passover food shopping too soon- even these ""nonessential business closures"" could prove lethal to us - for bottled water reliance &amp; needing processing of disability, medicaid,govt loan &amp; medical center financial aid paperwork.",Missouri,business closures
2020-03-26 20:38:40+00:00,SHOP ONLINE LAUNCHED + Other Ways You Can Support Our Small Business During COVID-19 Closure. THANK TOU ALL . . . . . . 1. shop CIRO'S online now available... All online purchases will be eligible for the… https://www.instagram.com/p/B-NeamADaF3/?igshid=t8p482wm5vju,New York,business closures
2020-03-25 20:22:17+00:00,We are selling eGift Cards from our website http://www.bosbagels.com to support our staff and business during this crisis. If you can and would like to help us we will honor any gift cards purchased during the closure… https://www.instagram.com/p/B-K3v5Nhk9E/?igshid=33t0291cv3mk,New York,business closures
2020-03-25 18:41:23+00:00,We have tried to incentivize people to be on unemployment? What? Actually we threw a whole bunch of people out of work through mandatory business closures @LindseyGrahamSC,New York,business closures
2020-03-21 21:57:45+00:00,.@NYGovCuomo’s non essential business closure order couldn’t come soon enough. Like listen up white people!! As one of y’all I can assure you you’ll be fine without your succulents or local free range quinoa for a bit #StayAtHome – at Grand Army Plaza,New York,business closures
2020-03-21 14:38:35+00:00,What is an Essential vs. non-essential: Guidelines in NY on business closures. #NonEssentialBusiness,New York,business closures
2020-03-20 15:37:33+00:00,"@NYGovCuomo : “If anyone wants to complain about this [workforce reductions, business closures, quarantines], blame me. I’m responsible for making these decisions.”",New York,business closures
2020-03-20 15:26:06+00:00,"""This is not life as usual... We're gonna close the valve."" New York State going on Lockdown, ""these provisions will be enforced."" Cuomo says there will be a civil fine and mandatory closure of any business not in compilence #CoronaCrisis",New York,business closures
2020-03-19 19:00:15+00:00,"Verona OEM Statement on Additional Statewide Closures of Business @Township of Verona, NJ - Government https://www.instagram.com/p/B97RmBFHoIo/?igshid=mmtzlp1jjuv",New York,business closures
2020-03-19 16:37:10+00:00,@GovMurphy Thank you for canceling the Bergen County business closure order. That would’ve been like a mass bankruptcy order. It would be very difficult for any business to be able to just pop-up again like not much happened. For most owner’s it’d be like having to start over.,New York,business closures
2020-03-18 21:13:26+00:00,"A message from Michael Skurnik calling on United States Governors to provide immediate action, tax and rent relief for RESTAURANT WORKERS, in response to the unprecedented restaurant closures and slowdown of business… https://www.instagram.com/p/B948CV1J7_B/?igshid=2f2es79po0q4",New York,business closures
2020-03-18 18:16:11+00:00,Supporting our local business during this stressful time! ONLY take-out or delivery and shopping for food/supplies is permitted. Stay Healthy. Lots of store closures. #athleta #gap #anthropologie #hobokenhair… https://www.instagram.com/p/B94nvvmnhk2/?igshid=733aon41l5cq,New York,business closures
2020-03-17 19:27:23+00:00,"The government needs to protect the small business and make the closure of bars,pubs, theatres etc., mandatory, so that those with insurance cover can be covered during this crisis. VAT, Tax returns, business rates - don’t just help the big boys because they’ll grab all they can!",New York,business closures
2020-03-16 15:19:48+00:00,"March 16, 11:11 a.m. - Gov. Cuomo says to minimize business impact of closures, there will be temporary changes to liquor laws that will allow off-site sale of alcohol at bars, wineries and distilleries. #NYC",New York,business closures
2020-03-15 19:01:08+00:00,"“While it is admirable to want to stay open to help workers, it is very likely based on what we’ve seen in other countries that a disruption or temporary closure of the business is coming within the next 2 weeks anyway, so why not get ahead of it and save lives?” ",New York,business closures
2020-03-15 13:52:09+00:00,"I was especially against it being a business owner with a storefront that I feels like needs to be open to survive, but that’s being selfish. A 2 week closure won’t kill me, especially since our work can be done mostly remotely. It’ll hurt, but it’s worth the sacrifice.",New York,business closures
2020-03-15 03:03:23+00:00,"This is what @Equinox posting today. Nothing about closures or cleaning My local SF climbing gym closed, taking a large revenue hit for what’s still a small business. Keep my money, but how do you live with yourself. Also — Equinox Hudson Yards is a glorified hotel gym. ",New York,business closures
2020-03-13 00:18:45+00:00,"Walt Disney Company: we are proceeding with the closure of our theme parks at Walt Disney World Resort in Florida and Disneyland Paris Resort, beginning at the close of business on Sunday, March 15, through the end of the month. ",New York,business closures
2020-03-08 17:40:21+00:00,"It’s a little less business as usual for me in nyc. I know my college is planning for the possibility of a closure. We’re planning, we’re kind of freaking out underneath. Not just Cloroxing and hand sanitizing lol",New York,business closures
2020-03-07 14:29:33+00:00,Retail and sports franchises don’t operate on such slim margins and with so little cash on hand. I once spoke with a renowned LA chef/restaurateur who said a five-day closure would put them out of business. Doesn’t make the journo pivot any easier.,New York,business closures
2020-03-24 05:52:37+00:00,Fix the unemployment website. It’s one thing to have a business closure it’s another where we’re caught with our pants down and are not prepared at the state level. @GovMikeDeWine @WhiteHouse @realDonaldTrump,Oregon,business closures
2020-03-24 12:24:14+00:00,Questions for @GovernorTomWolf and @PAHealthDept 3) what metrics will be used to identify when a county is triggered for a stay at home order? 4) what metrics will be used to determine when stay at home and business closures will end? #COVID19,Pennsylvania,business closures
2020-03-19 22:18:40+00:00,"@GovernorTomWolf I work for COPA and my wife is a small business owner. We need more information please! How can you enforce business closure? Is this order legal?? And what r the penalties for disobeying the order? While your income is not impacted by your order, ours is!",Pennsylvania,business closures
2020-03-19 22:02:26+00:00,@fox43 @abc27News can someone please ask @GovernorTomWolf for more info?? There are a lot of unanswered questions for small business owners! How is this legal? How can business closure be enforced? What is “the full extent of the law”? We need more info and we need it yesterday!,Pennsylvania,business closures
2020-03-10 13:58:33+00:00,"Details are not there yet, but if they are forcing closures of a private business, that is not a bailout.",Pennsylvania,business closures
2020-03-20 18:11:41+00:00,Essential vs. non-essential: Guidelines in #NY on business closures https://cnycentral.com/news/coronavirus/essential-vs-non-essential-guidelines-in-ny-on-business-closures | #NYS #NYC #NewYork #NewYorkStar #coronavirus #COVID19,Rhode Island,business closures
2020-03-25 01:27:35+00:00,Latest #DC #coronavirus business closure orders effective through April 24. ,Washington,business closures
2020-03-25 00:16:15+00:00,.@MayorBowser has ordered the closure of all non-essential business in the District of Columbia effective at 10 p.m. Confused about what’s open and closed? See the graphic below or visit: http://coronavirus.dc.gov.,Washington,business closures
2020-03-23 15:45:26+00:00,New interpretive guidance for @GovLarryHogan’s executive order regarding non-essential business closures and operations: https://governor.maryland.gov/wp-content/uploads/2020/03/OLC-Interpretive-Guidance-COVID19-04.pdf,Washington,business closures
2020-03-17 16:03:44+00:00,Thanks sir! I am preparing my self for closure of my love owning &amp; operating a business! I didn’t prepare enough,Washington,business closures
