date,text,state,query_term
2020-05-05 18:16:08+00:00,"Don Jr. tweets: ""It’s long past due for states to end the one-size-fits all approach to business closures and instead begin to use some common sense"" http://redstatewatcher.com/article.asp?id=165544",Alabama,business closures
2020-05-01 14:25:08+00:00,"“I don’t want there to be a big outbreak and another big scare,” store owner Garnet Holt said. “But for business people, I want tourism to pick up a little bit.” How Alabama’s beach businesses prepare for a surge of visitors following pandemic closures: https://trib.al/E0QdYik",Alabama,business closures
2020-05-03 14:14:12+00:00,"“I don’t want there to be a big outbreak and another big scare,” store owner Garnet Holt said. “But for business people, I want tourism to pick up a little bit.” How Alabama’s beach businesses prepare for a surge of visitors following pandemic closures: https://trib.al/P6HA6EB",Alabama,business closures
2020-05-02 01:10:02+00:00,"Anchorage Economic Development Corporation has released the results of its second round COVID-19 Business Impact Survey, showing recent effects from COVID-related changes to operations, closures, and more. ",Alaska,business closures
2020-05-05 21:37:33+00:00,People complaining about stay-at-home orders and business closures should learn some history about the sacrifices made by earlier generations. Sorry you can't get a #Haircut or eat out and you need a #facemask to go shopping #coronavirus #StayHome,Arizona,business closures
2020-05-04 16:13:47+00:00,"But two Arizona sheriff's have announced they won't be enforcing business closures, bringing some real wild west vibes back to Mohave and Pinal Counties. ",Arizona,business closures
2020-05-05 22:12:56+00:00,It's back to business for Parlier's barbershops &amp; hair salons. Parlier is one of the first cities in the state to reopen these small businesses. A local barber shares the safety guidelines he's following as he reopens. My latest for @ABC30. #ReopenCA,California,business closures
2020-05-05 20:44:36+00:00,@realDonaldTrump @VP Can't wait to travel! $UAL $AAL Planning trips with gf's! Could the airlines add UV lights to kill virus to the HVAC systems? I believe that will make the public feel safe to travel.,California,business closures
2020-05-05 19:58:14+00:00,@GavinNewsom How do I try out a new mattress if I can't go to the store? Why are 30 million people out of work to save the elderly? How does this help the economy? Enough already open up!! https://voiceofoc.org/2020/05/orange-county-officials-wont-enforce-business-closures-during-coronavirus-pandemic-gov-newsom-to-reopen-limited-retail-friday/,California,business closures
2020-05-05 09:54:25+00:00,New story on @NPR: Calif. Governor Says State Will Begin Easing Coronavirus Closures https://ift.tt/3b69UZi #business #businessnews,California,business closures
2020-05-05 03:09:28+00:00,"Orange County Officials Won’t Enforce Business Closures During Coronavirus Pandemic, Gov. Newsom to Reopen Limited Retail Friday https://voiceofoc.org/2020/05/orange-county-officials-wont-enforce-business-closures-during-coronavirus-pandemic-gov-newsom-to-reopen-limited-retail-friday/ via @voiceofoc",California,business closures
2020-05-05 03:07:24+00:00,"In a time of social distancing and mandatory business closures, small business owners are turning to mobility to stay connected to their customers.Learn how #mobility is helping three small businesses stay in business. https://oal.lu/VW6G2",California,business closures
2020-05-04 20:03:18+00:00,"Thread by @MattPStout: A view of the protest outside Mass. State House against @CharlieBakerMA’s business closure order and stay-at-home adviis is communism!” someone shouts from the crowd on both sides of Beacon Street #COVID In last 30 minutes, the ral…",California,business closures
2020-05-04 19:54:38+00:00,Kern county abandoned all county orders for enforcement on economic closure. So if you want to do business you can with only the fear of the news or other groups trying to shame you. We will support you.,California,business closures
2020-05-03 16:33:41+00:00,@GavinNewsom A reminder that ur irrational closure policies r the ruin of small towns thruout our 58 counties... This is a river deck bar/rest that had to lay off employees &amp; already struggles to keep Seasonal business going... @BillDoddCA @AsmJimCooper @JohnGaramendi,California,business closures
2020-05-03 04:44:17+00:00,"April 27, 2020, 8:35 PM Small business owners file suit against Gov. Newsom, other CA officials over coronavirus closures The lawsuit challenges the current “non-essential” businesses orders. Seven small businesses in California are suing ",California,business closures
2020-05-03 01:44:17+00:00,Supply Chain Management Flaws Ripped Open By Coronavirus Business Closures. ,California,business closures
2020-05-02 15:09:37+00:00,"No lockdowns, no forced business closures, schools stayed open, same pattern as the rest. ",California,business closures
2020-05-02 14:29:05+00:00,"""The U.S. Supreme Court has given Gov. Tom Wolf (Penn) until MONDAY to respond to a lawsuit that claims his coronavirus business closures are violating some Pennsylvanians’ rights."" #millennial #genz #backtowork #openAmerica",California,business closures
2020-05-02 08:45:12+00:00,#solanoCounty in the news again! #covid19 ⁦@GavinNewsom⁩ Some business owners say they have to defy coronavirus closure orders to stay afloat - CNN https://www.cnn.com/2020/04/30/us/businesses-defy-coronavirus-orders/index.html,California,business closures
2020-05-02 02:50:32+00:00,"What is the action, arrest of the company principles, bonds of significant value for them to post, closure of the business. What? ",California,business closures
2020-05-02 01:17:52+00:00,"Bluntly stated, I am of the opinion that it is extreme governmental overreach to mandate closures of any sort. That decision should be left up to the business owners. Government has no place in this debate from the start.",Colorado,business closures
2020-05-05 14:29:38+00:00,Connecticut is the 40th state to order the closure of K-12 schools for the remainder of the academic year ,Connecticut,business closures
2020-05-04 14:59:25+00:00,"By @drzewieckinbh Business closures, layoffs, deaths and other effects of the coronavirus pandemic can be quantified, but the human impact is more subjective. ",Connecticut,business closures
2020-05-01 12:04:22+00:00,Early estimates on how the coronavirus pandemic and business closures will impact the state budget. ,Connecticut,business closures
2020-05-05 22:00:56+00:00,"With many stay-at-home and business closure orders set to expire in the coming days, governors across the country are announcing next steps. The DC-based One Voice advocacy team is tracking these state actions. See what's happening where you are: ",DC,business closures
