date,text,state,query_term
2020-04-26 23:02:49+00:00,Rain and Coronavirus go away!,Alabama,coronavirus
2020-04-17 01:55:57+00:00,"So the summary of news this week is Twitter Trolls want to give the one (the only?) billionaire who is ACTIVELY trying to help in the coronavirus debacle a continued stream of verbal diarrhea while passive billionaires (""here's $10M"") get a free pass. Got it.",Alabama,coronavirus
2020-04-15 03:04:41+00:00,"Gas is cheap once in a coronavirus. Electricity is cheaper and continuing to become moreso. Plus, I drove 53,000 miles mostly for free. Well, actually you drove some of that in a car you believed would be too small for you. I mean... ",Alabama,coronavirus
2020-04-10 03:14:54+00:00,"@potus @realDonaldTrump US intelligence knew #coronavirus Was a threat and ignored them! You lying Fuck #WorstPresidentInHistory Theres blood on your hands! Trump says widespread coronavirus testing ""would never happen"" and isn't needed to reopen country https://www.newsweek.com/trump-says-widespread-coronavirus-testing-would-never-happen-isnt-needed-reopen-country-1497210",Alabama,coronavirus
2020-04-09 12:53:19+00:00,"Be careful driving out there. Oops, never mind. #stayhomestaysafe and enjoy watching the snow fall. #coronavirus #currentnormal @Hartland, New York https://www.instagram.com/p/B-wrMMcBp-A/?igshid=1q9r03a65mee9",Alabama,coronavirus
2020-04-08 01:13:58+00:00,One World: Together at Home could be Live Aid for the coronavirus generation https://www.theverge.com/2020/4/7/21211716/one-world-together-at-home-benefit-concert-lady-gaga-covid-19-global-citizen?utm_campaign=theverge&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @Verge,Alabama,coronavirus
2020-04-07 21:28:45+00:00,"@RitaWilson, @naughtybynature @TommyBoyRecords for charity—flipping brilliant #COVID19 #coronavirus #pandemic #charity",Alabama,coronavirus
2020-04-04 01:41:40+00:00,I’m not letting this damn Coronavirus ruin my birthday ,Alabama,coronavirus
2020-04-01 17:32:12+00:00,One way to lose some pounds is to have a broken tooth during the coronavirus pandemic,Alabama,coronavirus
2020-04-01 08:48:51+00:00,The Brady Belichick era began with 9/11 and ended with the Coronavirus. The 2 events that shut down US Sports. They won 6 Super Bowls which half of the 12 won by the Major Boston Teams during that time. CONSPIRACY!!!!! ,Alabama,coronavirus
2020-04-01 04:30:41+00:00,If anyone make a April fools joke I swear to god I’m blocking them on twitter. If anyone does it to me outside the internet I’m going to slap the shit out of them with a plastic manikin hand taped to a hockey stick because you know fucking coronavirus!!! #AprilFools #COVID19,Alabama,coronavirus
2020-04-17 11:25:04+00:00,"Another BS poll, I have never ever been polled, or has anyone I know Trump approval rating slides in new poll as coronavirus grips the nation ",Alabama,coronavirus
2020-04-04 17:30:08+00:00,Ok I admit it. When I walk by someone on the bike path I hold my breath. #coronavirus,Alabama,coronavirus
2020-04-04 11:26:14+00:00,#Buffalo #Rochester #coronavirus #handsanitizer,Alabama,coronavirus
2020-04-03 06:43:55+00:00,#COVIDー19 #N95masks —&lt;(O)&gt;— #coronavirus ,Alabama,coronavirus
2020-04-01 07:52:30+00:00,If I get an April Fools prank about the Coronavirus Pandemic ending and sports returning ,Alabama,coronavirus
2020-04-26 22:12:39+00:00,"@GovernorsOffice @PAHealthDept Can't believe how many selfish inconsiderate people there are from NY, NJ, and CT ! Since RI and MA are checking people at the state line. The travelers flocking to PA and points west on Interstate 80 ! #StayHomeSaveLives #Coronavirus #Covid_19",Alaska,coronavirus
2020-04-24 03:24:47+00:00,FOR SALE: One CC Lysol- $50 Two CC Lysol- $100 Two CC All natural disinfectant- $150 Pre filled syringes- ready to kill this coronavirus.,Alaska,coronavirus
2020-04-16 09:22:38+00:00,"Truck stops just ain’t safe #HonnneyImGone #TikTok #EssentialWorker #TruckDriver #Trucking #TruckLife #Lysol #Comedy #TruckerChick #Instagram #StaySafe #CoronaVirus #TSR #Viral #TruckerGang #Follow @Brookville,… https://www.instagram.com/p/B_CVXU9jwSz/?igshid=1pswelbnlsv8r",Alaska,coronavirus
2020-04-08 22:36:33+00:00,Been thinking this exact same thing! Have a heart attack and then you have the Coronavirus antibody and it ups the death toll. Everyone is watching NYC for the curve! But maybe that curve was lowered last week!,Alaska,coronavirus
2020-04-26 19:43:46+00:00,"Depois da festa de casamento do Coronavírus, o que esperar desse ser né? ",Arizona,coronavirus
2020-04-24 20:08:14+00:00,Imagina o coronavírus fazendo a festa aqui? ,Arizona,coronavirus
2020-04-21 05:29:20+00:00,#cristianopolis #goiás #brasil #brasileiro #love #humor #rir #coronavírus #confinementcreatif #confinamento #quarentena #confinement #quarantaine #humour #videoinstagram #instagramblogger #instagramer #instagram… https://www.instagram.com/p/B_OzATgDGsE/?igshid=qug7lpcywzsy,Arizona,coronavirus
2020-04-18 12:07:13+00:00," Além de manter os cuidados com higiene, outras medidas devem ser tomadas dentro de casa para evitar que os idosos sejam contaminados pelo coronavírus. Para quem mora em residências pequenas, a… https://www.instagram.com/p/B_HyLGMHuUg/?igshid=14xnfpe5z0j9n",Arizona,coronavirus
2020-04-17 16:45:59+00:00,Solidariedade pra cantor sertanejo: Solidariedade pras famílias que estão perdendo pessoas para o coronavírus: ,Arizona,coronavirus
2020-04-14 13:50:52+00:00,"Se não acabar essas lives, se não morrer de corona vírus, de cirrose é certeza kkk ",Arizona,coronavirus
2020-04-11 19:29:01+00:00,A @Thylaranjinha está com suspeita de coronavírus!! Foi muito bom ser sua amigaa ,Arizona,coronavirus
2020-04-11 18:57:47+00:00,Falar q o corona VÍRUS é uma bactéria... ai,Arizona,coronavirus
2020-04-16 22:11:31+00:00,the corona virus has inconvenienced me for the last time. i’m going to find a cure,Arkansas,coronavirus
2020-04-26 17:15:43+00:00,"ever since my dad watched the video of Cardi B saying coronavirus, he’s been saying it in her voice at random times of the day EVERYDAY",California,coronavirus
2020-04-26 01:06:42+00:00,"Time wasted at “the beach” is time well spent And lucky for the girls, we had it all to ourselves!!! #socialdistancing #cousins #freshAIR #makingmemories #coronavirus #beachvibes @St.… https://www.instagram.com/p/B_bM8OHBGdzh0RsnK7J3xuggD1vUzMle43TxmE0/?igshid=59nvuwoo1xsk",California,coronavirus
2020-04-23 02:20:31+00:00,#coronavirus #COVIDIOTS #beatyodick @JswitchGaming @medinorr @ThePowerHouseG @fandybtw @SarahFasha pic.twitter.com/hjvqLKl4dl,California,coronavirus
2020-04-21 15:41:33+00:00,https://www.facebook.com/DamiensPersonalTransports/ #delivery #DMV #coronavirus If you need a #delivery please contact this service. The rates are fair on deliveries timely #stmaryscounty #lexingtonparkmd #californiamd,California,coronavirus
