date,text,state,query_term
2020-03-29 15:29:02+00:00,WTH????? @JacobsNY27 Trump gave away MASKS to China in January when he was warned about #Coronavirus. medical professionals in USA Need them now!!! @VP #TrumpVirusCoverup #StayHomeSaveLives,Alabama,coronavirus
2020-03-27 17:24:33+00:00,Which Corona virus hero will Mark Walberg play in the Hollywood re-enactment? Wrong answers only.,Alabama,coronavirus
2020-03-26 04:30:21+00:00,I really hate this quarantine. I hate the corona virus like my anxiety is up cause I’m alone cause my gf is essential. But i can’t go to the store cause I hate large groups of people. I’ve legit played COD from the time i get up to bed cause I have someone to talk to.,Alabama,coronavirus
2020-03-19 18:07:45+00:00,"With the coronavirus epidemic, this leaves many of our @SectionVI fans wondering what the next steps could be for the spring",Alabama,coronavirus
2020-03-18 12:08:47+00:00,Love it! Thanks @LancasterAOF...the #coronavirus doesn’t stand a chance!! ,Alabama,coronavirus
2020-03-18 11:57:10+00:00,"Notre Dame senior Ethan Chadbourne recently signed his letter of intent to run cross country at Mercyhurst University. Ethan was planning on hosting the signing at NDHS, but with school being canceled due to concerns over the coronavirus he decided to host his signing at home. ",Alabama,coronavirus
2020-03-17 19:15:39+00:00,"We have talked with NYS and waiting on advisement that will come quickly to make this happen. Hopefully, we can help in any way possible. #WeGotThis #Buffalo #WNY #CoronaVirus #DontPanic",Alabama,coronavirus
2020-03-16 19:37:19+00:00,Kaleida Health continues to implement our emergency preparedness plans to address the #coronavirus pandemic. We will post up-to-date information at http://www.kaleidahealth.org/coronavirus #COVID19 #pandemic,Alabama,coronavirus
2020-03-16 17:27:55+00:00,Coronavirus got people going crazy ,Alabama,coronavirus
2020-03-16 16:04:10+00:00,"After learning a Clarence Center Elementary student lives in the same home as a coronavirus patient, parents at this school are left with more questions than answers. More on #News4atNoon @news4buffalo – at Clarence Center Elementary",Alabama,coronavirus
2020-03-16 09:09:35+00:00,The @ECDOH is investigating possible exposure from the Coronavirus case in #Clarence. A child in the home of that infected patient is a student here at Clarence Center Elementary. Details on #Wakeup. @news4buffalo – at Clarence Center Elementary,Alabama,coronavirus
2020-03-16 01:03:57+00:00,"In the midst of the coronavirus panic, Nicolas Cage disappears with the Declaration of Independence...",Alabama,coronavirus
2020-03-14 22:57:48+00:00,Coronavirus doesn’t stop a team from coming together to celebrate their success. ,Alabama,coronavirus
2020-03-13 18:23:28+00:00,The Coronavirus,Alabama,coronavirus
2020-03-12 12:50:41+00:00,"Honestly I dont think this coronavirus outbreak is being blown out of proportion. Sure it has a high survival rate for people who have strong health systems, but there are millions of people who suffer from immune system disease. Those are the people we should care for. Not judge",Alabama,coronavirus
2020-03-12 02:58:29+00:00,"I love how the media fails to tell people that out of about 123,000 cases of the coronavirus, only about 4,000 people have died from it and 68,000 people have fully recovered. But yes. Let’s focus on only the negotiate and continue to spread mass panic.",Alabama,coronavirus
2020-03-11 17:01:30+00:00,*opens facebook* *first three updates in the feed are people still comparing the flu to coronavirus* *closes facebook*,Alabama,coronavirus
2020-03-11 15:47:25+00:00,Buffalo can’t get anyone to sign here why would we get the coronavirus... the virus wants to go to a contender. #onebuffalo #badjoke,Alabama,coronavirus
2020-03-11 15:08:23+00:00,Will fans stop going to events in lieu of the Corona Virus? At @VIP_TIX we are expecting and bracing for that in short-run. As weather warms up and virus disappears we fully expect a rebound as people will be get back to enjoying life again. Ticket prices down. Great time to buy!,Alabama,coronavirus
2020-03-05 16:16:07+00:00,Honestly just give me Coronavirus now so I can die in peace and stop listening to all this nonsense,Alabama,coronavirus
2020-03-30 17:06:25+00:00,"Marijuana sales up 50% in New York City amid coronavirus pandemic, dealer says https://nypost.com/2020/03/28/marijuana-sales-up-50-in-new-york-city-amid-coronavirus-pandemic-dealer-says/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost",Alabama,coronavirus
2020-03-27 16:54:40+00:00,Food Safety and Coronavirus: A Comprehensive Guide https://youtu.be/qkvw9lZ3v3I via @YouTube,Alabama,coronavirus
2020-03-24 07:07:42+00:00,Continually watching Bitcoin with no money to invest. Things that make me more suicidal then the corona virus.,Alabama,coronavirus
2020-03-24 00:54:08+00:00,"Tokyo 2020 Olympics postponed to 2021 due to coronavirus, report says",Alabama,coronavirus
2020-03-23 22:09:15+00:00,"Legit coronavirus question....if my car inspection is due this month, is there any kind of extension to get it done? I saw there was for registrations, licenses, etc",Alabama,coronavirus
2020-03-19 15:16:57+00:00,"Announced yesterday, all Kaleida Health sites implemented mandatory temperature screening checkpoints at all site entry points until further notice. For all up-to-date #coronavirus news, please visit: http://ow.ly/JGVz50yPUD2",Alabama,coronavirus
2020-03-17 21:32:45+00:00,"In France, a nightly tribute to medical heroes on the coronavirus frontline begins ",Alabama,coronavirus
2020-03-17 15:35:50+00:00,Conspiracy theory. Tom Brady begins Patriots career after 9/11 and ends Patriots career during Coronavirus outbreak. The 2 events that shut down the sports world.,Alabama,coronavirus
2020-03-16 17:31:28+00:00,Buncha people bout to get real cool with eating leftovers real quick... #coronavirus #coronapocolypse,Alabama,coronavirus
