date,text,state,query_term
2020-04-29 22:34:37+00:00,The 120million dollar woman mocking the fake billionaire while people are outofwork/dying from COVID. Our lives=a pissing contest for 2rich racists to 1-up each other with. Pelosi is worst bc she crushes blk polictics under her feet then makes the CBC lick the boot. ,Alabama,covid
2020-04-29 22:06:34+00:00,Idk I'm with my bf. I had to leave due to covid and my house not being finished. And you trying to dox me and bringing up topics that are completely unrelated just because you're incapable of admitting you're wrong is tiring. So fuck off Lis.,Alabama,covid
2020-04-29 22:04:03+00:00,Its 78 for the poor 90+ for the wealthy . Would it be tragic is Ben Shapiro died from COVID-19 or #Karma? Asking for my stock portfolio. #GOP Don't give a fuck about life just $,Alabama,covid
2020-04-29 21:43:42+00:00,Which means you have an even greater chance of dying than traditional treatments of COVID without taking Hydroxychloroquine! Smart!,Alabama,covid
2020-04-29 21:30:32+00:00,The economic disparities are evident. https://www.washingtonpost.com/health/more-than-80-percent-of-hospitalized-covid-patients-in-georgia-were-african-american-study-finds/2020/04/29/a71496ea-8993-11ea-8ac1-bfb250876b7a_story.html,Alabama,covid
2020-04-29 21:08:25+00:00,"In #Birmingham, #Alabama, 100 commercial jets parked at Birmingham-Shuttlesworth Airport due to COVID-19 pandemic ",Alabama,covid
2020-04-29 19:53:03+00:00,Are you also going to inject yourself with disinfectant if you start feeling COVID symptoms? He did say you should try it!,Alabama,covid
2020-04-29 19:35:41+00:00,"Being a nurse & high risk, you'd think I'd say YES. But, not this time. I do take the flu shot every year so, why not a Covid vaccine? Too rushed &amp; too many unknowns. Once it's been given to a few thousand willing test subjects w/ZERO adverse reactions then, I'll consider it. ",Alabama,covid
2020-04-29 19:32:36+00:00,"yea and covid cases are still skyrocketing off the graphs,,,,, hell i didnt know that they wore tin foil hats in Sweden!",Alabama,covid
2020-04-29 19:18:10+00:00,"Today, more people are dying from #covid-19 in the US everyday than any other cause including heart disease or cancer. This stunning animated graph shows how the evil virus climbed the charts in just 45 days! See interactive graph &amp; data at https://public.flourish.studio/visualisation/1905790/?fbclid=IwAR2tHE1qr_5_gqbQi_DuAlxClQ0qZ84bE8nEygPbgA7SapJ8g-_4himkbDw",Alabama,covid
2020-04-29 18:42:05+00:00,"We miss y'all too. I fear as this crisis worsens, there will be a need to discuss Covid-19 impacts on prisons &amp; jails as well as on our elections in November. I wish that wasn't the case (and we miss you too).",Alabama,covid
2020-04-29 18:01:29+00:00,Hope I don’t get covid,Alabama,covid
2020-04-29 17:24:20+00:00,"Mobile continues to Alabama’s coronavirus hotspot. Mobile County accounts for 1,008 cases with 83 new cases in the last day, a number that represents roughly 42 percent of all new COVID-19 cases. 42% of Alabama's COVID-19 new cases come from one county: https://trib.al/bHl9jwF",Alabama,covid
2020-04-29 17:08:53+00:00,"What was your (or you’re— ) point? You said that your dad prepared you. BRAVO! I assure you that you are in the minority. Trump sympathizers are poorer than the average American. During the COVID-19 shutdown, manual labor was stopped first. Many professionals can work from home.",Alabama,covid
2020-04-29 15:25:49+00:00,McConnell: Next COVID-19 Relief Bill ‘Won’t Pass the Senate’ Without Liability Protection ,Alabama,covid
2020-04-29 15:24:20+00:00,Gilead ‘Aware’ of Positive Data From Study of Remdesivir’s Effects Against COVID-19 ?? FAUCI APPROVED DRUG? ,Alabama,covid
2020-04-29 14:07:54+00:00,"We only started testing for Covid in March, I had the virus in January and my doctors son had it in December. Covid “season” began in the US b4 it was diagnosed. All data is OFF more ppl have had it than is known &amp; more have recovered than is known",Alabama,covid
2020-04-29 13:59:57+00:00,"#Alabama #Coronavirus #COVID19 Current Numbers: 6,779 Cases 242 Deaths 76,584 Tests Reported 932 Hospitalized",Alabama,covid
2020-04-29 13:59:30+00:00,"Covid is bogus , you are a murderer , your day in court is coming ",Alabama,covid
2020-04-29 13:17:16+00:00,I wish more ppl were “paranoid”. My daughter is a health care worker in a Covid hospital. I daily fear for her and her co-workers’ safety. One is already on a vent. Thank you for protecting people you will never meet.,Alabama,covid
2020-04-29 22:53:26+00:00,I think it’s this article that mentions 1.5M doses available. Supposedly they ramped up production before knowing how well it worked.,Alabama,covid
2020-04-29 22:27:27+00:00,"The world DID listen to you and the result is now over 200,000 dead, millions unemployed and wrecked economies. It was YOU that said, ""No evidence of H2H transmission "", ""We can't close the borders..global trade!"" ""Keep traveling to China!"" You POS.",Alabama,covid
2020-04-29 21:11:21+00:00,"Data on Gilead drug raises hopes in pandemic fight, Fauci calls it “highly significant” - Reuters",Alabama,covid
2020-04-29 20:20:39+00:00,@CNBC @jimcramer Can u please cover how our insurance underwriters are doing after the 2nd month of Covid? America needs to be certain in this forced recession that we can count on premium not rising or collapse of coverages.,Alabama,covid
2020-04-29 19:52:15+00:00,NFL commissioner Roger Goodell gives up $40 million salary during COVID-19 pandemic ,Alabama,covid
2020-04-29 19:51:28+00:00,Researchers developing one-step COVID-19 diagnostic tool ,Alabama,covid
2020-04-29 19:44:05+00:00,"I love you shane,but I'm just curious when you'll begin shipping again since i ordered a jacket way back in march and still haven't got nor has it been shipped.I understand you've been unable to ship because of covid but why drop more merch when you still have orders to fill.",Alabama,covid
2020-04-29 19:41:19+00:00,"""You will wander around in your pajamas, and when you look up from your phone, it will be 3 p.m. You’ll have accomplished nothing and have missed your breakfast and lunch.""",Alabama,covid
2020-04-29 19:15:17+00:00,Maybe the baby won’t have to grow up in a meth house now. Methamphetamine destroys the heart and lungs. No surprise she died with Covid! Now the baby might have a chance at a real life!,Alabama,covid
