date,text,state,query_term
2020-02-25 22:06:07+00:00,"Learn about Coronavirus19 aka Covid-19 is dangerous &amp; highly communicable. Wash hands often, don’t touch face, keep healthy distances from others, avoid busy places when possible, stay… https://www.instagram.com/p/B9AYk9lBMJn6pD6zDVELDzQbY4s72si4y3NUYE0/?igshid=14yb98l3ei27e",Alabama,covid
2020-02-14 14:11:21+00:00,Researchers are tracking the COVID-19 spread in real-time on a interactive dashboard with data available for download. For more info go to: https://systems.jhu.edu/research/public-health/ncov/,Alabama,covid
2020-02-26 23:55:25+00:00,"@eugenegu @CDCgov I attend a university with a huge international population and I'm 20 weeks pregnant. Although I do not live on campus, I'm concerned about #Covid_19 . Are there any precautions I should be taking?",Connecticut,covid
2020-02-23 13:24:42+00:00,Here we go: now #Iran is being #quarantined #NovelCoronavirus #Covid_19,Connecticut,covid
2020-02-28 20:57:22+00:00,"""One strategy some traders are contemplating to prepare for COVID-19 is not holding volatile cryptocurrency assets unless absolutely needed."" - @coindesk As newbie, I'm not so sure which source to listen to. What are your thoughts @johnkim77 @SatoshiLite ? #litecoinfam",DC,covid
2020-02-28 14:31:10+00:00,Updated WHO recommendations for international traffic in relation to #COVID-19 outbreak ,DC,covid
2020-02-28 12:46:49+00:00,"South Korea records another huge increase of new cases, as 315 #Covid_19 cases were recorded on Friday, bringing the total number of cases to 2337.",DC,covid
2020-02-27 18:07:48+00:00,"This man, @NickDixonITV shows how he just arrived from a known #CoronavirusOutbreak spot, Milon and no checks whatsoever at Heathrow Airport. This is the same for every single US airiport, folks. There is a tenth of the world under quarantine . #COVID-19 https://twitter.com/livecrisisnews/status/1233065674332921856/video/1 – at National Institutes of Health (NIH)",DC,covid
2020-02-27 02:58:57+00:00,Am in DC for annual global ambassadors’ meeting. Closely monitoring COVID-19 situation in ROK &amp; thinking of everyone back home. We’ve just increased our Travel Advisory to Level 3. Working closely with ROK in everything COVID-19. ,DC,covid
2020-02-27 02:09:02+00:00,EB management & AAA are paying close attention to statements from the Centers for Disease Control and Prevention (CDC) and World Health Organization (WHO) regarding the coronavirus disease (COVID-19) #anatomy More info on the mtg https://bit.ly/2wLF6yB,DC,covid
2020-02-27 00:33:00+00:00,Sanders’ response to Trump’s news conference on the coronavirus COVID-19 ,DC,covid
2020-02-26 22:31:54+00:00,The coronavirus/COVID-19 needs to be a wake up call that one vulnerabile population makes us all vulnerable. Your security = my security Their security = our security ...guess we’re all in this together... ,DC,covid
2020-02-26 18:26:41+00:00,".@MikeBloomberg has a new ad attacking President Trump on the administration’s response to the coronavirus COVID-19, a sign the virus will hover over the November elections ",DC,covid
2020-02-26 13:42:29+00:00,"Marching orders – As its covid-19 epidemic slows, China tries to get back to work https://www.economist.com/finance-and-economics/2020/02/25/as-its-covid-19-epidemic-slows-china-tries-to-get-back-to-work vía: @TheEconomist",DC,covid
2020-02-24 22:13:13+00:00,Please tell me that the US Government’s COVID-19 response plan isn’t dependent on Johns Hopkins’ IT team appropriately scaling its infrastructure to handle high traffic loads. ,DC,covid
2020-02-24 02:55:17+00:00,... stats and scale of the #Covid_19 outbreak.,DC,covid
2020-02-23 18:02:42+00:00,Hate to be the Cassandra on this... but #Covid_19 really is devastating to #China and #global economic growth.,DC,covid
2020-02-20 14:01:41+00:00,I see 3 crucial indicators of #COVID global trajectory: 1) can China gain control of epidemic 2) is there sustained community transmission outside China 3) are there super-spreaders. Korean outbreak causes concern on 2 &amp; 3,DC,covid
2020-02-19 22:28:23+00:00,Having to move resources from standard ph to #COVID makes no sense. Better to adequately fund @CDCgov &amp; state health depts. And shouldn’t @POTUS be asking for emergency funding like @BarackObama did for Ebola &amp; Zika? Where’s the leadership from the White House? MIA,DC,covid
2020-02-18 19:40:40+00:00,"#WHOatWork Health care workers (mainly )are on the front line of the response to #COVID19 #Covid_19 #Outbreak @WHO has developed guidance on the Rights, Roles and Responsibilities Of #HealthWorkers http://bit.ly/WHOHWFRights #InvestinHealthWorkforce",DC,covid
2020-02-18 17:31:48+00:00,"Coronavirus Claims Life of Hospital Director in Hard-Hit Wuhan Liu Zhiming is at least the 7th health worker to die of the COVID-19 disease among the more than 1,700 doctors and nurses who have become sick. #Coronavirus #LiuZhiming",DC,covid
2020-02-17 00:02:01+00:00,We know this mission has taken a great deal of effort to put together at #EB146 | Who is in it? @Who @DrTedros | What’s the #Gender &amp; #LMIC composition. Walking the talk on #DiversityandInclusion must apply in all settings #COVID_19 #COVID19 #coronavirus #Operation5050,DC,covid
2020-02-16 23:57:22+00:00,Only 24% of the #COVID_19 #COVID19 @WHO #EmergencyCommittee are women and limited LMIC representation #Operation5050 we are preparing a experts in #GHSA . No good excuse in 2020 for gender &amp; geographical inequitable teams. #HealthSecurity @DrMikeRyan @DrTedros,DC,covid
2020-02-12 20:30:32+00:00,"Your Tweet triggered an itching curiosity: if Covid-19 now identified, can we be informed whether its structure is ""natural"" or shows signs of human-made modification? Chinese might not answer, but how about experts elsewhere? ",DC,covid
2020-02-28 18:28:54+00:00,"Nahidid Khodakarami, the head of Tehran City Council Health Committee, said: ”In the most pessimistic case, the number of people with coronavirus disease [COVID-19] in Iran may be as high as 10,000 or 15,000 cases”",DC,covid
2020-02-28 14:09:25+00:00,Gene tech helps to massively accelerate the search for a covid-19 vaccine. Great times we live in! #dontpanic #science #innovation,DC,covid
2020-02-28 13:55:39+00:00,"Iran also recorded another major increase of its #Covid_19 cases, as 143 cases were confirmed on Friday and that brought the total number to 388.",DC,covid
2020-02-27 23:09:51+00:00,The only thing I have to say about COVID-19... I just hope it sparks convo. around the relationship between public health &amp; economic stability.,DC,covid
2020-02-27 21:27:53+00:00,Start the day lecturing on skin diseases to military occupational medicine residents @Uniformed Services University & end by talking COVID-19 on Voice of America’s Ukrainian Service Chas/Time TV. Gotta love the variety of public health! @UMDPublicHealth @chastime @USUhealthsci,DC,covid
2020-02-27 18:00:05+00:00,If one is on the West Coast this is an event one can not afford to miss at a crucial time in the global effort to mitigate & contain the Covid-19 virus. Please join us at the @uclaanderson @UCLAForecast.,DC,covid
2020-02-27 14:48:18+00:00,"Haha. Nikkei: Xi's prediction of a cursed year came true Coronavirus proves black swans fly in years ending in '9.' As COVID-19 suggests, the coronavirus disease raging across the world originated in 2019. Xi had warned cadres of black swans and gray rhinos a year ago.",DC,covid
2020-02-27 10:49:36+00:00,Great question! Right now @WHO is saying it is safe to get a package from an area where COVID-19 has been reported. Low risk of it being transmitted by mail. @ABC7News ABC7News @ABC7GMW #coronavirus #CoronaVirusUpdates https://twitter.com/patpend/status/1232974785979781121,DC,covid
2020-02-27 00:18:11+00:00,I have run out out of words. Trump’s press conference on the #Covid_19 #CoronavirusOutbreak was a joke. Blaming the stock markets on the democratic debate. Politicizing our safety. Pathetic.,DC,covid
2020-02-27 00:08:03+00:00,"The president is over here singing praises about administration & saying we’re doing so well. What he should be doing his addressing the real concerns folks have re: COVID-19 and giving real reassurances because, news alert - people ARE being impacted by this right now. ",DC,covid
2020-02-26 21:55:38+00:00,@CDCgov @NIH @WHO What can americans do to protect and prepare for the COVID-19 ? Should we be looking into purchasing PPE ‘s (personal protective equipment’s) ?,DC,covid
2020-02-26 20:17:02+00:00,@NACCHOalerts Thanks for having NALBOH to help promote Public Health on the Hill this morning- funding needed to fight and prep for COVID-19 and overall funding and loan repayment incentive for PH recruiting and retaining personnel!,DC,covid
2020-02-26 15:56:33+00:00,"Our @RSMUSLLP middle market clients should begin considering alternative supply chain options, alternative transportation options &amp; liquidly arrangements to bridge any unusual &amp; exigent circumstances surrounding the COVID-19 virus. ",DC,covid
2020-02-26 15:13:34+00:00,"Its spelled Coronavirus COVID-19 Its very serious! Spreading already Possible global pandemic For once in your life, @POTUS Don't LIE! People are dying Good governance essential. Get Experts in the room! And listen. It's our only hope! Peace Send ppl to",DC,covid
2020-02-26 02:33:22+00:00,Lots of folks very interested in COVID-19 right now. https://analytics.usa.gov/,DC,covid
2020-02-25 17:28:46+00:00,"Helpful thread for #thematic mapping tips, using COVID-19 as a real time example ",DC,covid
2020-02-25 17:20:07+00:00,"My boss, who is normally very unflappable and profoundly not dramatic, is spiraling with me over the global, regional, and local threat of Covid-19! What a Tuesday!",DC,covid
2020-02-25 14:23:07+00:00,The John Hopkins University CSSE Coronavirus COVID-19 Tracker is the best I’ve seen so far. https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,DC,covid
