date,text,state,query_term
2020-03-30 03:13:03+00:00,Light at e end of the tunnel... FDA executes emergency authorization of Hydroxycloroquine for use in Covid-19 patients. They are having great results!,Alabama,covid
2020-03-29 19:53:48+00:00,"one of my friends just lost someone to covid-19. please say a prayer for them and all those fighting this illness. may they rest in peace. some of you haven't realized this yet, but this pandemic is real life. stay the fuck home!!!!",Alabama,covid
2020-03-29 17:18:50+00:00,"Doing very well!Nice enough out to play in my flower garden.I have Tulips breaking through and daffodils!I hope you and your family are doing well? I'm located in Western NY. My friend just passed away from COVID-19,her husband is on a waiting list to be tested. NO TEST KITS?!?!! ",Alabama,covid
2020-03-29 15:11:46+00:00,"COVID-19 has taken someone I know and love. Her husband is on a waiting list to be tested. She passed 3 days ago. They had symptoms a week ago,felt better,then took a terrible turn.He rushed her to the hospital where she died. NO TEST KITS!NONE AVAILABLE IN OUR AREA OF WESTERN NY ",Alabama,covid
2020-03-29 12:44:08+00:00,"Clinical studies of 80 critically sick people of CoViD-19... 78 have had a significant viral load decrease In 5-7 days time. Thank you for keeping the faith, for trying something… https://www.instagram.com/p/B-UWf2_BOD-CDivohx0B3v2UMAl_bewrPy4zrY0/?igshid=1o4kpovrb19gs",Alabama,covid
2020-03-29 03:38:07+00:00,#Buffalo #Rochester #Covid_19,Alabama,covid
2020-03-27 21:35:19+00:00,Superintendent Soler’s COVID-19 Update: 3-27-2020 #BetterTogetherBatavia #WEareBatavia ,Alabama,covid
2020-03-25 22:19:08+00:00,"yo, it's really bothering me mentally that im deemed an essential worker, but due to my health issues it puts me at risk and i can't be at work. if i were to test positive for covid, id end up on a ventilator...and i sure as hell know they don't have enough of those to go around",Alabama,covid
2020-03-25 17:46:50+00:00,"Why do teachers think we should receive even more work than they give us in school, on google classroom? I haven’t done as much work as I have this week all semester. Thanks COVID 19",Alabama,covid
2020-03-25 04:40:41+00:00,"If no life is worth losing to add one more point to the Dow, one has to wonder whether this guy counts. Reality check: Even though COVID-19 is more URGENT than climate change, it is far LESS important. Another reason for generational bickering, however. #SimulationFinalStage https://twitter.com/JoeBiden/status/1242604610319192065",Alabama,covid
2020-03-23 21:33:01+00:00,"For Questions about Covid-19, Please check out these Federal, State and County Websites. FEMA: Download the App ( https://apps.apple.com/us/app/fema/id474807486 ) or go to http://FEMA.Gov New York State: https://coronavirus.health.ny.gov/home Or Goto the County of Erie by this link: http://www2.erie.gov/health/index.php?q=covid-19-information-businesses-0",Alabama,covid
2020-03-20 23:21:38+00:00,"Yes, I 100% Agree with you! He and Pence need to resign. Let the grown ups(Scientists/Doctors) take-over covid-19. Sadly, trumpy and the R's knew Jan 3, but called it a Hoax. Ppl are sick and some are dying. trumpy and his admin dropped the ball on this! Nov 3 vote them out! ",Alabama,covid
2020-03-20 20:42:41+00:00,"The first live-shot edition of our ‘Greater WNY Sports Connection’ podcast, check out me and @jsimon_21 with the local sports scene amid the COVID-19 outbreak. ",Alabama,covid
2020-03-19 17:11:45+00:00,The Holland Land Office Museum has been watching the situation regarding COVID-19. The Board of Directors and ED have decided to close and cancel events through April 1. Feel free to contact the museum by phone at 585-343-4727 or email at hollandlandoffice@gmail.com. ,Alabama,covid
2020-03-18 21:45:09+00:00,"trump is deadass out here callin covid-19 the ""chinese virus""....bro is your head screwed on straight??????? like you do realize you represent our country????? i get that it started in china, but like this is a global pandemic now. illness doesn't discriminate.",Alabama,covid
2020-03-18 09:21:05+00:00,I am so sick of Covid 19 ,Alabama,covid
2020-03-15 11:50:29+00:00,"PLEASE NOTE: As we are aware how serious this health scare is, we will not be flooding our pages with Covid-19 posts. We WILL However post any major health issues/concerns as they arrive. We want people to stay healthy and aware but there are other headlines to cover as well. TY",Alabama,covid
2020-03-14 21:33:41+00:00,@JohnCornyn is IRRESPOSNIBLE. He should be in DC voting on the Bill passed by House. #WheresMitch @senatemajldr @CDCemergency @CDCgov #Covid_19PH,Alabama,covid
2020-03-14 04:52:38+00:00,#StayTheFuckHome! Is a group on Facebook that shares information on CoVid-19! Feel free to look it up and join. No matter how near or how far... there is always room for more at… https://www.instagram.com/p/B9s4nhBBphAUDezPH2Y9u2NK9pjLwSM5G4qLzM0/?igshid=n74rn1nc3zev,Alabama,covid
2020-03-04 12:11:53+00:00,@Jeffslawson I missed what you said this dm about a webinar tomorrow on what businesses can do about covid-19 where can I find it,Alabama,covid
2020-03-21 01:36:38+00:00,#Covid_19,Alabama,covid
2020-03-20 22:49:29+00:00,MSNBC just reported a person in Pences' office has tested positive for Covid-19. WH says this person didn't have contact with Pence nor trumpy. Do you believe them? HELL NO! https://twitter.com/waltshaub/status/1241132791317909506,Alabama,covid
2020-03-18 17:28:05+00:00,is my constant coughing and shortness of breath due to my asthma flaring up? are my body aches from getting my period? on today's episode of good luck figuring that out with a lack of covid-19 tests ,Alabama,covid
2020-03-27 01:21:06+00:00," PLEASE STAY HOME COVID-19 IS ALMOST 3x MORE CONTAGIOUS THAN THE FLU, AND SYMPTOM SEVERITY VARIES! YOU COULD BE A CARRIER WITH NO SYMPTOMS! Mortality rate is greatly influenced by access to and quality of health care. Sacrifice your social life to save someone’s life. ",Alaska,covid
2020-03-24 01:57:32+00:00,I know it’s selfish of me to think of myself during covid and I really am so glad that safety is top priority but it is also breaking my heart to pack up my home in clarion so abruptly and not get to hug all my friends/professors from the past 4 years goodbye,Alaska,covid
2020-03-22 18:47:11+00:00,"I am supporting @elijahdaniel's #CULTforGOOD Project to bring hundreds of thousands of necessities and FREE coronavirus testing to the homeless population during this COVID-19 outbreak, but they still need support. Please donate if you can: ",Alaska,covid
2020-03-17 13:32:23+00:00,#covid_19 #socialdistancing #sacrificeforthegreatergood #staythefuckhome #washyourhands #getvaccinated #criticalcare @Western Pennsylvania https://www.instagram.com/p/B91ieypBifzQvctRgHG-pE02KIKJjjuJA-drIY0/?igshid=buybx1jh4s7v,Alaska,covid
2020-03-15 21:19:45+00:00,Having a BYOC tonight at my place! (Bring Your Own COVID-19),Alaska,covid
2020-03-15 12:56:47+00:00,Who is coughing because of allergies? Who is coughing because they smoke? Who is coughing the Covid-19 virus all over me?,Alaska,covid
2020-03-28 12:22:34+00:00," O Ministério da Saúde lança o app Coronavírus-SUS com o objetivo de conscientizar a população sobre o Corona Vírus COVID-19, para isso o aplicativo conta com as seguintes funções: Informar sobre os sintomas, como… https://www.instagram.com/p/B-RvPJtHXsG/?igshid=65u0afab8vdp",Arizona,covid
