date,text,state,query_term
2020-05-05 16:31:58+00:00,"Our COVID-19 Dashboard: http://bit.ly/ALCOVID19Dashboard provides daily totals and 3-day, 7-day, and 14-day moving averages of laboratory-confirmed #COVID19 cases in Alabama. View the chart by clicking on the Daily tab.",Alabama,covid
2020-05-05 15:23:14+00:00,Alabama researchers energize efforts to aid search for COVID-19 therapies https://alabamanewscenter.com/2020/05/05/alabama-researchers-energize-efforts-to-aid-search-for-covid-19-therapies/,Alabama,covid
2020-05-05 14:23:58+00:00,"Gain of function virologists are a small elite group practicing cya to its greatest extent. ""How did that polybasic furin cleavage site PRRA get into Covid-19""?",Alabama,covid
2020-05-04 22:00:34+00:00,The deaths for Covid-19 specifically is actually nearly half that...it says so on the CDC website. The 67k includes pneumonia &amp; the flu.,Alabama,covid
2020-05-04 20:29:10+00:00,One of the saddest parts of this COVID-19 crisis is watching math-challenged Alabamians try to understand why projected death totals keep changing.,Alabama,covid
2020-05-04 19:50:48+00:00,"Pleasure to speak with WVTM channel 13 regarding my bill to grant businesses, churches and others liability protection against endless lawsuits that might be filed because of the Covid-19 virus ",Alabama,covid
2020-05-04 13:44:34+00:00,"Stone damage can range from minor hairline splits to fully separated cracks. But #MARBLELIFE can fix them, and we continue to restore, clean, and disinfect surfaces during this crisis. Call today to learn about our COVID-19 protocol. #InThisTogether https://bit.ly/3eYuD4y",Alabama,covid
2020-05-04 06:32:04+00:00,Ok! 70000 dead with shutting shit down! Go ahead and get you some of that covid while I sit here and watch,Alabama,covid
2020-05-04 04:56:22+00:00,I remember reading tweet threads from Italy just like this. Mere weeks ago. Everybody seems to think they're invincible. #CoronavirusOutbreak #COVID,Alabama,covid
2020-05-04 03:56:26+00:00,The theme of this episode is meta. Even a COVID-19 reference. #rickAndMorty,Alabama,covid
2020-05-04 02:09:36+00:00,"He doesn't care. He's utterly detached from reality. The dead are numbers to him....inconvenient statistics he sees as getting in the way of his re-election. I'm surprised he didn'[t say, ""I like people who survive COVID, OK?""",Alabama,covid
2020-05-03 22:57:33+00:00,First club ride since Covid shut down. Well spaced riders. Great to see folks again. pic.twitter.com/YSfpaQqSwD,Alabama,covid
2020-05-03 16:19:05+00:00,For those thàt think #COVID__19 is a hoax.. .,Alabama,covid
2020-05-03 15:26:24+00:00,"Life is getting difficult to deal with, tired of this Covid 19 crap. People have lost their minds and life. Social distancing is stupid. ",Alabama,covid
2020-05-02 17:55:01+00:00,How are you guys doing during COVID-19 this week? • ,Alabama,covid
2020-05-02 17:25:12+00:00,my friend @MeLeighaAnders is taking a covid 19 test praying that it’s negative ,Alabama,covid
2020-05-02 16:36:16+00:00,"UAB is now offering antibody blood tests for the new coronavirus that can let patients know if they have been exposed to the virus that causes COVID-19, according to an announcement from UAB. ",Alabama,covid
2020-05-02 15:59:21+00:00,"According to the data from ADPH, no one under the age of 25 has died from COVID-19 in Alabama. ",Alabama,covid
2020-05-02 14:18:06+00:00,"Lengthy article, but the best thing I’ve read on CoVID this far. ",Alabama,covid
2020-05-02 12:20:34+00:00,"Liz Adams is a travel nurse from Huntsville working in a COVID-19 unit in Boston. “My concern for Alabama, based on what I see people posting on Facebook, is the lack of awareness and not taking something like this seriously,” she said. https://trib.al/lo02I0x",Alabama,covid
2020-05-05 21:55:47+00:00,". @realDonaldTrump @VP Over 70,000 U.S. deaths &amp; over 1.2 million U.S. cases. Why bother with a task force to combat the #COVID19 HEALTH crisis? What's another 50,000 or 60,000 #COVID U.S. deaths? VP Pence says #coronavirus task force could be disbanded",Alabama,covid
2020-05-05 21:29:58+00:00,"Exactly, but if you listen to the news our deficit is due to covid 19.",Alabama,covid
2020-05-05 21:27:28+00:00,Since when does the GOP resist big spending? They've spent 3 TRILLION on covid relief. #COVID19,Alabama,covid
2020-05-05 20:38:10+00:00,COVID-19 updates for the US #covid19,Alabama,covid
2020-05-05 19:48:32+00:00,Poll regarding Trump's response to #coronavirus during the first days &amp; weeks. #COVID19 #COVID ,Alabama,covid
2020-05-05 19:01:49+00:00,"Today, May 5th, is World Hand Hygiene Day! Handwashing is one of the most effective actions you can take to reduce the spread of pathogens and prevent infections, including the COVID-19 virus. #HandHygiene #WHO #PublicHealth",Alabama,covid
2020-05-05 15:20:01+00:00,This is the 7-day average COVID-19 deaths per County for Alabama. Only 20 counties have reported a death in the last 7 days. ,Alabama,covid
