date,text,state,query_term
2020-04-02 17:35:14+00:00,If they were smart they would postpone this year's election and try in 2024 to find a stable democratic candidate.,Connecticut,election postpone
2020-04-02 01:22:00+00:00,Helll to the fucking NOoo! We shall postpone the election until we can show up with the ID in hand. The Dems are crooks and this would only help sleepy creepy joe. @realDonaldTrump better make sure that we vote in person.,Connecticut,election postpone
2020-04-08 13:11:36+00:00,Under the emergency powers act he can postpone the election until it is safe for people to vote.,DC,election postpone
2020-04-07 18:55:58+00:00,"Courts have overturned the Wisconsin Governor's order to postpone today's election, forcing residents to choose between voting &amp; protecting themselves from COVID-19. Mail ballots are due by 8pm tonight &amp; 43% have not been returned yet.",DC,election postpone
2020-04-04 19:34:11+00:00,No. He cannot postpone a presidential election. ,DC,election postpone
2020-04-02 19:41:35+00:00,"As many of you know, we requested Gov. Reeves postpone both the MS-2 Republican Runoff and the HD88 Special Election. We appreciate Gov. Reeves for listening to our concerns and those of the impacted election officials. Both elections are now scheduled for June 23, 2020. ",Mississippi,election postpone
2020-04-13 16:05:11+00:00,"I get so excited when I think about the possibility of the trump machine being gone. I don't think it will be easy. I think they're going to cheat in any way they possibly can. I'm afraid that they will do anything they can to either delay, postpone, or even cancel the election",Nevada,election postpone
2020-04-27 20:59:58+00:00,Can Trump Cancel or Postpone Election Day? | NowThis https://youtu.be/J68OPGA_Fdg via @YouTube,New York,election postpone
2020-04-24 17:30:30+00:00, CNN: Why Donald Trump can't just postpone the November election. https://www.cnn.com/2020/04/24/politics/donald-trump-joe-biden-november-election-postpone/index.html. *GREAT NEWS WANNABE DICTATOR AND AUTOCRATS PUTIN PUPPET TRUMP CAN'T STOP THE WILL OF PEOPLE. via @GoogleNews,New York,election postpone
2020-04-22 00:34:55+00:00,This is exactly Trumps plan so he can postpone the election in November indefinitely.,New York,election postpone
2020-04-08 14:47:20+00:00,"Sadly, changing election process to adjust mail-in voting will require a Democratic #BlueWave in November – if Republicans and SCOTUS don't successfully postpone #2020election indefinitely. And you know they are working on doing that using #Coronavirus",New York,election postpone
2020-04-07 22:56:20+00:00,Why should president Trump want to cancel or postpone the November election? He’s going to win and win big!,New York,election postpone
2020-04-07 19:49:00+00:00,Evers refused to postpone the election until yesterday. You people are hacks.,New York,election postpone
2020-04-07 18:40:54+00:00,"(1/2) In the midst of a DEADLY pandemic, the state of Wisconsin is moving ahead with their primary election TODAY, despite countless requests and injunction filings by Democrats to postpone at least until June 2020. ",New York,election postpone
2020-04-07 16:09:29+00:00,He’s not even there!! He lost to a Dem. Gov Evers wanted to postpone the election. These SOB repubs went to Supreme Court and they overturned the Governors executive order! There are no words!!,New York,election postpone
2020-04-07 12:51:08+00:00,"The @wisgop should be ashamed of themselves. They are absolutely increasing the amount of deaths that will occur in Wisconsin. They have blood on their hands for refusing to work withthe governor to postpone the election, or at least make it easier for people to avoid the polls.",New York,election postpone
2020-04-06 22:50:30+00:00,The Wisconsin Supreme Court ruled 4–2 to overturn Gov. Tony Evers’s executive order that postponed Tuesday’s in person elections until June 9 and ruling that Gov. Evers did not have the authority to postpone the election unilaterally,New York,election postpone
2020-04-06 15:51:22+00:00,"So, I’m very curious... isn’t Wisconsin going to postpone their primary election due to the coronavirus?",New York,election postpone
2020-04-03 21:21:45+00:00,what game is the GOP playing? postpone the election you jackasses! ,New York,election postpone
2020-04-03 19:16:37+00:00,Wisconsin Gov. Tony Evers who hasn’t asked state legislation to consider postponing the primary is now announcing he wants to postpone &amp; called for a special session on Saturday to take up legislation to avoid in-person voting &amp; create an all-mail election with a May 26 deadline,New York,election postpone
2020-04-02 17:13:55+00:00,Yea I’m retired so I’m use to everyday being Saturday. I hear Democrats postponed the convention. I’d say we postpone the Presidential election till 2021. First time in history a President does a five year term. Extenuating circumstances calls for it. What do you think? ,New York,election postpone
2020-04-02 12:33:58+00:00,Postpone the election like everything else! There should be 1 clean station being broadcast with real news and zero commercials,Pennsylvania,election postpone
2020-04-08 13:11:36+00:00,Under the emergency powers act he can postpone the election until it is safe for people to vote.,Washington,election postpone
2020-04-07 18:55:58+00:00,"Courts have overturned the Wisconsin Governor's order to postpone today's election, forcing residents to choose between voting &amp; protecting themselves from COVID-19. Mail ballots are due by 8pm tonight &amp; 43% have not been returned yet.",Washington,election postpone
2020-04-04 19:34:11+00:00,No. He cannot postpone a presidential election. ,Washington,election postpone
