date,text,state,query_term
2020-03-21 12:43:38+00:00,"Dear all: I cannot stress enough how important it is to get your state to prepare NOW for vote by mail in Nov, especially if you are in a red state. Trump can’t postpone the election, but he can get your state legislature to STEAL IT from you. Start working on it TODAY!",DC,election postpone
2020-03-19 12:47:46+00:00,Does anyone think there’s truth to the theory that trump slowed his initial response to COVID-19 so he could have a reason to postpone the election? #ElectionIntegrity,DC,election postpone
2020-03-16 22:47:35+00:00,I guess that’s responsible but we can’t postpone The Election in November. I really think something more sinister is going on... this ain’t it...,DC,election postpone
2020-03-16 21:01:04+00:00,"Folks, Trump wants this pandemic to reach critical mass so he can postpone the election. Y'all better wise up to that.",DC,election postpone
2020-03-16 01:29:52+00:00,I guarantee that Trump and the GOP start a campaign to postpone the election because of COVID19. Mark my words.,DC,election postpone
2020-03-14 07:33:49+00:00,You know Trump and his peeps are looking for a way to postpone if not cancel the election.,DC,election postpone
2020-03-11 13:08:06+00:00,"What's the point of the 25th Amendment? This country is never going to make it to Nov election Trump is a ""ticking-time bomb"" He will declare a 《National Emergency》 to postpone the elections &amp; remain in office! JUST imagine Trump's mush brain on self-preservation OVERLOAD!",DC,election postpone
2020-03-05 00:47:13+00:00,"To talk a line from sports, Biden is washed. Don't think he can survive a campaign with as many gaffes as he makes. Only thing that potentially helps Biden is the coronavirus thing but if it gets bad enough, Trump will just postpone the election to save himself.",DC,election postpone
2020-03-02 16:57:53+00:00,"Again, I will NOT be surprised if this guy tries to postpone/cancel/alter/modify the election. ",DC,election postpone
2020-03-18 18:21:28+00:00,That's bc if they postpone their primaries they're afraid Trump will use their logic (as strange as that sounds) to postpone the national election. I think it'd be great and a blast to watch.,Idaho,election postpone
2020-03-22 19:44:27+00:00,Wow. Proposal circulating in Brazil’s congress to postpone 2020 municipal elections to 2022 because of #COVID19 ... meaning that 2022 election would be for EVERY elected office from local state federal ,Massachusetts,election postpone
2020-03-24 15:13:39+00:00,part of me thinks the GOP wants more people to die so that they can exacerbate the crisis enough and we are forced to postpone the election,New York,election postpone
2020-03-19 11:07:23+00:00,"Election 2020: it's about time US implement a serious, reliable and more effective way to vote. We don't want to postpone presidential elections.",New York,election postpone
2020-03-18 07:12:00+00:00,"You’re entitled to your opinion but your statement is stupid! Democrats are turning out to stop Trump not for Biden or his vision to return to the status quo. Whether Bernie was winning or losing the race he’d be saying, as he did today, postpone the election keep people safe. ",New York,election postpone
