date,text,state,query_term
2020-05-04 18:56:33+00:00,"I've been saying, he's not leaving anyway so c19 is an excuses to postpone election altogether. He'll claim that folks need to be healthy to vote, that for safety sake, polls should not open... He'll also cont the line that this is a time of ""war"" to push a patriotic narrative",Colorado,election postpone
2020-05-05 08:38:39+00:00,"He'll also try to postpone the election. Or only polls in his states/districts will be open, thus guaranteeing him a win. That's why they're fighting so hard against mail-in ballots (which those of us in WA have been doing for ages) and against keeping the USPS in business.",DC,election postpone
2020-05-04 23:42:56+00:00,"Wonder the odds that in November, COVID19 second wave will be so bad, because of today's actions, that 45* goes full blown dictator & uses it as an excuse to ""postpone"" the election - while dismantling USPS so no mail in voting?",DC,election postpone
2020-05-04 14:24:42+00:00,Remember the time Democrats panicked that Trump would postpone the election? #Democrats,DC,election postpone
2020-05-03 19:10:08+00:00,The quickest way to get democrat governors to lift lockdown is to postpone general election until everyone is free from lockdown. If democrats can cancel and postpone primaries its only reasonable to do same of general. @TheFive @realDonaldTrump,DC,election postpone
2020-05-03 14:29:16+00:00,"There’s nothing Trump can do to stop the presidential election or extend his term in office, writes @derektmuller https://www.wsj.com/articles/trump-cant-postpone-the-election-11588175516 via @WSJ",DC,election postpone
2020-05-04 15:52:20+00:00,He'll try to postpone the election,Delaware,election postpone
2020-05-05 15:54:45+00:00,Trump knew about this virus back at the beginning of December and did nothing about it. There's a reason he and his republican governors are opening states up early. They want to the pandemic to continue and grow because then he can postpone the election. just wait,Georgia,election postpone
2020-05-01 18:37:18+00:00,We need a detailed #COVID19 plan to safely VOTE. Ga Voters DEMAND one since @GaSecofState &amp; @securethevotega have dropped the ball #gapol ASK the @accgov EXPERTS. Brad &amp; our SEB infected their right for a safe secure ELECTION. #SHAMEFUL #gapol https://www.law.com/dailyreportonline/2020/04/30/georgia-voters-ask-judge-to-postpone-primary-to-implement-covid-19-safety-plan/?cmp_share=share_facebook&amp;fbclid=IwAR0bET1Au7Pz6X8YZXVqhJmey8iTuqrLNLNgBxN3RIbvDqIzA4MXIw_cU3M,Georgia,election postpone
2020-05-05 23:29:26+00:00,"""it would be an arduous process, even before you factor in the House of Representatives being controlled by Democrats. Even if Congress did postpone the election, there would still be an expiry date on Trump’s term."" https://amp-theguardian-com.cdn.ampproject.org/v/s/amp.theguardian.com/commentisfree/2020/apr/14/trump-cant-cancel-the-election-but-he-will-try-to-stop-people-voting?amp_js_v=a3&amp;amp_gsa=1&amp;usqp=mq331AQFKAGwASA%3D#aoh=15887210769325&amp;amp_ct=1588721090506&amp;csi=1&amp;referrer=https%3A%2F%2Fwww.google.com&amp;amp_tf=From%20%251%24s&amp;ampshare=https%3A%2F%2Fwww.theguardian.com%2Fcommentisfree%2F2020%2Fapr%2F14%2Ftrump-cant-cancel-the-election-but-he-will-try-to-stop-people-voting",Maryland,election postpone
2020-05-05 23:24:58+00:00,I would of asked @DavidMuir what do you propose I do not open and postpone the election for another year ,Maryland,election postpone
2020-05-05 03:23:43+00:00,"It's too risky to vote in person, so let's postpone the election til after we have completely eradicate Covid. 2 or 3 yrs they say, I'm good with it.",Maryland,election postpone
2020-05-04 18:54:07+00:00,"He figures the less people who vote , the better. People can’t vote if they are dead! Or maybe he wants to try to use the deaths as an excuse to postpone or cancel the election. Legally he can’t, but how often does he obey the law?",Maryland,election postpone
2020-05-01 23:11:58+00:00,If it is too dangerous to vote in person perhaps we should postpone the election until it is safer. That will get the liberals knickers in a twist,Maryland,election postpone
2020-05-03 00:51:20+00:00,"I whole-heartedly expect that, if Trump is still losing to Biden in the polls come August-September, he'll mismanage things enough for another COVID spike, and then try to spin it to look like a hero and/or postpone the election out of concern for ""national security."" ",Massachusetts,election postpone
2020-05-04 17:40:48+00:00,"My feeling is Trump wants to open everything now so that the second wave hits in October so he can ""postpone"" the election as a national security issue. After all he is a wanna be dictator. #mondaythoughts #COVID19 #RepublicansAreKillingUs",New York,election postpone
2020-05-02 04:32:43+00:00,Trump has already used COVID-19 as pretense for “total” authority. Will the Court let him cite the NYS BOE as precedent to try to postpone or cancel the 2020 presidential election? History is watching. ,New York,election postpone
2020-05-01 13:14:04+00:00,"There’s nothing Trump can do to stop the presidential election or extend his term in office, writes @derektmuller",New York,election postpone
2020-05-04 15:51:30+00:00,I got your back on this. No other explanation. Look at what this virus did. Attempt to sabotage our election...check. Cripple our economy...check. Postpone the trade deal...check. Give cover for tyrannical lockdowns...check. Used to make us afraid...check. ,Ohio,election postpone
2020-05-01 23:57:35+00:00,That’s the plan. The virus becomes really bad come September October and he tries to postpone the election.,Oklahoma,election postpone
2020-05-03 15:22:42+00:00,We need to postpone the 2020 election until 2024.,Oregon,election postpone
2020-05-03 02:10:24+00:00,https://gab.com/NeonRevolt/posts/104091863583291368 #BigMike2020 #MichealObama2020 #postpone2020Election until #2024Election @realDonaldTrump please postpone the election,Oregon,election postpone
2020-05-02 22:37:35+00:00,Wake up! @realDonaldTrump please postpone our election until 2024! That way Democrats cant put Vote by Mail nationwide and try to steal the election. ,Oregon,election postpone
2020-05-02 21:50:59+00:00,@realDonaldTrump please postpone the 2020 election until 2024. ,Oregon,election postpone
2020-05-01 03:33:35+00:00,"James 8 Corney, John Poclesta Hillary Ciinton, Obarna please release it all. Postpone the 2020 election til 2024. That way we will be saved from Mail in Fraud, and CV",Oregon,election postpone
2020-05-01 01:05:06+00:00,Let's postpone the 2020 election until 2024 that will make sure we are all safe from CV. I bet Democrats and Fauci will change his tune asap.,Oregon,election postpone
2020-05-01 01:04:06+00:00,@scrowder can we start a petition to postpone the 2020 election until 2024 that way we can wait until we will be safe from CV rather than mail in ballots that are ripe for voter fraud.,Oregon,election postpone
2020-05-02 11:25:14+00:00,"Kimmel Complains, Trump ‘Feeding Wingnuts’ W/ 'Conspiracy' ‘Blaming’ China for Virus Blaming China for a virus that originated under mysterious circumstances in China is “crazy,"" but believing Trump will “postpone” the 2020 election, is perfectly rational. ",Tennessee,election postpone
2020-05-05 18:33:19+00:00,And they’ll keep pushing that fake talking point all the way to the election. The cure? Postpone election for one year. ,Texas,election postpone
2020-05-04 18:45:30+00:00,Trump wants to use COVID-19 To manipulate the election. He wants citizens out now. A month or so before election he’ll be crying it’s too dangerous just like the Wisconsin Supreme Court did Wisconsin governor warning to postpone election day,Texas,election postpone
2020-05-04 14:41:24+00:00,,Texas,election postpone
2020-05-04 02:32:59+00:00,Congressional extremist Alexandria ocasio-cortez looks like justice Ruth Bader Ginsburg. Trump has been using the Congressman to cast a political curse on the justice. He also wants to use the congresswoman to postpone the presidential election.,Texas,election postpone
2020-05-01 23:37:42+00:00,"Okay. We can postpone the election. Of course, if we do that, Donald Trump is no longer President come January 2021. Instead, it'll be a Democrat who temporarily holds the office until the next election.",Texas,election postpone
2020-05-05 08:38:39+00:00,"He'll also try to postpone the election. Or only polls in his states/districts will be open, thus guaranteeing him a win. That's why they're fighting so hard against mail-in ballots (which those of us in WA have been doing for ages) and against keeping the USPS in business.",Washington,election postpone
2020-05-04 23:42:56+00:00,"Wonder the odds that in November, COVID19 second wave will be so bad, because of today's actions, that 45* goes full blown dictator & uses it as an excuse to ""postpone"" the election - while dismantling USPS so no mail in voting?",Washington,election postpone
2020-05-04 14:24:42+00:00,Remember the time Democrats panicked that Trump would postpone the election? #Democrats,Washington,election postpone
2020-05-03 19:10:08+00:00,The quickest way to get democrat governors to lift lockdown is to postpone general election until everyone is free from lockdown. If democrats can cancel and postpone primaries its only reasonable to do same of general. @TheFive @realDonaldTrump,Washington,election postpone
2020-05-03 14:29:16+00:00,"There’s nothing Trump can do to stop the presidential election or extend his term in office, writes @derektmuller https://www.wsj.com/articles/trump-cant-postpone-the-election-11588175516 via @WSJ",Washington,election postpone
