date,text,state,query_term
2020-04-16 00:48:26+00:00,"...terms)), & his complete failure to declare a national emergency by mid-February at least &amp; his continuing refusal (even after his March 13th national emergency declaration) to issue a national shelter-in-place order which would have greatly reduced the rate of infection. He...",DC,emergency declaration
2020-04-16 00:21:40+00:00,"...shelter-in-place orders be rescinded when he has no such power whatsoever (he WOULD have the power to rescind a NATIONAL shelter-in-place order, but he never gave such an order despite his national emergency declaration), &amp;...Jesus, I forgot what I was saying. But I think...",DC,emergency declaration
2020-04-16 00:16:18+00:00,"...fact April has seen tens of thousands of Americans die — FAR more deaths of all the previous months combined...& it’s just April 15th now, his declaration of a national emergency on March 13th (something that would give him sweeping — but not total as he claims — authority...",DC,emergency declaration
2020-04-13 19:33:34+00:00,#Trump called this afternoon 50 Governors to discuss to reopen economy. Looking forward to #TrumpPressConference this afternoon about specifics. Trump signed emergency #coronavirus declaration for all 50 states. The 10th Amendment should be interpreted by #SCOTUS.,DC,emergency declaration
2020-04-04 12:38:05+00:00,“Delaware State Police say Gov. John Carney’s state of emergency declaration ‘authorizes any Delaware law enforcement officer to stop a vehicle driving within the state simply because it is displaying out-of-state tags.’” ,DC,emergency declaration
2020-04-14 07:23:16+00:00,I disagree with Santorum. Under the emergency act the president has the power to promote the general welfare. The act was passed by Congress in 1976. His recent declaration was passed by Congress to among other things distribute the funding for virus relief.,Delaware,emergency declaration
2020-04-21 15:48:33+00:00,"In accordance with the New Jersey State Emergency Declaration, The Belmar Borough Council Meeting scheduled for April 7, 2020 at 6:00pm will be a Video Conferencing Online Meeting without public attendance. The… https://www.instagram.com/p/B_P54qeAZPf/?igshid=2b70o4o6pd8a",Georgia,emergency declaration
2020-04-14 09:49:14+00:00,Emergency declaration Remove habeas corpus Comply or go to jail...go directly to jail...do not pass go...do not collect 200 dollars... See I did it,Georgia,emergency declaration
2020-04-24 20:43:01+00:00,"Missouri’s @GovParsonMO has extended the Emergency Declaration through June 15th, but the Stay at Home order is still slated to end on May 4th.",Missouri,emergency declaration
2020-04-19 17:18:50+00:00,Trump couldn’t do a lockdown in only one or a few states. It’s unconstitutional. He could’ve done a national lockdown (all 50 states) in tandem with his declaration of a national emergency. But he failed.,New York,emergency declaration
2020-04-13 23:50:55+00:00,He. Meant. Now. To open the country. Given all 50 states under emergency declaration— which they did to get the $$$$,New York,emergency declaration
2020-04-13 23:27:16+00:00,"For the first time in the history of America, all 50 States are under an emergency declaration! Please stay at home to save lives! #ShelterInPlace",New York,emergency declaration
2020-04-16 00:48:26+00:00,"...terms)), & his complete failure to declare a national emergency by mid-February at least &amp; his continuing refusal (even after his March 13th national emergency declaration) to issue a national shelter-in-place order which would have greatly reduced the rate of infection. He...",Washington,emergency declaration
2020-04-16 00:21:40+00:00,"...shelter-in-place orders be rescinded when he has no such power whatsoever (he WOULD have the power to rescind a NATIONAL shelter-in-place order, but he never gave such an order despite his national emergency declaration), &amp;...Jesus, I forgot what I was saying. But I think...",Washington,emergency declaration
2020-04-16 00:16:18+00:00,"...fact April has seen tens of thousands of Americans die — FAR more deaths of all the previous months combined...& it’s just April 15th now, his declaration of a national emergency on March 13th (something that would give him sweeping — but not total as he claims — authority...",Washington,emergency declaration
2020-04-13 19:33:34+00:00,#Trump called this afternoon 50 Governors to discuss to reopen economy. Looking forward to #TrumpPressConference this afternoon about specifics. Trump signed emergency #coronavirus declaration for all 50 states. The 10th Amendment should be interpreted by #SCOTUS.,Washington,emergency declaration
2020-04-04 12:38:05+00:00,“Delaware State Police say Gov. John Carney’s state of emergency declaration ‘authorizes any Delaware law enforcement officer to stop a vehicle driving within the state simply because it is displaying out-of-state tags.’” ,Washington,emergency declaration
2020-04-16 12:18:03+00:00,So am I correct that those protesting in Lansing yesterday were protesting the EO which was made possible by the GOP-controlled legislature approving Whitmer’s emergency declaration? @ChadLivengood @sjdemas @ZachGorchow,Wyoming,emergency declaration
