date,text,state,query_term
2020-05-01 14:05:16+00:00,Michigan standoff: Whitmer issues fresh COVID-19 emergency declaration after legislature prepares to sue ,Alabama,emergency declaration
2020-05-01 04:59:40+00:00,"Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",Alabama,emergency declaration
2020-05-01 02:15:57+00:00,"Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",Alabama,emergency declaration
2020-05-01 02:23:56+00:00,".000001% of population has died of #wuhanvirus yet this Facist continues her overreach. Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",Alaska,emergency declaration
2020-05-05 05:54:19+00:00,"Dear @DougDucey, With the #MeatShortage going on, how about passing some kind of emergency declaration over-riding HOA rules against backyard hens? Then we can all grow our own meat right in our backyards. You're welcome, Arizona.",Arizona,emergency declaration
2020-05-02 20:48:49+00:00,"Writ of habeas corpus suspension is a defined specific thing, it is not a emergency declaration eliminating rights of citizens by the stroke of a pen. ",Arizona,emergency declaration
2020-05-01 21:23:58+00:00,PA State Representatives: Recall PA Governor Tom Wolf's Emergency Declaration and put PA back to work! - Sign the Petition! http://chng.it/6HRd2qqn via @Change,Arizona,emergency declaration
2020-05-01 13:49:58+00:00,"Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP https://fxn.ws/3aQ5pSz #FoxNews",Arizona,emergency declaration
2020-05-01 04:52:34+00:00,Michigan governor extends state of emergency after lawmakers refuse to lengthen disaster declaration - CNN Politics ,Arkansas,emergency declaration
2020-05-05 22:01:03+00:00,Oregon Governor Kate Brown Extends Emergency Declaration Past Independence Day ,California,emergency declaration
2020-05-04 19:44:47+00:00,"@ChristyforCA25 @MikeGarcia2020 What are your positions on @SpeakerPelosi delaying the House returning today &amp; her refusal to approve remote voting. Even the Supreme Court has secured phone hearings. Why not Congress, under the Emergency Declaration by President @realDonaldTrump?",California,emergency declaration
2020-05-04 18:02:33+00:00,"Yes, it's happening in California. San José City Council vote 5/12/2020 to ratify declaration of the Director of Emergency Services suspending enforcement of single use plastic bag regulations in San José Municipal Code. https://sanjose.legistar.com/LegislationDetail.aspx?ID=4431930&amp;GUID=DD06CACF-F527-4C4F-A833-A19A5C660D3A&amp;Options=&amp;Search=",California,emergency declaration
2020-05-03 19:47:06+00:00,"And they’ve — they’re going to work 24 hours around the clock keeping their store stocked. VICE PRESIDENT: …So, with the emergency declaration, this was very, very important to us because it really enabled the historically effective processes of working and empowering states —",California,emergency declaration
2020-05-02 17:31:49+00:00,Do you continue to support @GavinNewsom in his illegal declaration of martial law? The Emergency Services Act gives him no such power. Well?,California,emergency declaration
2020-05-02 16:47:02+00:00,An emergency declaration is not a universal suspension of all rights. An emergency declaration doesn't grant unlimited power. It is not due process to infringe on foundational rights. It grants the power to ignore otherwise required legislative formality.,California,emergency declaration
2020-05-01 17:44:49+00:00,"This crisis, I hope will result in many states legislating some limitations to the powers that emergency declarations grant governors, especially the duration. For example, extending an emergency declaration beyond a certain number of days should require a vote",California,emergency declaration
2020-05-01 15:02:32+00:00,"Mmm I support this Gov. What a shame when we must protect a state from @realDonaldTrump &amp; his misguided ""liberate"" tweet. America lets #LiberateAmericaFromTrump #liberatewhitehouse from this impeached idiot. Republicans done with #TrumpVirusCoverup",California,emergency declaration
2020-05-01 11:38:09+00:00,"Recall Forms Available: Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP https://www.foxnews.com/politics/michigan-gov-extends-coronavirus-emergency-declaration-month",California,emergency declaration
2020-05-01 04:04:50+00:00,"MI GOP plan to sue Whitmer after she extends emergency declaration to May 28 https://washex.am/35ruX7B Whitmer is extending the torture of Michigan residents, NOT due to science, but a power play. This shrew LOVES throwing her weight around. Businesses dying, people unemployed.",California,emergency declaration
2020-05-01 00:36:54+00:00,"Republican-led Michigan Legislature refused to extend state’s coronavirus emergency declaration, voted to authorize a lawsuit challenging Dem Gov. Gretchen Whitmer’s authority &amp; actions to combat the pandemic. ",California,emergency declaration
2020-05-04 19:44:02+00:00,"@ChristyforCA25 @MikeGarcia2020 What are your positions on @SpeakerPelosi delaying the House returning today &amp; her refusal to approve remote voting. Even the Supreme Court has secured phone hearings. Why not Congress, under the Emergency Declaration by President @realDonaldTrump?",California,emergency declaration
2020-05-01 02:58:20+00:00,"Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",California,emergency declaration
2020-05-04 19:43:11+00:00,"@ChristyforCA25 @MikeGarcia2020 What are your positions on @SpeakerPelosi delaying the House returning today &amp; her refusal to approve remote voting. Even the Supreme Court has secured phone hearings. Why not Congress, under the Emergency Declaration by President @realDonaldTrump?",California,emergency declaration
2020-05-01 07:45:17+00:00,"Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",California,emergency declaration
2020-05-01 02:41:06+00:00,"#GovWhitmer aka NAZI!!!! Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",California,emergency declaration
2020-05-01 02:17:11+00:00,"Doubling down on stupid. Everyone should go back tomorrow. Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP ",California,emergency declaration
2020-05-05 18:58:22+00:00,"Our latest #OIGAudit reviewed the retail floor stock inventory for the Orlo Vista, FL, Branch in the SunCoast District of the Southern Area. The audit took place prior to the national emergency declaration of COVID-19. Read our findings here: https://go.usa.gov/xvv5V",DC,emergency declaration
2020-05-05 12:15:30+00:00,"Ocean City mayor Rick Meehan passed an emergency declaration to reopen the boardwalk, beaches and inlet parking lot this Saturday. ",DC,emergency declaration
2020-05-04 17:31:35+00:00,WHO extends emergency declaration for COVID-19 pandemic http://sbne.ws/r/Esl8,DC,emergency declaration
2020-05-04 02:11:11+00:00,"A sample of the threatening messages the mayor of Stillwater, Oklahoma received after issuing an emergency declaration requiring people wear a mask before entering a business. What lovely examples of humanity. ",DC,emergency declaration
2020-05-03 17:09:11+00:00,"Hey Trump, this is called leadership ""By refusing to extend the emergency and disaster declaration, GOP lawmakers are putting their heads in the sand and putting more lives and livelihoods at risk. I’m not going to let that happen."" - @GovWhitmer",DC,emergency declaration
2020-05-03 12:56:47+00:00,The timing of the new emergency declaration is interesting. Are electricity substations relying more on remote access (rather than physically present employees) because of the COVID19 pandemic? https://www.wsj.com/articles/u-s-moves-to-block-imports-of-some-power-equipment-11588346518,DC,emergency declaration
2020-05-02 15:52:36+00:00,Circle back to me after Hawleys 4th term and declaration of emergency powers.,DC,emergency declaration
2020-05-02 07:37:48+00:00,"Office of the Governor State of Oregon EXECUTIVE ORDER NO. 20-24 EXTENDING THE COVID-19 DECLARATION OF EMERGENCY (EXECUTIVE ORDER NO. 20-03) FOR AN ADDITIONAL 60 DAYS, THROUGH JULY 6, 2020..... Bruh we’re never going g back outside SIXTY MORE DAYS",DC,emergency declaration
2020-05-02 00:55:04+00:00,"You just have to read this story to believe it. Stillwater, Oklahoma is amending an emergency declaration requiring face coverings after members of the public threatened store employees w physical harm ",DC,emergency declaration
2020-05-01 19:30:28+00:00,"In response to armed morons yelling at her, Michigan Gov. Gretchen Whitmer (D) extends the state-of-emergency declaration and tells them to go fuck themselves. https://www.washingtonpost.com/nation/2020/05/01/whitmer-protest-gop-lawsuit/",DC,emergency declaration
2020-05-01 19:21:07+00:00,Michigan Gov. Gretchen Whitmer extends state of emergency after lawmakers refuse to lengthen disaster declaration https://cnn.it/2SsdUgu,DC,emergency declaration
2020-05-01 18:30:57+00:00,"Michigan GOP plan to sue @GovWhitmer after she extended the state's emergency declaration to May 28. ""Republican lawmakers are putting their heads in the sand and putting more lives and livelihoods at risk,"" said Whitmer. ",DC,emergency declaration
2020-05-01 14:07:27+00:00,"Michigan Gov. Gretchen Whitmer wanted lawmakers to extend her coronavirus emergency declaration by 28 days. Instead, they voted to authorize a lawsuit challenging her authority and actions to combat the pandemic. ",DC,emergency declaration
2020-05-01 02:29:09+00:00,"Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP. of course #Democrat’s don’t want to #work.",DC,emergency declaration
2020-05-01 00:01:02+00:00,Republican-led Michigan House refuses to extend Gov. Whitmer's coronavirus emergency The declaration is the foundation for Whitmer's sta ,DC,emergency declaration
2020-05-05 12:15:26+00:00,"Ocean City mayor Rick Meehan passed an emergency declaration to reopen the boardwalk, beaches and inlet parking lot this Saturday. ",DC,emergency declaration
2020-05-05 02:21:38+00:00,Please join us at this webinar where we will learn how Ann Arbor created a netzero by 2030 climate plan with extensive public engagement just four months after a declaration of climate emergency. It’s 29 months since @MoCoCouncilMD declared a climate emergency and still no plan! ,DC,emergency declaration
2020-05-04 22:43:25+00:00,"On April 10, @davidcicilline introduced a bill requiring that the president - upon a WHO declaration of an emergency - to report within 14 days of any planned use of the DPA. https://www.govtrack.us/congress/bills/116/hr6480/text",DC,emergency declaration
2020-05-04 15:42:37+00:00,You left a few significant events off of your timeline: 1/21: CDC activated their Emergency Operations Center for C-19 1/30: Trump imposes China travel ban 1/31: Trump declares a national Public Health Emergency (*one* day after WHO's declaration): ,DC,emergency declaration
2020-05-02 14:25:31+00:00,Relevant to the new national emergency declaration re: the US energy grid: concerns about Election Day shenanigans ,DC,emergency declaration
2020-05-02 14:14:58+00:00,The emergency declaration reportedly reflects intel that foreign adversaries have secured hidden footholds in the US electric power grid Well it's a good thing we have a competent White House that isn't belligerent &amp; trigger-happy to oversee all this ,DC,emergency declaration
2020-05-01 19:54:18+00:00,"""The (emergency use authorization) for remdesivir is in effect for the duration of the COVID-19 declaration..."" https://www.fda.gov/media/137565/download $GILD",DC,emergency declaration
2020-05-01 19:08:57+00:00,Witch!,DC,emergency declaration
2020-05-01 19:02:54+00:00,"OAG is enforcing the temporary expansion of DC’s paid sick leave law, which requires employers who have 50-499 employees to provide “declaration of emergency” leave for DC workers affected by #COVID19DC.",DC,emergency declaration
2020-05-01 14:34:06+00:00,"Michigan GOP plan to sue @GovWhitmer after she extended the state's emergency declaration to May 28. ""Republican lawmakers are putting their heads in the sand and putting more lives and livelihoods at risk,"" said Whitmer. ",DC,emergency declaration
2020-05-01 13:38:04+00:00,Michigan Gov. Gretchen Whitmer extends state of emergency after lawmakers refuse to lengthen disaster declaration https://cnn.it/2VUu0BA,DC,emergency declaration
2020-05-01 11:25:20+00:00,The emergency declaration gives Whitmer additional powers to issue executive orders during an emergency. She claimed she had the emergency authority regardless of what state lawmakers did. ,DC,emergency declaration
2020-05-01 03:28:58+00:00,Please note that these CMS documents state on page 1 that these waivers are in effect for the duration of the emergency declaration. See: https://www.cms.gov/files/document/covid-19-physicians-and-practitioners.pdf and https://www.cms.gov/files/document/summary-covid-19-emergency-declaration-waivers.pdf,DC,emergency declaration
2020-05-01 02:33:10+00:00,"Sounds like the good folks of #Michigan have a mini #Dictator on their hands. Be careful ⁦@GovWhitmer⁩, this is still the #UnitedStates. Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP https://www.foxnews.com/politics/michigan-gov-extends-coronavirus-emergency-declaration-month",DC,emergency declaration
2020-05-01 02:14:20+00:00,"Fuck her. #PoliceState #CovidNazis #CivilLiberties #EndTheShutdown #EndTheShutdownNow #endthelockdownnow #endthelockdown #liberateMichigan Michigan Gov. Whitmer extends coronavirus state of emergency declaration another month, takes swipe at GOP https://www.foxnews.com/politics/michigan-gov-extends-coronavirus-emergency-declaration-month",DC,emergency declaration
2020-05-01 00:35:21+00:00,The Republican-led Michigan Legislature refused Thursday to extend the state’s coronavirus emergency declaration and voted to authorize a lawsuit challenging Democratic Gov. Gretchen Whitmer’s authority and actions to combat the pandemic ,DC,emergency declaration
2020-05-02 07:00:09+00:00,Michigan Gov. Gretchen Whitmer extends state of emergency after lawmakers refuse to lengthen disaster declaration https://cnn.it/3d8rmxO,DC,emergency declaration
2020-05-01 03:24:51+00:00,Please note that these CMS documents state on page 1 that these waivers are in effect for the duration of the emergency declaration. See: https://www.cms.gov/files/document/summary-covid-19-emergency-declaration-waivers.pdf and https://www.cms.gov/files/document/covid-19-physicians-and-practitioners.pdf,DC,emergency declaration
2020-05-01 03:11:44+00:00,Michigan governor extends state of emergency after lawmakers refuse to lengthen disaster declaration. A legal fight looms. ,DC,emergency declaration
