date,text,state,query_term
2020-04-29 20:45:59+00:00,"#AskAGBarr Sir, What states are you specifically concerned about going to far with executive orders? Also is anything in the works now?",Alabama,executive orders
2020-04-29 17:30:58+00:00,I thought and was taught a democracy allows anyone who is an American citizen to run for President. I never got the memo of Constitutional edit. Or was it another one of his worthless executive orders. No respect i,Alaska,executive orders
2020-04-29 21:13:39+00:00,"Chain email claims Barack Obama has signed 1,000 executive orders | PolitiFact https://www.politifact.com/chain-email-Obama-executive-orders/",California,executive orders
2020-04-29 18:47:28+00:00,Recent Executive Orders Increase Access to Childcare for Essentials Workers ,California,executive orders
2020-04-29 14:30:41+00:00,"‘The Nightmare Scenario’: How Coronavirus Could Make the 2020 Vote a Disaster https://politi.co/2SfONx4 via @politico @rickhasen warns of legislatures usurping the vote of the people, executive orders shutting down vote locations in cities, and two winners declared.",California,executive orders
2020-04-29 12:02:21+00:00,@pnjaban We are watching @GavinNewsom destroy California using executive orders in the name of #COVID19. His plan will keep #California shutdown for months. Crickets from @ACLU @ACLU_NorCal @ACLU_SoCal #FreeCalifornia,California,executive orders
2020-04-18 23:12:29+00:00,"What civil liberties have you lost exactly, and do you think these executive orders are not temporary? To what end would state governments not want people back at work?",Connecticut,executive orders
2020-04-29 21:15:35+00:00,Join me in 15 minutes for a coronavirus telephone town hall. Joining me will be Lt Gov. Garlin Gilchrist to discuss Gov Whitmer’s recent executive orders &amp; steps being taken to keep you safe. Click the below to participate or dial 855-920-0560 at 5:30pm. ,DC,executive orders
2020-04-29 20:02:49+00:00,Congress and Federal courts can strike down executive orders. This quote if from the https://www.heritage.org/political-process/heritage-explains/executive-orders who of course was bitchin' about President Obama. But what is law for one President is law for another.,DC,executive orders
2020-04-29 20:00:00+00:00,"In a @AARPpolicy blog post, @WinQuinnPhD, @andrea_brassard, &amp; @AARPClaudio share some temporary changes that states have made to expand access to care by executive orders or by activating emergency plans during #COVID19.",DC,executive orders
2020-04-29 18:31:00+00:00,Texas’ stay-at-home order expires on Thursday and business will start re-opening in phases on Friday. What executive orders were in place? Learn more here: https://raineycenter.org/covid19stateresponseresources/#texas #txlege #texasreopening #Texas #covid19,DC,executive orders
2020-04-29 13:41:13+00:00,The fatal flaw here is that Presidential Executive Orders can't stop plants from closing and interrupting the food supply; the only thing that can keep plants open is protecting workers. #WhereIsOSHA,DC,executive orders
2020-04-24 01:54:43+00:00,"called on prisons to release elderly & vulnerable populations in prisons. ACLU also released draft executive orders that governors can use to do this, &amp; so far 15 states have released inmates, @maddow reported. Anthony Romero, Exec. Dir. of ACLU, said prisons are “volcanoes for",DC,executive orders
2020-04-24 01:30:23+00:00,"I never voted for her. This administration was warned but chose to wait until After a pandemic to respond. They changed everything else with executive orders, why not change this too if they new it was a broken system? They were warned.",DC,executive orders
2020-04-23 14:47:34+00:00,Don’t know what’s worse. Him holding his screaming rallies with the maga hats or stewing in the WH in impotence & issuing misleading executive orders. ,DC,executive orders
2020-04-23 00:09:03+00:00,Y’all are very slow. There have been executive orders put in place that say what you can leave the house for specifically. So how does that not say to you that your right to move freely has not been infringed upon? These are new orders. All you have to do is read and be quiet.,DC,executive orders
2020-04-22 00:27:24+00:00,Notice that none of the scholars or my friend @WalterOlsonMd answered my question: how far can the Governor go in issuing executive orders? Statutory powers are limited to the text and no more. Power to suspend laws is forbidden by MD Decl Rights Art. 9. ,DC,executive orders
2020-04-16 20:43:43+00:00,'Above my pay grade': New Jersey governor claims Bill of Rights did not factor into his coronavirus executive orders ,DC,executive orders
2020-04-10 19:11:11+00:00,"Lol I’m assuming there’s another press conference coming. Trying to juggle and differentiate executive orders from a president, a governor, and now a mayor of a city I don’t even technically live in (but will still be affected by)...it’s a bit shit.",DC,executive orders
2020-04-06 00:39:25+00:00,Please adhere to the executive orders. Over 70% of the confirmed patients in MD are under 60. ,DC,executive orders
2020-04-05 18:57:18+00:00,@riccimike is recreational boating prohibited under governors Hogan’s executive orders ?,DC,executive orders
2020-04-04 13:11:39+00:00,And @realDonaldTrump’ cruel and corrupt executive orders to be canceled and reversed,DC,executive orders
2020-04-01 15:54:44+00:00,"In MD? Instead of complaining, do some research. If you’re not able to figure out how to do that, I’ll give you a hint... Executive Orders. There are several “freezes to aid them,” and plenty of “guidance.”",DC,executive orders
2020-04-29 16:12:31+00:00,"Tonight at 5:30pm, join me for a coronavirus telephone town hall. Joining me will be @LtGovGilchrist to discuss Gov Whitmer’s recent executive orders &amp; steps being taken to keep you safe. Sign up below or dial 855-920-0560 at 5:30pm to join. ",DC,executive orders
2020-04-29 18:37:37+00:00,"Additionally, in accordance with Governor Murphy's executive orders, the Township will defer May 1st's property tax bill to June 1st.",Georgia,executive orders
2020-04-29 17:36:38+00:00,"Get off your ass & organize transportation, find solution to make meat packing, food processing more safe so people can return to work instead of these mindless tweets & ""executive orders"" that are out of touch with reality. Worker safety is key to these plants operating.",Georgia,executive orders
2020-04-29 17:30:58+00:00,I thought and was taught a democracy allows anyone who is an American citizen to run for President. I never got the memo of Constitutional edit. Or was it another one of his worthless executive orders. No respect i,Iowa,executive orders
2020-04-29 13:31:44+00:00,"those guidelines and executive orders are not law, while everyone should be slowly phasing in to reopening, no state ought to be doing it quickly or all at once. this does not give any weight to the WH's guidelines however, as the executive cannot legislate, at all..",Kansas,executive orders
2020-04-29 12:39:50+00:00,"Governors can order businesses to close, apparently, by using executive orders. A governor cannot restrict a person to their home as it's an unlawful arrest. They do not fall under the same law.",Kansas,executive orders
2020-04-29 12:16:20+00:00,"we have to keep on reminding ourselves that the executive branch cannot legislate, at all...and executive orders do not carry the force or effect of law.",Kansas,executive orders
2020-04-29 12:36:39+00:00,"A shoddy argument - nobody is being prevented from worshiping whatever religion they choose to. The governor's executive orders are for all gatherings, not just religious. This will lose in court but hey at least you'll get some actual lawyering experience.",Kentucky,executive orders
2020-04-13 23:05:59+00:00,MI @GovWhitmer. Has gone too far. Her executive orders were abusive and beyond the pale. Public pushing back. Recall petition gaining power against her tyranny. @99freemind @the0bubb #MIGovernorRecall,Kentucky,executive orders
2020-04-29 19:36:37+00:00,Anyone else tired of Hogan self fulfilling press conferences? While he has the luxury of getting a guaranteed paycheck from taxpayers Marylanders are losing their livelihoods due to his unconstitutional executive orders! The reality is that COVID is nowhere near the orig threat!,Maryland,executive orders
2020-04-29 18:00:33+00:00,These executive orders are not enforceable or in line with the constitution. When they are forced out to the bitter end the police will lose in court,Massachusetts,executive orders
2020-04-29 19:43:08+00:00,The whole state of Michigan needs a civics/social studies lesson.. Some reporter just asked @GovWhitmer the DUMBEST question about executive orders..,Michigan,executive orders
2020-04-29 19:31:05+00:00,More like 5 businesses to avoid once the economy opens back up,Michigan,executive orders
2020-04-29 16:26:43+00:00,#AskAGBarr What can the citizens of this country do when their Governor places executive orders that infringe our rights? Thank you,Michigan,executive orders
2020-04-29 13:53:12+00:00,"If it's anything like your executive orders, we can expect reruns over the next several days. ",Michigan,executive orders
2020-04-29 12:50:25+00:00,5 Michigan businesses sue Gov. Whitmer claiming executive orders violate constitutional rights https://www.wxyz.com/news/coronavirus/5-michigan-businesses-sue-gov-whitmer-claiming-executives-orders-have-violated-constitutional-rights @GovWhitmer lockdown is unconstitutional and I hope she loses every dime of fortune.,Michigan,executive orders
2020-04-29 12:42:51+00:00,"Plaintiff's in the case are demanding a TRIAL BY JURY Lawsuit has been brought against Gov. Gretchen Whitmer and Director of the Michigan Department of Health and Human Services, Robert Gordon",Michigan,executive orders
2020-04-29 11:06:20+00:00,https://www.wxyz.com/news/coronavirus/5-michigan-businesses-sue-gov-whitmer-claiming-executives-orders-have-violated-constitutional-rights,Michigan,executive orders
2020-04-29 13:53:05+00:00,"If it's anything like your executive orders, we can expect reruns over the next several days.",Michigan,executive orders
2020-04-29 11:22:39+00:00,5 Michigan businesses sue Gov. Whitmer claiming executive orders violate constitutional rights ,Michigan,executive orders
2020-04-29 13:48:55+00:00,Michiganders have addiction and mental problems because of your draconian executive orders! You are the cause! But in your case you will blame it on Trump! Typical liberal can’t own up to your own actions!,Michigan,executive orders
2020-04-29 12:50:07+00:00,Yeah make America greater. All the executive orders djt signs are destroying our country's Government. ,Nebraska,executive orders
2020-04-29 19:49:01+00:00,"Serious question: is “violating a state (Executive) order,” a civil/criminal offense? Do executive orders carry the force of law? ",New Jersey,executive orders
2020-04-29 18:50:38+00:00,"Yep, #PhilMurphy who campaigned on No one should get between a woman and her doctor signed executive orders limiting #Hydroxycloroquine and #remdesivir Turns out #remdesivir is a proven treatment for #COVID19 #NewJersey",New Jersey,executive orders
2020-04-29 16:43:43+00:00,"@GovMurphy Attorney General Barr is making it clear that America needs to get back to business and the Department of Justice will take steps to make sure that happens. THAT MEANS YOU JACKASS , OPEN NJ AND RESCIND YOUR RIDICULOUS BS EXECUTIVE ORDERS NOW , NO MORE EXCUSES &amp; BS ",New Jersey,executive orders
2020-04-29 15:47:03+00:00,"NJ has violated the Constitutional rights and civil liberties of every citizen in this state . This must be investigated as Executive Orders and the police powers abuses are far reaching! The AG posts a shame page to advertise people caught being out of their houses , WTF !",New Jersey,executive orders
2020-04-29 17:20:02+00:00,The hypocrisy in this whole thing has been mind blowing. Yes amidst dozens of executive orders suspending existing policy that Cuomo issued he included a policy of returning COVID patients to nursing homes. And the results were heart breaking. ,New Mexico,executive orders
2020-04-29 21:59:32+00:00,@GovWhitmer signed executive orders for frontline workers fighting covid get free college and will be paid by federal taxes wtf? Really and every thing will stay the same til 2021 when we get the vaccines how is this constitutional? America died sad day,New York,executive orders
2020-04-29 21:57:31+00:00,Yet @GovWhitmer doesn’t give them free tuition only grocery stores hospitals and nursing homes that is tax payers have to pay for now she signed executive orders on it,New York,executive orders
2020-04-29 21:55:48+00:00,One thing I’ve noticing is that New York State has passed way to many executive orders by @NYGovCuomo &amp; @NYCMayor ...... thanks to the residents of #NYC,New York,executive orders
2020-04-29 21:00:55+00:00,"Under the Governor's Executive Orders: To help prevent the community spread of COVID-19, all registered, eligible voters may apply to vote by Absentee ballot for the June 23, 2020 elections.",New York,executive orders
2020-04-29 16:38:07+00:00,"To all small business owners, defy executive orders and reopen. Patriots will support you over big Corporations who blindly follow state dictators orders! ",New York,executive orders
2020-04-29 14:31:34+00:00,"It’s a new normal but somewhat of a normal , ppl gathering , walking around with no face coverings I see around NY city , if they hand out summons’ to all people who aren’t abiding by executive orders then mayb things will change til then we all suffer cause of the ignorant",New York,executive orders
2020-04-29 14:11:02+00:00,"As we patiently wait for the executive orders to come to an end, we hope everyone is staying safe at home and when this is all over we look forward to coming back to work to continue teaching. @Rivera's Auto Driving… https://www.instagram.com/p/B_kVFiApZA4/?igshid=yqi0qwqwc76c",New York,executive orders
2020-04-29 11:40:59+00:00,He’ll use executive orders to open plants &amp; expose ppl to the virus but won’t use it to have companies make the needed PPEs to help stop the spread. He is really dangerous to our country. Expose ppl to virus ok. But to help stop it. Not ok. A true amoral man,New York,executive orders
2020-04-29 11:30:25+00:00,Piece of trash. Monster is too good a word. can’t order masks for our dying first responders but for killing animals for his nasty fat ass BRING OUT THE EXECUTIVE ORDERS. THE KING HAS SPOKEN. https://apple.news/AzgC9V1heQ-C10wZs7w-DSw,New York,executive orders
2020-04-28 23:41:41+00:00,"Executive orders remain in place until the governor or the mayor — whoever issues it — pulls it. The PAUSE order, which is different, extends to May 15, though it can be extended further.",New York,executive orders
2020-04-25 00:22:56+00:00,"These rogue GOP with this president are so freaking corrupt. We have to vote all their asses out, including nullifying all executive orders, impeaching the unqualified judges &amp; review all pardons. Cause if money was exchanged for those pardons they too will be voided! @JoeBiden",New York,executive orders
2020-04-17 21:15:01+00:00,"I say let @realDonaldTrump watch TV, Guvnor. The guy would do less damage to the country if he issued fewer executive orders. @NYGovCuomo",New York,executive orders
2020-04-15 00:52:46+00:00,"""The U.S. Supreme Court has held that all executive orders from POTUS must be supported by the Constitution"" With that said Trump can't use an EO demanding states reopen because the Constitution doesn't support the federal gov't encroachment upon states rights.",New York,executive orders
2020-04-14 02:11:35+00:00,It's as if he never heard of rule of law and government by consensus -- House and Senate. He let all thise executive orders go to his head,New York,executive orders
2020-04-10 00:36:47+00:00,UPDATE! Watch til the end! #covid19 Executive orders of New Jersey to be signed thanks to @breakfastclubam @djenvy @cthagod @angelayee Thoughts? __________________ #power1051breakfastclub #power1051… https://www.instagram.com/p/B-x792wBvAq/?igshid=1wmyk8xevgnrv,New York,executive orders
2020-04-08 17:30:39+00:00,In NJ today @GovMurphy signed three executive orders. •1) primary election moved from June 2nd to July 7th •2) ban on all non-essential construction as of 8p Friday &amp; mandates customers &amp; employees wear face coverings •3) increase in weight limit for trucks on highways,New York,executive orders
2020-04-08 16:34:11+00:00,"I actually really liked Bernie. I always had a feeling he would push executive orders to have billionaires pay for shit, but couldn’t flat out say it. I guess we voting for B*den now, just like I predicted from the VERY beginning. It was so obvious tbh.",New York,executive orders
2020-04-07 11:26:56+00:00,Seein these designer brands make these expensive ass facemasks is kinda cringy to look at. Like nggas been sending out executive orders cuz they short on them jonks. And you gon ignore that but put limited quantity expensive ass ones on the market that few ppl got bread for.,New York,executive orders
2020-04-04 02:07:05+00:00,"California Governor @GavinNewsom signed two executive orders today: - Allowing health care providers to consult with patients over video chat without risk of penalty - Preventing price increases of more than 10% (price gouging) on food, medical supplies and other consumer goods ",New York,executive orders
2020-04-01 14:54:09+00:00,"Thank you to all of my fellow #physicianassistants for all of your hard work fighting #COVID19 . I hope all states join NY, Maine and Tenn in signing executive orders so that we, as healthcare professionals, can help in every state! @AAPAorg #aapa",New York,executive orders
2020-04-22 22:02:58+00:00,Of all of the executive orders to be issued right now...,New York,executive orders
2020-04-16 18:36:06+00:00,"Again, they weren’t the ones that lacked guidance. Trump was. WHO and the CDC don’t file executive orders for the U.S. The President does.",New York,executive orders
2020-04-29 13:05:00+00:00,"President Obama has proposed using executive orders to circumvent Congress and asks us to trust him - the same President who said 'if you like your doctor, you can keep your doctor.' ",Ohio,executive orders
2020-04-29 18:45:38+00:00,They swore to protect and defend the constitution not follow Governors executive orders.,Oklahoma,executive orders
2020-04-29 20:06:25+00:00,Executive orders are laws and even it were just because it's law doesn't mean it's right.,Oregon,executive orders
2020-04-29 13:54:41+00:00,"Emergency powers, and all executive orders regarding this emergency, became null and void by April 7, 30 days from when she invoked the emergency powers, despite some of the orders having a stated effective period longer than 30 days. ",Oregon,executive orders
2020-04-29 16:37:47+00:00,"This, as most of his “executive orders” won’t hold up in court..",Oregon,executive orders
2020-04-25 16:56:09+00:00,All he does is sign executive orders. Next president can write Executive Orders to undo it. 500 EOs on 1st day. That will work? ,Rhode Island,executive orders
2020-04-08 15:52:16+00:00,"Pulled what stunt? Are you saying he should have issued one of the multiple executive orders earlier? Which one? Both? By when? Be specific. There are reasons he did what he did. If you're going to say he failed, explain why.",Rhode Island,executive orders
2020-04-04 22:10:44+00:00,@NYGovCuomo I thought you were doing a really good job handling everything that's going on and then you put the executive orders in to take upstate hospitals ventilators and masks and any other PPE while still shipping covid patients up here. We see what part of NY you care about,Rhode Island,executive orders
2020-04-01 19:46:22+00:00,Here's a quick guide on the recent housing executive orders that were implemented for tenants during the COVID-19 outbreak. #Albany #KnowYourRights #ForThePeople,Rhode Island,executive orders
2020-04-01 13:07:51+00:00,"John, shall you deny and lie or claim National Security, executive orders and privileges!",South Carolina,executive orders
2020-04-29 20:50:57+00:00,Executive orders are unconstitutional so if they don’t want lawsuits then I wouldn’t recommend trying to prosecute anyone lol,Tennessee,executive orders
2020-04-29 20:07:51+00:00,So our county DA released a statement yesterday that there would be no prosecution for violating executive orders. He said they are unconstitutional. Man I’m glad I voted for that guy...,Tennessee,executive orders
2020-04-29 17:28:15+00:00,I think the author of the executive orders should be criminally prosecuted ,Tennessee,executive orders
2020-04-29 17:06:45+00:00,"FYI A shortened list of #KochAgenda Bannon worked on it while still in the White House, He wrote Executive Orders, Trump signed. Clock work. Still happening. Check out S Miller. Immigration. Not much left except #SocialSecurity &amp; #Medicare. #MoscowMitch getting ready.",Tennessee,executive orders
2020-04-29 16:52:35+00:00,@GovBillLee Do you read the Executive Orders before you sign them? Get your act together. The whole state deserves a minimum level of competence from you. ,Tennessee,executive orders
2020-04-29 16:11:31+00:00,Bill Lee needs a better legal team writing these executive orders for him. These things are clear as mud.,Tennessee,executive orders
