date,text,state,query_term
2020-02-27 15:18:56+00:00,"Through executive orders, regulations, and the bully pulpit, the Trump administration is trying to rebrand discrimination and anti-LGBTQ bias as free exercise. (1/2)",DC,executive orders
2020-02-24 00:12:11+00:00,"Nothing gets through Congress these days. All the action is at the agency level. With administrative rulemakings and executive orders, he will be able to make sweeping changes virtually unfettered.",DC,executive orders
2020-02-09 16:16:50+00:00,"President Sanders would differ from establishment Dems in the Cabinet he sets up, the executive orders he uses, and the grassroots mobilization he leads. And those are hardly insignificant! ",DC,executive orders
2020-02-05 13:34:06+00:00,"/3 A “key feature of Trumpism is its dependence on the unilateral power of the presidency,” relying on weak claims of ‘national emergency’ to justify...”executive orders and federal regulations as it attempts to implement a sweeping agenda for which it has no clear mandate.”",DC,executive orders
2020-02-05 03:04:05+00:00,"Donald is calling his executive orders ""legislation""... #lies",DC,executive orders
2020-02-05 00:21:15+00:00,What executive orders have you promised your donors you’ll sign?,DC,executive orders
2020-02-24 17:38:58+00:00,"“Executive orders do not survive the president,” Ross says, talking about “imperial presidencies” and the over-use of executive orders #report4charlie #FMCtC @usafmc",Massachusetts,executive orders
2020-02-26 11:46:05+00:00,Executive orders.,New York,executive orders
2020-02-24 04:56:35+00:00,Executive orders are getting pretty powerful these days.,New York,executive orders
2020-02-23 08:05:32+00:00,Or point out he’s dealing with an obstructionist senate which doesn’t represent the people’s will & uses executive orders. I don’t think it’s a hard sell if it’s what he runs on &amp; wins the general. At the minimum he needs to respect the popular vote of 2016 &amp; undo Trump’s work.,New York,executive orders
2020-02-20 21:11:39+00:00,I still say .@POTUS44 .@BarackObama had to sign all those Executive Orders because racist Republicans couldn't fathom how a black man became President...for 2 terms... ,New York,executive orders
2020-02-20 14:57:00+00:00,https://youtu.be/zZPiJsM_b0I @LeeCamp 9 Executive Orders @SenSanders is considering for his first 100 days as Organizer in Chief.,New York,executive orders
2020-02-14 12:25:24+00:00,Did any of you complain about Obama's Executive Orders? Or any other Presidents for that matter?,New York,executive orders
2020-02-14 00:16:45+00:00,please check out their proposed executive orders and compare those. nothing about them is even and it does a disservice to women to keep pushing this narrative that the only reason anyone (including women) support sanders is misogyny.,New York,executive orders
2020-02-13 23:21:48+00:00,"By “tyranny of the minority” I’m talking about using those executive orders to push through failed ideologies. The RW lost the “culture war” and can only support those failed ideologies by packing the courts, as you mentioned.",New York,executive orders
