date,text,state,query_term
2020-05-05 01:19:17+00:00,"“The greater the power, the more dangerous the abuse.” Edmund Burke......Enjoy it while you have it. After this is over, these “emergency” executive orders will be curtailed by the courts. None of them will hold up in court.",Alabama,executive orders
2020-05-04 23:35:22+00:00,Maine Pastor To Defy Executive Orders and Bring Maine Governor to Federal Court https://bigleaguepolitics.com/maine-pastor-to-defy-executive-orders-and-bring-maine-governor-to-federal-court/ via @BigLeaguePol,Alabama,executive orders
2020-05-02 21:31:49+00:00,Days After Michigan Sues Its Own Democrat Governor – She Signs 3 Executive Orders To Extend Lockdown ,Alabama,executive orders
2020-05-02 14:13:24+00:00,Slavery =relaxed OSHA worker safety requirements +relaxed CDC requirements + Trump administration executive orders.,Alabama,executive orders
2020-05-01 21:52:05+00:00,"So if Trump is re-elected, will you all be ready to fight like h*** to ensure that he doesn’t further ruin our environment, pass any additional senseless executive orders, encourage governors to strip voting rights, further hurt our education system, etc.? #Bern #Biden",Alabama,executive orders
2020-05-04 01:26:33+00:00,"Your point? Which LGBT civil rights laws or executive orders has the Trump admin pushed for, signed, or issued? His admin has ONLY reversed pro-gay rights EOs, its only record on the issue is anti-LGBT. “Globalism” isn’t now nor has it ever been a thing, but ok.",Alaska,executive orders
2020-05-03 04:05:52+00:00,Governors can't write laws or create executive orders that conflict with existing law.,Arizona,executive orders
2020-05-02 03:41:00+00:00,Based on everything I can see @govducey and @POTUS should sign executive orders that heavily fine hospitals for mis-classifying deaths as Covid-19/Instead of rewarding them extra federal dollars for each person placed on a ventilator. What a ridiculous policy!,Arizona,executive orders
2020-05-01 19:00:06+00:00,Thank you Gov. Ducey @dougducey for helping Arizona businesses succeed in this challenging environment. To be clear that is sarcasm. Your draconian executive orders seek to punish the honest and hardworking and those who still believe in the American dream. ,Arizona,executive orders
2020-05-01 15:51:16+00:00,"i am so confused,all the medical experts say,only people infected and medical workers should wear masks,the other medical experts (politicians) sign executive orders for everyone to wear a mask ",Arizona,executive orders
2020-05-05 16:58:33+00:00,Executive orders are not laws - https://go.shr.lc/2ylzD2Z - @washtimes,Arkansas,executive orders
2020-05-05 23:48:19+00:00,I’ve pretty much had it with “Executive orders”. That judge should move to New Zealand where they confiscated all guns by Executive order.,California,executive orders
2020-05-05 17:13:27+00:00,Enough of these unscientific and indefensible ORDERS! The public is really seeing who the power hungry politicians are! Stop trampling on the Constitution. If you want more regulations do it legally: pass legislation out in the open. No more “executive orders”! ,California,executive orders
2020-05-05 15:11:06+00:00,"From closing restaurants to requiring masks, Gov. Whitmer has issued 69 executive orders in 56 days https://www.newsbreakapp.com/n/0OxFfXH5?pd=02NnvLsm&amp;s=i2",California,executive orders
2020-05-05 12:26:08+00:00,Executive orders are not laws - https://go.shr.lc/2ylzD2Z - @washtimes,California,executive orders
2020-05-05 05:05:40+00:00,in the book called the keys to the Constitution it says it all presidential executive orders are unconstitutional because the president is not the executive has his name on the office and the seal it was chosen by the owner of the land an is on our corporate contract they lost it ,California,executive orders
2020-05-05 01:26:03+00:00,QMAP: Executive Orders by POTUS ,California,executive orders
2020-05-04 16:35:44+00:00,"The Coastal Commission's monthly meeting will take place May 13 and 14. As a result of the Governor’s Executive Orders N-29-20-and N-33-20, this meeting will occur through video and teleconference to avoid a public gathering and protect public health during the COVID-19 pandemic.",California,executive orders
