date,text,state,query_term
2020-04-29 16:41:15+00:00,Governor Cuomo brought receipts today. ,Alabama,governor
2020-04-21 15:11:19+00:00,Do you believe anything the governor says?,Alabama,governor
2020-04-21 14:09:34+00:00,"Please wear a mask and distance yourself while meeting with POTUS today, Governor. Stay safe. ",Alabama,governor
2020-04-21 13:58:46+00:00,My favorite moment was probably Carl Paladino telling reporters that Cuomo is a liberal hack and how we need to open the state in phases. Smartly. Which is exactly what the Governor has been saying everyday.,Alabama,governor
2020-04-21 00:52:55+00:00,The governor is an idiot ,Alabama,governor
2020-04-19 13:35:22+00:00,Please explain why this is ok but camping is not? I chose not to go in here and instead took photo 3pm Saturday the 18 th of April Not happy with the way the governor is deciding what can and cannot b open. Lining his pockets or what? ,Alabama,governor
2020-04-09 20:59:15+00:00,"I guess the governor never saw me play golf, I am never near anyone unless they are in the woods with me ",Alabama,governor
2020-04-05 12:45:34+00:00,"Not my Governor, taking ventilators from the rest of the state. We need them also.",Alabama,governor
2020-04-16 18:13:36+00:00,Governor Cuomo has extended school closures until May 15th. Information is provided here. ,Alabama,governor
2020-04-20 02:01:52+00:00,"Please help Pennsylvania. Wolfe is a tyrant. It is unacceptable that any American is forced to wear a mask,stay in their home,or loose their job because the Governor has deemed their livelihood “non-essential”.",Alaska,governor
2020-04-22 12:34:18+00:00,Why isn’t cnn mentioning the announcement from the democrat governor of Colorado? Seems a little one sided doesn’t it?,California,governor
2020-04-21 14:04:11+00:00,How do you know the governors recorded it? Which governor did it? My name isn’t skippy. Be a grown up or don’t get involved. Thanks.,California,governor
2020-04-21 13:40:35+00:00,I’m a fan of my Governor ,California,governor
2020-04-21 03:31:25+00:00,We got em in Maryland and he just attacked our governor. Dude is out of his mind. So just another day that ends in y.,California,governor
2020-04-21 02:31:44+00:00,Love our governor https://twitter.com/GovLarryHogan/status/1252404969669488640,California,governor
2020-04-15 19:17:29+00:00,"@RepVernonJones I applaud you sir! As a moderate Republican voter, I see and look forward to supporting people like you and CALIFORNIA Governor @GavinNewsom when you move into roles at the national level. Working for THE PEOPLE instead of party is what makes America the best!",California,governor
2020-04-29 21:28:17+00:00,Today my colleagues and I wrote to the Governor to highlight an issue related to communication within and from our long term care facilities.This pandemic has been especially tough on our nursing home residents and families and we need to do everything we possibly can to help. ,Connecticut,governor
2020-04-27 13:35:17+00:00,"Beto, please run for Governor of TEXAS. TEXAS and America needs you.",Connecticut,governor
2020-04-24 15:28:59+00:00,"I understand completely. By our Government & Governor we won't b opening for several months. When we do open 1 client at a time. We must wear PPE, clients too. U should see our list of regulations. No financial help! We can't go outside without a mask. We'll b the last 2 open.",Connecticut,governor
2020-04-24 13:45:21+00:00,Opening up? You backstabbed the idiot Republican Governor in Georgia who learned about asymptomatic transmission TWO WEEKS AGO yet plans to open this weekend. First you supported. Then you didn’t. You have no plan. Your miracle drug failed so now you’ve turned to Lysol.,Connecticut,governor
2020-04-18 13:44:26+00:00,The governor selects the replacement until the next election for that seat.,Connecticut,governor
2020-04-16 00:44:29+00:00,Tucker was right on tonight... The governor was evading the questions...I had the same questions Tucker was asking... Great job covering NJ.. @TuckerCarlson @FoxNews,Connecticut,governor
2020-04-15 20:50:57+00:00,"Governor Lamont is strongly recommending everyone in Connecticut wear #masks when in close proximity to other people outside of home. Right now, it’s a recommendation NOT an executive order, but the state isn’t ruling that out. @NBCConnecticut #COVID19",Connecticut,governor
2020-04-14 22:17:20+00:00,California governor outlines plan to reopen in conjunction with West Coast states ,Connecticut,governor
2020-04-13 16:35:45+00:00,This is disgusting. A governor who increases spending and doesn’t make one single cut with public sector union employees demands a federal bailout. Why should the rest of the country foot the bill for decades of reckless spending and pension debt? ,Connecticut,governor
2020-04-13 00:51:34+00:00,"Governor Lamont says in preparation for the strong winds that are anticipated to impact the state on Monday afternoon, @CTNationalGuard is planning to send teams to each of the recently deployed mobile field hospitals to monitor the situation &amp; protect their stability. @WFSBnews",Connecticut,governor
2020-04-11 15:02:08+00:00,Perhaps you can talk to the governor in Louisiana?,Connecticut,governor
2020-04-11 00:39:21+00:00,"Governor, thank you for YOUR compassionate leadership! We got this because YOU’VE got this! #WereAllInThisTogether @GovNedLamont",Connecticut,governor
2020-04-09 20:25:15+00:00,"Breaking: The Governor says all closed restaurants/businesses in Connecticut are to remain closed through MAY 20th, coinciding with the earliest possible reopen date for schools in the state. @NBCConnecticut",Connecticut,governor
2020-04-08 23:23:22+00:00,I’m not sure we can afford to lose a sitting senator or governor.,Connecticut,governor
2020-04-08 14:53:00+00:00,I am hoping as well. Governor Lamont as well as Commissioner Cardona will make that determination for the state. Their priority and decision making process will be grounded on the safety of all staff/students. I will keep the public updated when final decisions are made.,Connecticut,governor
2020-04-07 14:36:05+00:00,The hero governor: “Calls to the governor’s office numbers went unanswered Monday. An automated voice message directs callers to 2-1-1.” ,Connecticut,governor
2020-04-06 16:43:07+00:00,"Dozens of cars lined up outside of governor’s mansion honking horns, waving signs. Protest in the age of social distancing. #Coronavirus",Connecticut,governor
2020-04-05 15:31:49+00:00,"I would like to know when, in the history of our Republic, a Governor's press conference outranked a President's. I turned to @NewsHour to catch the last few @realDonaldTrump briefings because @CBS didn't break in. BUT today they cut @FaceTheNation to go to Cuomo. #MediaBias",Connecticut,governor
