date,text,state,query_term
2020-03-22 22:57:37+00:00,"I heard/saw the ""martial law"" comment made by the head of FEMA ... if it's not martial law then why do I have a document that will allow me to travel to and from work during this mandatory quarantine period?",Connecticut,mandatory quarantine
2020-03-30 17:16:20+00:00,Hell no im about to do a store run come back pay bills and chill mandatory quarantine starts tonight,DC,mandatory quarantine
2020-03-30 04:17:58+00:00, Unbelievable US is completely out of control-We r the United States of America-we should’ve had this under control &amp; made an example for China &amp; Italy &amp; other countries to come-President it’s time for mandatory quarantine everywhere @realDonaldTrump @DonaldJTrumpJr @FLOTUS,DC,mandatory quarantine
2020-03-30 03:37:18+00:00,They wouldn't do that. We currently for people at post that have COVID-19 and on lock down and in mandatory quarantine.,DC,mandatory quarantine
2020-03-28 14:41:36+00:00,"With infections in Wuhan multiplying alarming rate, the White House announced on Jan. 31 that non-residents who had recently been to mainland China would no longer be allowed entry. Americans returning from the Wuhan region would be subject to a mandatory two-week quarantine.",DC,mandatory quarantine
2020-03-26 19:33:48+00:00,Week two of mandatory telework/quarantine: I am beginning to fantasize about the foods I will eat when this is over. #cheesepizza #CheeseSteak #cheesecake @Wawa #sandwiches #softpretzels,DC,mandatory quarantine
2020-03-26 00:09:01+00:00,It is unsafe to leave our house let alone go to an airport. Lockdown and mandatory quarantine is in effect both here and ireland. Is this flight cancelled,DC,mandatory quarantine
2020-03-23 23:17:06+00:00,But i read this morning after Hong Kong came off of mandatory quarantine in just a few days there was a minor spike in new cases reported today,DC,mandatory quarantine
2020-03-21 15:50:30+00:00,Rumor mill is going nuts in my state.... supposedly Gov Hogan is gonna order a mandatory state wide 30 day quarantine so everyone had to stay home.,DC,mandatory quarantine
2020-03-17 14:38:28+00:00,"Please be advised,within 48 to 72 Hours the president will evoke what is called the Stafford act.The president will order a two week mandatory quarantine for the nation.Stock up on what you need to make sure you have a 2 week supply of everything.Please forward to your network.",DC,mandatory quarantine
2020-03-17 14:07:47+00:00,"on mandatory quarantine from work until the end of the month, should have just stayed in montréal ",DC,mandatory quarantine
2020-03-17 12:54:33+00:00,If we go into mandatory quarantine I’m definitely losing it and bleaching my hair at home,DC,mandatory quarantine
2020-03-16 21:19:45+00:00,"Due to the coronavirus, all the gyms closing, and my inevitable binge-fueled quarantine, I hereby declare that no one is allowed to think in their heads when they see me ""WOW she gained weight"" when this is all over. Thank you for your mandatory cooperation.",DC,mandatory quarantine
2020-03-16 20:24:08+00:00,These are the new #guidelines announced by #Trump - he stopped short of ordering a national curfew/quarantine. These recommendations are not mandatory.... #Covid_19 #coronavirus,DC,mandatory quarantine
2020-03-16 14:07:30+00:00,y’all better be joking about this mandatory two week quarantine...,DC,mandatory quarantine
2020-03-15 11:48:25+00:00,"I am under mandatory self quarantine for next 7 days as there is no point to go out. Store shelves are already empty, the stuff I want is already gone and supply chain already disrupted. I hope Boris pays for Brexit that will be a plus in this",DC,mandatory quarantine
2020-03-13 23:19:26+00:00,"For the record, some of my colleagues don’t have WiFi at home. Combine that with the mandatory 2 week quarantine for those that have returned from abroad or taken a cruise (and frankly that’s the minimum of those who shouldn’t come to the office!) ...",DC,mandatory quarantine
2020-03-13 21:40:33+00:00,Mandatory quarantine! ,DC,mandatory quarantine
2020-03-13 03:54:22+00:00,Mandatory quarantine for 14 days has been introduced in Norway for all travelers arriving from outside the Nordic countries. Useful information can be found on the Norwegian Health Directorate website: https://www.fhi.no/en/news/2020/norwegian-directorate-of-health-implements-the-following-today---from-6-p.m/,DC,mandatory quarantine
2020-03-12 22:02:37+00:00,"Within the next two week, the US is gonna go on a mandatory 1 week quarantine, only hospitals gonna be open",DC,mandatory quarantine
2020-03-12 01:25:42+00:00,im not calling for mandatory quarantine or lockdown but it’s extremely disconcerting to see the selfishness coming from people who think the virus isn’t a big deal (because they likely won’t be seriously hurt if they do contract it) naysaying the postponement of games/events,DC,mandatory quarantine
2020-03-18 19:20:25+00:00,Amateur po** under mandatory quarantine ,DC,mandatory quarantine
2020-03-23 18:10:58+00:00,this quarantine should be mandatory,Georgia,mandatory quarantine
2020-03-22 22:46:25+00:00,"Mandatory close last Monday March 16th. This is not easy, but something good will come of this. #COVID19 #CoronavirusPandemic #Jerseyshore #quarantine ",Georgia,mandatory quarantine
2020-03-19 22:31:20+00:00,Are we really gonna get put on mandatory quarantine for a week or two? Like national guard posted up? Gamer paradise baby.,Georgia,mandatory quarantine
