date,text,state,query_term
2020-04-17 21:16:54+00:00,"Maybe if the US had done the 2 week mandatory quarantine at the beginning of this instead of thinking the idiots that inhabit this country would just listen and stay home, we might not be in this deep. Look where we are compared to everyone else now ",DC,mandatory quarantine
2020-04-08 20:39:57+00:00,NEW: Americans say they were doused in bleach after authorities in Peru detained them in a mandatory coronavirus quarantine. (We have obtained video from the incident below). The State Department has raised the issue with Peruvian authorities. https://www.washingtonpost.com/national-security/peruvian-authorities-spray-americans-with-bleach-like-chemical-after-holding-them-in-coronavirus-quarantine/2020/04/08/245d6708-78fa-11ea-8cec-530b4044a458_story.html?arc404=true,DC,mandatory quarantine
2020-04-04 01:21:35+00:00,"A mandatory federally-mandated quarantine could get us out of this hell hole by summer, but “state’s rights.” Leaving it up to the states has always worked for us in the past. ",DC,mandatory quarantine
2020-04-03 23:39:31+00:00,#flashbackfriday to that time we were in a bubble voluntarily. ...Now it’s mandatory.... ... For real though....I was ahead of the times. #quarantine #6foot #igloo #plasticbubble #bubble #bubbleboy #stayhome… https://www.instagram.com/p/B-iZeZvAEUf/?igshid=wziv31l6ht2p,DC,mandatory quarantine
2020-04-05 02:30:26+00:00,"Not just another Saturday night during quarantine, but #nationalbeerday, and #socialdistancing continues. Chilling on my patio, by myself, drinking a @cptlawrencebeer Mandatory Training NEIPA, and trying to maintain… https://www.instagram.com/p/B-lR1DHpRe5/?igshid=1xppeqdio0gkb",Delaware,mandatory quarantine
2020-04-18 07:53:08+00:00,"Instead of threatening that those who assemble would have a mandatory 14 day quarantine, make it 14 days in a jail cell. No excuse for endangering innocent lives of people who aren't religious nuts.",Georgia,mandatory quarantine
2020-04-28 11:46:16+00:00,"Without mandatory social distancing or extensive test/contact trace/quarantine, what explains Japan’s remarkably low mortality rates? https://www.wsj.com/articles/japans-coronavirus-cases-fall-sharply-without-compulsory-measures-11587993871?emailToken=8e97249a1bb322040fbb4daae1d1460bGH4rQbP4F0vZqnxeT2FObEsCl5wMmae3ScrIXI6fLy7eZNWRVOi9gC/XT6Eahu+3+7DNUMB3LomYMggRFhHm78mYVDS4wXUuQCYiDxR5rzSM5cICkxcbc/TME12TDJgQ&amp;reflink=article_copyURL_share",Massachusetts,mandatory quarantine
2020-04-11 04:30:19+00:00,Kentucky gov. announces mandatory quarantine for anyone who gathers for Easter https://www.nbcnews.com/health/health-news/kentucky-gov-announces-mandatory-quarantine-anyone-who-attends-easter-services-n1181716 via @nbcnews,Massachusetts,mandatory quarantine
2020-04-09 20:45:53+00:00,Quarantine mandatory weight cut is going well. I’m hungry and weak. ,Massachusetts,mandatory quarantine
2020-04-07 16:54:03+00:00,"I’m heading home mbak. Since the commencement is postponed indefinitely and classes are moving to Zoom, it’d be better to go home for good. Gonna have 14-days mandatory quarantine tho.",Massachusetts,mandatory quarantine
2020-04-07 02:41:31+00:00,"The biggest constraint to an effective state response is testing, but it looks like that gap is closing. Will the governor have the guts to implement mandatory contact tracing/testing/quarantine? What privacy sacrifice would you make for public health? https://twitter.com/markrhill/status/1246817819204952064?s=21",Massachusetts,mandatory quarantine
2020-04-22 20:28:33+00:00,"Tate Reeves could’ve put a mandatory quarantine on the state, but yes I guess https://twitter.com/FOX13Memphis/status/1252998360086315008",Mississippi,mandatory quarantine
2020-04-02 22:29:47+00:00,God bless you all in this trying time during mandatory quarantine! Stay positive and love each other! Lmao ,Mississippi,mandatory quarantine
2020-04-01 05:25:48+00:00,Should Governor Reeves issue a statewide mandatory quarantine for the state of Mississippi?,Mississippi,mandatory quarantine
2020-04-06 23:34:01+00:00,"I am lucky enough to live in a clear zone. The county south of me is light red, where my Pts live is dark red. On 3/17, the city 10 miles north went on suggested in-home, on 3/24 mandatory quarantine. No known cases thus far. ",Missouri,mandatory quarantine
2020-04-24 19:12:14+00:00,"NEW: Michael Avenatti has been released from NY federal jail this morning after a mandatory 14-day quarantine, his attorney Dean Steward confirmed to Fox News and adds “We're really gratified that the judge took the action that he did.“ #Avenatti #MichaelAvenatti @MichaelAvenatti",New York,mandatory quarantine
2020-04-16 07:19:25+00:00,"Covid-19 quarantine hit me at a time when I’m super busy. Mandatory WFH looks the same as reg WFH. I’m fine, but this event will change things. My employer may ask me to WFH full time to save $on rent? Do we need ties to work? No! We r animals still need human interaction tho.",New York,mandatory quarantine
2020-04-11 02:21:14+00:00,All it took was a global pandemic and mandatory quarantine for me to figure out how to play music in every room of the apartment at once. We’re rich now. It feels as though we are rich.,New York,mandatory quarantine
2020-04-10 18:33:46+00:00,Since my job knows that people are under mandatory quarantine they feel entitled to give us mandatory work to do over the weekend and I really don’t appreciate that. I’m so tired.,New York,mandatory quarantine
2020-04-09 13:46:59+00:00,China ending there mandatory self quarantine is an indicator at how long it will take. They ended it yesterday after 79 days.....I believe we are at 39 days so another 40 days I’m assuming.,New York,mandatory quarantine
2020-04-08 23:13:26+00:00,"Life turned upside down overnight for so many, including students at Columbia University, read this first hand account of my dear friend’s journey from NYC straight to a mandatory quarantine at a hotel in Singapore. She is due to be released on April 14th: ",New York,mandatory quarantine
2020-04-07 10:21:04+00:00,"⁣Dear Fellow Creatives,⠀ ⠀ I know COVID-19 has your emotions all over the place. Quarantine has gone from recommended to mandatory, to some states assigning various fines for violations. Whether it feels like a… https://www.instagram.com/p/B-rRRvCBEDx/?igshid=mznmys07a8nf",New York,mandatory quarantine
2020-04-06 20:39:22+00:00,@ABC7NY Just wanted to share my experience with my lowlife landlord who just threatened to access my checking account and take my money if I don’t pay him rent during my mandatory quarantine after being exposed to covid-19 and trying to recover.,New York,mandatory quarantine
