date,text,state,query_term
2020-05-08 01:43:04+00:00,It must be mandatory or you quarantine for life. I will not give anyone permission to risk my life.,California,mandatory quarantine
2020-05-07 05:28:05+00:00,"None of them have left hyper vigilant mode and most haven't dropped strict immigration control and mandatory quarantine of all incoming travelers hence the marathon analogy. Viruses aren't smart, but they are relentless, unlike individual humans and governments.",California,mandatory quarantine
2020-05-06 00:30:08+00:00,"the second rona hit the streets nigs shouldve scheduled a mandatory lockdown for like a month, give everyone enough time to stock up for a MONTH, &amp; close everything but hospitals. the quarantine obv aint working and ppl are tweaking with the idea of not knowing when its gonna end",California,mandatory quarantine
2020-05-04 19:13:47+00:00,"I think it’s more likely US citizens will face mandatory quarantines, and other countries will ban their citizens from travel without facing quarantine upon return. Death in return for helping Donald Trump’s standing with travel-related industries isn’t even an easy sell here. ",California,mandatory quarantine
2020-05-04 07:06:13+00:00,#Sacramento #California Couple #Arrested On #Honeymoon In #Hawaii For Defying Mandatory #Traveler 14 Day Self #Quarantine Orders Borice Leouskiy 20 US Citizen Yuliia Andreichenko 26 Ukraine Nat'l From #CitrusHeights CA/Raised #Ukraine https://ktla.com/news/california/sacramento-couple-arrested-while-on-honeymoon-in-hawaii-for-defying-quarantine-orders/?taid=5eaf8cc1e21434000196c2f7&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter #COVID19 #Coronavirus,California,mandatory quarantine
2020-05-09 21:43:22+00:00,This is exactly what #Trump ought to have done at #NewYears for the #UnitedStates #CovidPandemic #MandatoryQuarantine ,Connecticut,mandatory quarantine
2020-05-04 14:16:12+00:00,When will domestic travel resume? Without mandatory quarantine.,Connecticut,mandatory quarantine
2020-05-09 17:21:04+00:00,"It’s a very challenging situation, especially w/ the flood of inaccurate/fraudulent antibody tests. But history of infection/documented antibodies needs to be part of individualized risk assessment for eg mandatory quarantine of travelers, exposed contacts.",DC,mandatory quarantine
2020-05-08 20:34:24+00:00,Idk if my upstairs neighbor has taken up tap dancing since quarantine began or if they just weren’t home when it wasn’t basically mandatory so I’m hearing it more now but when I tell you I hate them. Like...it’s irrational. They esp like the creaky places ,DC,mandatory quarantine
2020-05-08 11:07:53+00:00,"What world do you live in? South Korea, Singapore, HK, never lockdown? They all did to various degrees. Schools, Restaurants closed, limited gathers of 4 people, mandatory quarantine for travellers, mandatory masks, early shut down )January, mass testing and isolated outbreaks...",DC,mandatory quarantine
2020-05-07 18:30:00+00:00,"U.S. Marine Corps Forces Pacific to resume annual deployment to Darwin after Australia grants exemption from COVID-19-related travel restrictions. The 2,500 Marines and sailors will be subject to “mandatory 14-day quarantine and other requirements”. https://cs.is/2ze7bzX",DC,mandatory quarantine
2020-05-07 15:23:59+00:00,"Mandatory orders for the general public to stay at home are not specifically addressed in the statute, but “isolation of a patient” and “quarantine of contacts” are addressed in Wis. Stat. § 252.06.",DC,mandatory quarantine
2020-05-07 13:51:13+00:00,Mandatory quarantine for Air India evacuation crew till tested negative https://bit.ly/2A6zzVa @ndtv,DC,mandatory quarantine
2020-05-07 13:18:43+00:00,"@realDonaldTrump's China travel ban did absolutely nothing to curb the spread of this virus, as it wasn't a real ban. The virus came from Europe and Americans who were in China during the outbreak were still permitted to come back without any mandatory quarantine.",DC,mandatory quarantine
2020-05-06 22:56:07+00:00,"Vancouver Whitecaps order forward Yordy Reyna into mandatory 14-day self-quarantine after ""contravening club and MLS orders to abide by provincial physical distancing guidelines."" He says: ""I am deeply sorry for my actions and apologize to the community, teammates and coaches.""",DC,mandatory quarantine
2020-05-06 16:06:01+00:00,"We can debate mandatory quarantine, but the fact is right now the government is doing nothing at all to help people avoid intra-household spread on even a voluntary basis. ",DC,mandatory quarantine
2020-05-05 23:57:24+00:00,"#RacismInChina Chinese people want to rise on the same social level as the west but they seemed to have inherited the wrong part of it. Blacks in Guangzhou have been tossed into mandatory quarantine, not allowed in McDonalds. SHAME ON YOU CHINA!",DC,mandatory quarantine
2020-05-05 19:56:47+00:00,"Charter flight returns from India carrying 114 Taiwan nationals, 15 foreign residents. All passengers completed quarantine notification forms on arrival before being dispatched to two facilities in central Taiwan for mandatory 14-day quarantines. ",DC,mandatory quarantine
2020-05-05 14:00:28+00:00,"""Under rules introduced by shipping regulators, crew of vessels entering the country’s waters are required to observe a mandatory 14 day quarantine period before they can discharge their goods or take up fresh cargo..."" ",DC,mandatory quarantine
2020-05-05 13:03:25+00:00,"#China to re-start of #filmproduction w/all production meetings online, crew size limited to 100 &amp; mandatory twice daily temp checks, #COVID19 testing for all actors &amp; crew members &amp; pre-pro 14 day quarantine letters. https://www.indiewire.com/2020/05/china-film-productions-return-1202227560/",DC,mandatory quarantine
2020-05-05 08:31:22+00:00,Should we extend the mandatory quarantine because of the murder hornets???,DC,mandatory quarantine
2020-05-04 21:50:50+00:00,"""Turkey ""is doing mandatory tracking of people 65 years+, who are required to quarantine, &amp; sending them cellphone messages when they venture out of their homes. There has been little public backlash against the surveillance"" https://www.washingtonpost.com/world/cellphone-monitoring-is-spreading-with-the-coronavirus-so-is-an-uneasy-tolerance-of-surveillance/2020/05/02/56f14466-7b55-11ea-a311-adb1344719a9_story.html The future is already here…",DC,mandatory quarantine
2020-05-03 19:38:07+00:00,"I want to so badly, but if Korea doesn’t lift their mandatory 2 week quarantine requirement I don’t want to use 10 vacation days just to be holed up in a dormitory until they allow us out into Seoul ",DC,mandatory quarantine
2020-05-03 16:31:08+00:00,When do you all think relatively worry free international travel will become realistic? (As in you can come back expect to come back; plus no mandatory quarantine in foreign countries),DC,mandatory quarantine
