date,text,state,query_term
2020-05-05 03:07:04+00:00,Did you tell Tony that you left your basement on day 8 of the mandatory 14 day quarantine ? Risking your family &amp; others lives. Asking for a friend,Alabama,mandatory quarantine
2020-05-04 19:13:47+00:00,"I think it’s more likely US citizens will face mandatory quarantines, and other countries will ban their citizens from travel without facing quarantine upon return. Death in return for helping Donald Trump’s standing with travel-related industries isn’t even an easy sell here. ",California,mandatory quarantine
2020-05-04 07:06:13+00:00,#Sacramento #California Couple #Arrested On #Honeymoon In #Hawaii For Defying Mandatory #Traveler 14 Day Self #Quarantine Orders Borice Leouskiy 20 US Citizen Yuliia Andreichenko 26 Ukraine Nat'l From #CitrusHeights CA/Raised #Ukraine https://ktla.com/news/california/sacramento-couple-arrested-while-on-honeymoon-in-hawaii-for-defying-quarantine-orders/?taid=5eaf8cc1e21434000196c2f7&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter #COVID19 #Coronavirus,California,mandatory quarantine
2020-05-03 07:30:54+00:00,I hope my friends understand that it’s gonna be mandatory that they hold my hand the entire time during the first few hangouts after quarantine. It just needs to happen sorry,California,mandatory quarantine
2020-05-02 22:27:15+00:00,"No public health issue can be reason for mandatory ""stay at home"" orders... It is unconstitutional. Quarantine is for individuals with proven communicable diseases, not those who MAY get an illness. ",California,mandatory quarantine
2020-05-02 22:20:32+00:00,Mandatory quarantine puzzle ,California,mandatory quarantine
2020-05-02 20:29:04+00:00,"Weird that they’re opening up, but my cousin is on mandatory quarantine for 14 days because she just flew back from California.",California,mandatory quarantine
2020-05-04 14:16:12+00:00,When will domestic travel resume? Without mandatory quarantine.,Connecticut,mandatory quarantine
2020-05-02 14:47:33+00:00,Hawaii’s mandatory quarantine for arrivals extended to May 31: http://fw.to/0uUhZfP,Connecticut,mandatory quarantine
2020-05-01 21:38:09+00:00,Mandatory random testing. Kind of like jury duty. Paid quarantine and contract tracing for positive tests. Won't stop spread/outbreaks but will make it more difficult,Connecticut,mandatory quarantine
2020-05-05 23:57:24+00:00,"#RacismInChina Chinese people want to rise on the same social level as the west but they seemed to have inherited the wrong part of it. Blacks in Guangzhou have been tossed into mandatory quarantine, not allowed in McDonalds. SHAME ON YOU CHINA!",DC,mandatory quarantine
2020-05-05 19:56:47+00:00,"Charter flight returns from India carrying 114 Taiwan nationals, 15 foreign residents. All passengers completed quarantine notification forms on arrival before being dispatched to two facilities in central Taiwan for mandatory 14-day quarantines. ",DC,mandatory quarantine
2020-05-05 19:36:22+00:00,https://www.hawaiinewsnow.com/2020/03/26/over-last-week-hawaii-saw-over-less-visitors-hta-says/,DC,mandatory quarantine
2020-05-05 19:36:14+00:00,https://www.hawaiinewsnow.com/2020/03/26/over-last-week-hawaii-saw-over-less-visitors-hta-says/,DC,mandatory quarantine
2020-05-05 14:00:28+00:00,"""Under rules introduced by shipping regulators, crew of vessels entering the country’s waters are required to observe a mandatory 14 day quarantine period before they can discharge their goods or take up fresh cargo..."" ",DC,mandatory quarantine
2020-05-05 13:03:25+00:00,"#China to re-start of #filmproduction w/all production meetings online, crew size limited to 100 &amp; mandatory twice daily temp checks, #COVID19 testing for all actors &amp; crew members &amp; pre-pro 14 day quarantine letters. https://www.indiewire.com/2020/05/china-film-productions-return-1202227560/",DC,mandatory quarantine
2020-05-05 04:01:45+00:00,Should we extend the mandatory quarantine because of the murder hornets???,DC,mandatory quarantine
2020-05-04 21:50:50+00:00,"""Turkey ""is doing mandatory tracking of people 65 years+, who are required to quarantine, &amp; sending them cellphone messages when they venture out of their homes. There has been little public backlash against the surveillance"" https://www.washingtonpost.com/world/cellphone-monitoring-is-spreading-with-the-coronavirus-so-is-an-uneasy-tolerance-of-surveillance/2020/05/02/56f14466-7b55-11ea-a311-adb1344719a9_story.html The future is already here…",DC,mandatory quarantine
2020-05-03 19:38:07+00:00,"I want to so badly, but if Korea doesn’t lift their mandatory 2 week quarantine requirement I don’t want to use 10 vacation days just to be holed up in a dormitory until they allow us out into Seoul ",DC,mandatory quarantine
2020-05-03 16:31:08+00:00,When do you all think relatively worry free international travel will become realistic? (As in you can come back expect to come back; plus no mandatory quarantine in foreign countries),DC,mandatory quarantine
2020-05-03 00:25:39+00:00,Hawaii’s mandatory quarantine for arrivals extended to May 31: http://fw.to/e156ZbM,DC,mandatory quarantine
2020-05-05 08:31:22+00:00,Should we extend the mandatory quarantine because of the murder hornets???,DC,mandatory quarantine
2020-05-05 04:01:23+00:00,Should we extend the mandatory quarantine because of the murder hornets???,DC,mandatory quarantine
2020-05-05 03:59:58+00:00,Should we extend the mandatory quarantine because of the murder hornets???,DC,mandatory quarantine
2020-05-02 15:14:33+00:00,"If you in a relationship and you tell your significant other where they can or can’t go, then this quarantine is your mandatory lockdown ",Delaware,mandatory quarantine
2020-05-03 21:05:38+00:00,"Early ban? You waited until the end of January to issue your restrictions (Not a ban, which is an important distinction), two months into the outbreak in China and there was no mandatory screening/quarantine of people coming to the US from China.",Florida,mandatory quarantine
2020-05-02 15:23:02+00:00,A “modest proposal”: Let people protest as is their right under the Constitution. BUT they must then agree to mandatory quarantine for 14 days or sign a waiver agreeing to no medical care if they contract COVID-19. Actions have consequences. (A tip of the hat to Jonathan Swift) ,Florida,mandatory quarantine
2020-05-02 15:16:05+00:00,A “modest proposal”: Let people protest as is their right under the Constitution. BUT they must then agree to mandatory quarantine for 14 days or sign a waiver agreeing to no medical care if they contract COVID-19. Actions have consequences. (A tip of the hat to Jonathan Swift) ,Florida,mandatory quarantine
2020-05-02 15:15:37+00:00,A “modest proposal”: Let people protest as is their right under the Constitution. BUT they must then agree to mandatory quarantine for 14 days or sign a waiver agreeing to no medical care if they contract COVID-19. Actions have consequences. (A tip of the hat to Jonathan Swift),Florida,mandatory quarantine
2020-05-04 01:37:02+00:00,"From what I know about President Trump, Mandatory isn't in his vocabulary. He may require a quarantine if a hotspot breaks out maybe, but usually no more than 14 days.",Georgia,mandatory quarantine
