date,text,state,query_term
2020-03-27 21:04:07+00:00,"This law represents a critical lifeline for distillers across the country, who are in desperate need of economic relief after shutting down their tasting rooms, ending distillery tours, and experiencing significant sales declines from restaurant and bar closures.",DC,restaurant closure
2020-03-19 20:10:24+00:00,"Compare/contrast: #MD has commercial #labs testing #coronavirus, #VA is “working on it” @GovHogan closed bars, restaurants, gyms, movie theaters + malls and limiting transit 2day: NO mass closures in #Commonwealth Why? #shutitdown #FlattenTheCurve #CoronaVirusUpdate @VDHgov @VDEM",DC,restaurant closure
2020-03-17 15:48:00+00:00,NEW: Iowa is now the latest state to order bar/restaurant closures ,DC,restaurant closure
2020-03-17 02:35:31+00:00,Le Diplomate Logan Circle a somber empty scene as 10 pm DC restaurant closures begin tonight. ⁦⁦⁦@PoPville⁩,DC,restaurant closure
2020-03-17 01:54:16+00:00,"To prevent a devastating number of retail + restaurant closures in DC, @MayorBowser, we need *immediate* help paying wages for all employees. Standard unemployment benefits and tax credits will not save businesses or jobs. @ChmnMendelson",DC,restaurant closure
2020-03-17 01:16:06+00:00,When history is written it will be found that it was this photo that sparked off the widespread closure of bars and restaurants and crackdowns across USA . #SaintPatricksDay #coronavirus #ShutItDown,DC,restaurant closure
2020-03-17 00:54:52+00:00,"Washington, DC, orders restaurant and bar closures to limit coronavirus spread - CNNPolitics ",DC,restaurant closure
2020-03-16 15:55:23+00:00,"Big news. @GovLarryHogan announces closures of bars, restaurants and more. ",DC,restaurant closure
2020-03-15 22:51:11+00:00,I saw the border closures mentioned on the news. Our schools are closed for 4 weeks including Spring Break. Libraries just closed today. Thankfully I picked up a stack of books on Thursday :) Shops and restaurants still open but social distancing is becoming real. Stay safe xx,DC,restaurant closure
2020-03-15 21:17:17+00:00,NEW: CA Gov @GavinNewsom the latest to order statewide closure of bars/ restaurants ,DC,restaurant closure
2020-03-15 20:39:29+00:00,"IL @GovPritzker orders restaurant/ bar closures. His message: “The time for persuasion &amp; public appeals is over, the time for action is here. This is not a joke. No one is immune to this, and you have an obligation to act in the best interests of all the people of this state.” ",DC,restaurant closure
2020-03-15 19:43:31+00:00,"Hospitality workers are hardest hit w/restaurant closures, cutbacks. @Hook_Hall has instituted free care kits, free food, free employment counseling for the industry.",DC,restaurant closure
2020-03-15 12:05:53+00:00,".@MainStTakoma Here’s an idea. To help downtown TP business, close the farmers market part of Laurel 7 days a week. Use the space for other purposes, e.g., socially-distanced cafe/restaurant seating and vending. Less traffic with school closures &amp; telework creates opportunities.",DC,restaurant closure
2020-03-15 21:55:37+00:00,"So... is $3,000 per-person in stimulus going to pay the bills for all the servers, bar tenders, and chefs being hit by all the restaurant and bar closures? #QEInfinity",Delaware,restaurant closure
2020-03-15 20:51:14+00:00,Gov Mike Dewine continues to demonstrate what strong crisis leadership looks like. Great job announcing closure of bars and restaurants in Ohio. #coronavirus #COVIDー19 @JoeNBC @chucktodd,Delaware,restaurant closure
2020-03-21 22:41:55+00:00,"President Trump, I just saw a Facebook post from a trucker telling of their plight. No bathrooms or restaurants with the closures. They need your help quickly. We need their services in this critical time. I appreciate all you are doing &amp; your hands on approach.",Maine,restaurant closure
2020-03-26 21:01:29+00:00,"We are here for you Boston! Restaurant Workers Relief Program: Due to the closure of the restaurants in Boston, we have an urgent need to help the thousands of restaurant workers who find themselves suddenly… https://www.instagram.com/p/B-NhB15AYaQ/?igshid=z9q4wi6drk7k",Massachusetts,restaurant closure
2020-03-26 16:45:18+00:00,The Greg Hill Foundation has teamed up with Samuel Adams* to support those from the Massachusetts restaurant industry who have been impacted by the Covid-19 closures. If you can please donate https://www.thegreghillfoundation.org/donations/restaurantstrongfund/,Massachusetts,restaurant closure
2020-03-23 17:11:27+00:00, KEEP CALM &amp; CARRY OUT! Governor Baker has ordered a closure of nonessential businesses but exempted restaurants that offer food for delivery and takeout as long as we follow social distancing measures. Our… https://www.instagram.com/p/B-FYUg1gMPY/?igshid=yt0owzi8ke95,Massachusetts,restaurant closure
