date,text,state,query_term
2020-05-05 03:26:24+00:00,"Southerners love food. But can our restaurants survive a pandemic and a shutdown? This week on the Reckon Interview, restaurateur/chef @FrankStitt discusses how closures are hurting more than just the chefs and staff. And the steps he is taking to help. ",Alabama,restaurant closure
2020-05-04 20:05:33+00:00,Southerners love food. But can our restaurants survive a pandemic and a shutdown? @FrankStitt joins the Reckon Interview to discuss how the closures are hurting more than just the chefs and staff. And the steps he is taking to help. https://www.al.com/opinion/2020/05/frank-stitt-on-the-challenges-facing-restaurants-during-the-coronavirus-pandemic.html,Alabama,restaurant closure
2020-05-01 02:33:21+00:00,@Murph_Andy You missed a key point about restaurants being able to open and choosing not to. Because restaurants can open then employees can’t get unemployment and because it is no longer a mandated closure that businesses will have to pay any unemployment.,Alaska,restaurant closure
2020-05-05 17:01:43+00:00,"The Oxnard cilantro harvest offers year round work to #EssentialWorkers Aurora and coworkers. COVID-19 restaurant closures have reduced cilantro orders leaving cilantro workers with reduced income. Unfortunately, most farm workers will not receive federal economic help #WeFeedYou",California,restaurant closure
2020-05-05 16:26:02+00:00,"Look at this list of restaurant closures! What are you going to tell the employees? What about all their vendors and their employees? Some of these have been open for more than 30 years, one in my area was 99 years old. @RepRoKhanna @RepSwalwell",California,restaurant closure
2020-05-05 13:58:10+00:00,Sorry Bay Area restaurants and staff that died financially as a result of the Coronavirus. We fought hard for you but Fuehrer Newsom and his goons wanted you to die. #savecalifornia,California,restaurant closure
2020-05-04 01:08:48+00:00,One of the best regarded restaurants in Sacramento. Every week a restaurant I enjoyed announces permanent closure. I hope excellent new restaurants will one day fill the vacuum.,California,restaurant closure
2020-05-02 15:17:17+00:00,They're plowing under fields because demand is down due to restaurant closures. I'm not worried about lack of food.,California,restaurant closure
2020-05-03 01:17:14+00:00,"When the airline industry makes such huge employee cuts, it also cuts flights. The impact ripples thru the hotel, restaurant &amp; rental car industries, which should also expect layoffs &amp; closures. Some airports will lose significant revenue streams, &amp; be forced to cut jobs.",Colorado,restaurant closure
2020-05-05 21:32:00+00:00,Wendy’s signature fresh-beef hamburgers haven’t been available at some locations as closures of coronavirus-hit meat plants hit supplies https://www.wsj.com/articles/wendys-burgers-unavailable-at-some-restaurants-as-meat-supplies-tighten-11588710293 via @WSJ,DC,restaurant closure
2020-05-05 21:24:00+00:00,"Operators should maintain social distancing standards, retool their menus and communicate with their guests about what is being done to minimize exposure when dining room closures lift https://bit.ly/2Ylfog8 #restaurants #restaurantnews #coronaviruscrisis",DC,restaurant closure
2020-05-05 19:53:55+00:00,".@wendys is limiting menu items, such as hamburgers, due to meat processing closures from COVID-19. Will other chains be next? https://www.restaurantdive.com/news/18-of-wendys-restaurants-arent-serving-hamburgers-report-finds/577380/ #restaurants #restaurantnews #coronaviruscrisis",DC,restaurant closure
2020-05-05 17:32:00+00:00,.@Wendys told Restaurant Dive that some menu items may be temporarily limited as North America grapples with meat processing closures due to COVID-19 https://bit.ly/3cacT4k #restaurants #restaurantnews #coronaviruscrisis,DC,restaurant closure
2020-05-05 15:43:31+00:00,"The huge service side of the U.S. economy crashes in April to recession levels, ISM shows. Shocking but not surprising with millions of job losses and store closures. Travel, tourism, hotels, restaurants crushed. https://www.marketwatch.com/story/service-side-of-the-us-economy-crashes-in-april-to-recession-levels-ism-shows-2020-05-05?",DC,restaurant closure
2020-05-05 13:33:27+00:00,Doubt the Great Re-set will be directed from the top down...,DC,restaurant closure
2020-05-04 20:04:03+00:00,"NEW: Salons and restaurants likely to reopen with restrictions starting on May 15, Virginia governor says ",DC,restaurant closure
