date,text,state,query_term
2020-04-16 18:13:36+00:00,Governor Cuomo has extended school closures until May 15th. Information is provided here. ,Alabama,school closures
2020-04-03 19:17:47+00:00,Thank you to our AWESOME OA faculty and staff for their outstanding work during this school closure! @OAhornets @OaElem #1,Alabama,school closures
2020-04-21 13:41:06+00:00,Many #thanks to our local @ChickfilA for donating cookies to our #communityfeeding sites this week! Today’s donation went to @les_smcps! They’re delivering to all sites this week so keep an eye out for locations! #schoolclosures #communitymatters – at Leonardtown Elementary School,California,school closures
2020-04-08 11:31:48+00:00,"Staff from @chs_smcps, @BBES_SMCPS @des_smcps and more are helping out at @mbms_smcps! Stop by and see them- today at all sites we have a special surprise for any kids who come! 11:30-12:30 #schoolclosures #feedingthefuture @NoKidHungryMD @MarylandHunger",California,school closures
2020-04-01 15:20:28+00:00,@les_smcps is ready for you! @lpes_smcps @mbms_smcps @gkes_smcps are ready too! Serving meals for kids &lt;18 years old 11:30-12:30 daily! #schoolclosures @MarylandHunger @NoKidHungryMD – at Leonardtown Elementary School,California,school closures
2020-04-08 13:21:23+00:00,"Thanks to the enormous generosity of the .@HartfordFdn, we’re able to purchase WiFi HotSpot Devices for our families w/o internet connection. We’re grateful to be able to provide this new essential during this period of school closure. #StaySafeStayHome #WindsorLocksPublicSchools",Connecticut,school closures
2020-04-28 02:38:47+00:00,"Interesting! @ChelsenVicari covered a few of these seminary closures. I do disagree that if liberal Baptist seminaries keep closing, liberal Baptists are likely to start taking up spots at Southern Baptist seminaries. They’re more likely to teach in schools of other traditions.",DC,school closures
2020-04-28 01:45:26+00:00,My years in the classroom were filled with trackers to understand the skills and content that student mastered. This data is critical to inform what to teach next and even more important during school closures. #dataliteracy,DC,school closures
2020-04-27 13:06:11+00:00,"Under the guidance of Mayor Bowser, Early Childhood Academy will end the 2019-2020 School Year on Friday, May 29, 2020. Distance learning will continue until our May 29th school closure. @Early Childhood Academy PCS https://www.instagram.com/p/B_fEEzqnzQr/?igshid=95uzmg6hfpfm",DC,school closures
2020-04-26 21:23:49+00:00,Parents agree — #nowaivers to IDEA needed b/c it is flexible enough to handle school closures. Parents don’t want to waive their rights goodbye! Please share this parent survey so we can learn more about how school districts is doing ,DC,school closures
2020-04-25 16:38:41+00:00,"As I sit here reviewing my outlines, I realize that law school isnt designed for those who need answers or closure. Whatever happened to International Shoe? Did the Rays ever get that home the Eurice Bros promised them? How is it that I know more corporations than people from DE?",DC,school closures
