date,text,state,query_term
2020-03-15 01:13:03+00:00,"Respectfully, I cover high school sports extensively. I believe sharing a report pertaining to high school closures, which was generated by the news staff at @Batavia_Daily and @TheLCN, is squarely in my lane. Respectfully, of course.",Alabama,school closures
2020-03-14 20:33:20+00:00,The first GLOW Region School closure. ,Alabama,school closures
2020-03-26 16:07:30+00:00,"The school districts in Genesee County are set to return to school next Wednesday, April 1st due to your limited 10-day school closure waiver. Are you going to announce an extended school closure to this? The sooner the better. Ty @NYGovCuomo @NYSEDNews",Alabama,school closures
2020-03-16 00:36:04+00:00,OA Families: We will be communicating with you over the next few days on the extended school closure and how to gather materials that you may need! You are our #1 priority! Stay healthy and well!! @OAhornets @OaElem pic.twitter.com/j9pL3A5lOZ,Alabama,school closures
2020-03-25 19:49:12+00:00,"State Superintendent, Dr. Salmon, announced the closure of all MD Public Schools through April 24. Additional details will follow from SMCPS for how we will provide continuity of learning opportunities",California,school closures
2020-03-19 14:32:46+00:00,"School closures will likely be extended in Maryland due to Coronavirus, but the plans and details are not worked out yet.",California,school closures
2020-03-16 12:35:47+00:00,"With school closures &amp; teleworking, families will be navigating this new reality- here is a great resource to help make the most of time together #COVIDー19 http://rebrand.ly/0zx9c1j",California,school closures
2020-03-24 12:51:38+00:00,"March 23, 2020- COVID-19 Update from Superintendent Ruffin Regarding School Closure Extension - Waterbury Public Schools https://shar.es/aHqQ6R @wilbyhigh @EmeraldWilby @HsWilby @drewryvp",Connecticut,school closures
2020-03-24 01:47:51+00:00,And this is just one more thing that breaks teacher hearts. I’ve set up a @GoogleForEdu #googlemeet for Wednesday morning so she &amp; I can connect with voices &amp; faces. To note: she hasn’t been “my student” in 2 years...but they are ALWAYS our students. #COVID19 #schoolclosures ,Connecticut,school closures
2020-03-23 21:54:36+00:00,"#CTTeachers: Let’s be patient, and let’s work as partners with each other, and with students and their parents, as we persevere &amp; navigate these uncharted waters. #COVID19 #schoolclosures #distancelearning #wegotthis",Connecticut,school closures
2020-03-22 02:22:05+00:00,"This is first step in providing child care to support the children of our brave essential healthcare workers (docs, nurses, allied providers, hospital environmental services, etc). Next need to find the child care capacity in the context of school and child care closures. 3/8",Connecticut,school closures
2020-03-20 19:59:54+00:00,Western Mass Schools Deal with Coronavirus Closures | Connecting Point |... https://youtu.be/CbS39R4Jy6g via @YouTube,Connecticut,school closures
2020-03-19 17:06:32+00:00,This is my daughter’s current suggestion for us... we are on day 7 since school closure. ,Connecticut,school closures
2020-03-17 22:47:33+00:00,#COVID2019 #Covid_19 #schoolclosures #CoronavirusOutbreak,Connecticut,school closures
2020-03-17 17:31:00+00:00,"In an effort to stay connected during the school closures, all BPS middle schools are “Uniting” on Instagram. Administrators and teachers will be creating daily posts to keep us connected as a community. @BPSTeachLearn @ChippensHillMS @MrsMcCabeNEMS @GHillsGators @westbristolK8",Connecticut,school closures
2020-03-16 00:39:00+00:00,What about including the complete closure of School Districts. Why do I have to risk my health as well as my families health?,Connecticut,school closures
2020-03-16 00:37:00+00:00,What about the closure of School District offices? Why do we not matter?,Connecticut,school closures
2020-03-15 11:26:41+00:00,Here is the info on the MPS Empowered Learning 2020 opportunity for secondary students during school closure: http://bit.ly/mpsel2020 #mpsct,Connecticut,school closures
2020-03-14 14:13:39+00:00,"Bristol Central HS, Bristol Eastern HS, Rockwell pavilion in Bristol, Hartford Schools have also announced free meals for students during the school closures",Connecticut,school closures
2020-03-13 19:21:44+00:00,Please see both screenshots regarding the availability of meals during the school closure. Please check the Meriden Board of Education website regularly for updates (http://meridenk12.org),Connecticut,school closures
2020-03-13 11:36:51+00:00,Are we prepared to financially support healthcare personnel with their childcare during school closures? @acgme @CDCgov @WHO #Covid_19,Connecticut,school closures
