date,text,state,query_term
2020-05-09 09:46:13+00:00,Poll: 52% of Parents View Homeschooling More Favorably Since Coronavirus School Closures https://gellerreport.com/2020/05/homeschooling-poll.html/ via @pamelageller,Alabama,school closures
2020-05-05 19:48:42+00:00,"Looking for: Collaborative ideas from those who are impacted most by school closures: parents/caregivers, students and educators. Help us imagine how we can reshape schools and learning post-COVID.",Alabama,school closures
2020-05-09 00:14:40+00:00,Fun! You and your team inspired me at ASTE. I have been able to design a few scavenger hunts over this school closure for staff and student engagement activities. Thank you! @chelsea_hurst1,Alaska,school closures
2020-05-08 00:33:46+00:00,"Breaking the evaluation and IEP into chunks. 1 slide for school resources during the closure, strengths, progress, needs, pm graphs, goals, accommodations, etc. It makes you prioritize but keeps the engagement. Student pictures on slides adds a personalized touch!",Alaska,school closures
2020-05-05 22:17:53+00:00,"I've had a few people DM me and ask about the donation that has been returned (in the form of credits) from the SeaLife Center project that I had to cancel due to the closure of schools. If you need help understanding how to use your credits, please DM me and I will try to help.",Alaska,school closures
2020-05-05 17:32:18+00:00,"My children as well. Their current, before closures, grades will stay and if they turn HW in, their grades will only get better. I try to explain best I can but I didn't go to school for that. Usually ends up in a 20 minute explanation for 1 question.",Alaska,school closures
2020-05-05 01:49:24+00:00,"A5: Standardized assessment for math, reading, & science was cancelled in Iowa this year due to school closure. #ELLChat",Alaska,school closures
2020-05-05 01:40:08+00:00,A4: Instruction since school closure has only been focused on essential standards. #ELLChat,Alaska,school closures
2020-05-05 01:13:15+00:00,"A2: My district is only giving grades at high school (9-12) for required learning. Their are different options, but the grade can't be lower than what it was before school closure. #ELLChat",Alaska,school closures
2020-05-08 18:03:59+00:00,The @AZDHS AZ Health Zone program helps communities across AZ make healthier choices. FREE meals are available for all kids age 18 and younger during school closures. HonorHealth Desert Mission Food Bank is one location providing free grab-and-go meals. https://hubs.ly/H0qkDcJ0,Arizona,school closures
2020-05-06 15:54:29+00:00,Is online school program backed by Facebook's Mark Zuckerberg the answer for coronavirus closures? https://www.usatoday.com/story/news/education/2020/05/02/coronavirus-facebook-mark-zuckerberg-online-school-summit-learning/3046823001/ via @usatoday Great puff piece by @@hechingerreport about online learning with Summit Learning. That USA Today just printed it w/o other side is wrong.,Arizona,school closures
2020-05-04 20:22:00+00:00,Coronavirus school closures may cause 'learning gaps' ,Arizona,school closures
2020-05-04 16:13:40+00:00,"Sorry @alicecooper, looks like school isn't out forever. @Supt_Hoffman announced that plans are underway to reopen schools in the fall, ending statewide closures that started in March. ",Arizona,school closures
2020-05-09 13:15:14+00:00,"Explore simple machines and levers when you make your own pantograph, a device that lets you duplicate images. This free #STEM activity is one of 30 suggestions for #familyscience during school closures! #scienceactivity #remotelearning https://www.sciencebuddies.org/blog/covid19-online-learning-fun-kid-science-activities?from=TW",California,school closures
2020-05-09 01:03:22+00:00,"""In times like this, parents should not be forced to count down the hours until they will be fired for caring for their children when no one else is available to provide that necessary care. #SB1383 would fix that."" - Katherine Wutchiett of @LegalAidAtWork",California,school closures
2020-05-08 16:45:55+00:00,Is there a chart for how many of us worry we'll send a kid to college and they'll be back home by week 6 due to a school closure?,California,school closures
2020-05-08 08:37:11+00:00,COPING WITH SCHOOL CLOSURES LONG-TERM - http://www.californialifehd.com/2020/05/08/coping-with-school-closures-long-term/,California,school closures
2020-05-08 01:38:51+00:00,The digital divide hurts lower-income students during coronavirus - Business Insider - https://www.businessinsider.com/digital-divide-hurts-lower-income-students-during-coronavirus-2020-5?fbclid=IwAR02_srUcIu6EiOIenuchfQoVxc-nOrJW1_MHNcAQxSzfm0VaPT7BtncLBs on @bi_strategy,California,school closures
2020-05-07 19:21:10+00:00,"School closures as a result of the COVID-19 pandemic have demonstrated more than ever the vital role that public schools and colleges play in our society, and that educators play in the lives of students and their families.",California,school closures
2020-05-07 17:50:42+00:00,$EC530 I was a Coach and mentor at Tafoya Elementary. Because of school closures the company has shut down. I just lost a 2nd job doing ag work. I'm also extremely behind on vet bills for my pitbull suffering from skin cancer. #RENTRELIEF,California,school closures
2020-05-07 13:17:33+00:00,3 charts show the alarming ways school closures have left America's most vulnerable children behind http://dlvr.it/RWBGM6 #projectmanagement,California,school closures
2020-05-06 22:30:35+00:00,Join us in congratulating the CA team that won 1st place + $10K by showing off their #moneymoves at the 2020 National Personal Finance Challenge Thank u to Anthony Raffetto &amp; Janet Armstrong for remaining committed to hands-on personal finance in the midst of school closures! ,California,school closures
2020-05-06 17:44:32+00:00,"In an alternate universe my med school friends, our partners, and I are all on a plane to spend a week here. I know it's a) beating a dead horse and b) none of yall MS2s and 3s want to hear it right now but Losing every form of closure on the med school experience is hard. ",California,school closures
2020-05-06 17:39:33+00:00,Communities Fight School Closures And Privatization | http://OurFuture.org by People's Action - https://ourfuture.org/20200504/communities-fight-school-closures-and-privatization on @pplsaction,California,school closures
2020-05-06 14:22:54+00:00,"Bartholow said she hopes this program can serve as a jumping-off point for post-pandemic policies to address gaps in school meals. “This policy itself is a proof in concept that we can serve kids when they’re not in school,” she said. https://chronicleofsocialchange.org/foster-care/grocery-money-zips-straight-to-californias-needy-students-amid-school-closures/43110 cc: @EndChildPovCA",California,school closures
