date,text,state,query_term
2020-05-05 19:48:42+00:00,"Looking for: Collaborative ideas from those who are impacted most by school closures: parents/caregivers, students and educators. Help us imagine how we can reshape schools and learning post-COVID.",Alabama,school closures
2020-05-02 13:16:37+00:00,"Hong Kong has given the world a lesson in how to effectively curb COVID-19. With a population of 7.5M, it has reported just 4 deaths. HK put in swift surveillance, quarantine, social-distancing measures like the use of face masks & school closures, to cut coronavirus transmission",Alabama,school closures
2020-05-05 22:17:53+00:00,"I've had a few people DM me and ask about the donation that has been returned (in the form of credits) from the SeaLife Center project that I had to cancel due to the closure of schools. If you need help understanding how to use your credits, please DM me and I will try to help.",Alaska,school closures
2020-05-05 17:32:18+00:00,"My children as well. Their current, before closures, grades will stay and if they turn HW in, their grades will only get better. I try to explain best I can but I didn't go to school for that. Usually ends up in a 20 minute explanation for 1 question.",Alaska,school closures
2020-05-05 01:49:24+00:00,"A5: Standardized assessment for math, reading, & science was cancelled in Iowa this year due to school closure. #ELLChat",Alaska,school closures
2020-05-05 01:40:08+00:00,A4: Instruction since school closure has only been focused on essential standards. #ELLChat,Alaska,school closures
2020-05-05 01:13:15+00:00,"A2: My district is only giving grades at high school (9-12) for required learning. Their are different options, but the grade can't be lower than what it was before school closure. #ELLChat",Alaska,school closures
2020-05-03 00:25:09+00:00,For Ts - What's one thing you've learned about yourself as a teacher during school closure? For Ss - What do you wish your T knew about you (esp now that school's closed)? #ELLChat,Alaska,school closures
2020-05-02 14:58:21+00:00,"Happy School Lunch Hero Day! Thank you to EVERYONE who keeps our children fed during the school year, and during this school closure. Your efforts are truly heroic! #sepolk @SEPFoodService",Alaska,school closures
2020-05-02 13:43:29+00:00,Taking a challenge (no family events due to school closure) and finding an opportunity (using Facebook Live to engage families - at their convenience) @ChapaTISD #MADpd https://www.youtube.com/watch?v=DkTygid9gRI&amp;feature=youtu.be,Alaska,school closures
2020-05-01 17:24:32+00:00,"Thank You Southeast Polk Principals! We always appreciate you but now more than ever. Thanks for everything, especially during this time of school closure! #sepolk",Alaska,school closures
2020-05-04 20:22:00+00:00,Coronavirus school closures may cause 'learning gaps' ,Arizona,school closures
2020-05-04 16:13:40+00:00,"Sorry @alicecooper, looks like school isn't out forever. @Supt_Hoffman announced that plans are underway to reopen schools in the fall, ending statewide closures that started in March. ",Arizona,school closures
2020-05-02 07:43:24+00:00,I feel terrible for all the graduating spring sport high school students who missed out on having their final performances evaluated by college teams because of the school closures.,Arizona,school closures
2020-05-01 14:26:02+00:00,Literacy is about more than reading books. Use fun activities like this to help your child get creative with words! Find more fun ways to encourage learning at home at http://TodayInAZ.org. #TodayInAZ #COVID19 #Homeschooling #SchoolClosures ,Arizona,school closures
2020-05-01 13:27:28+00:00,Safely back to school after coronavirus closures https://mck.co/2xnaS5U via @McKinsey,Arizona,school closures
2020-05-05 21:27:07+00:00,Did you catch last week's special episode of @NBC's Parks and Recreation? Character Donna said some wise words about the work of teachers during school closures.. Happy #TeacherAppreciationDay! #teacherappreciationweek #quaranteaching,California,school closures
2020-05-05 20:03:18+00:00,As a essential worker I would like to know if there are local to Lawndale licensed daycare centers that are going to be able to help families like mine. I am a nurse and need childcare for my son who can’t go to school because of closures. What reliable resources are available?,California,school closures
2020-05-05 18:58:57+00:00,@Jo_Frost So cool to see you crop up in my notifications - thanks! Can I talk you into a 10-minute zoom with HS students who are raising younger sibs during school closure?,California,school closures
