date,text,state,query_term
2020-03-19 20:09:09+00:00,"Today my company issued a statement saying if people had to be furloughed or are in self quarantine due to the virus, they would not contest unemployment payment requests. That being said, I can see them doing this on a Monday so that’s a technical work week pay.",California,selfquarantine
2020-03-12 23:13:30+00:00,Gas might be $2 but you don’t need gas if you’re in self quarantine,California,selfquarantine
2020-03-30 18:55:30+00:00,Trinitee took a Virtual Paint Class on Instagram today and Painted this from a blank canvas. She wanted to do a Paint Night for her Birthday and couldn’t due to the Self #Quarantine and #SocialDistancing so… https://www.instagram.com/p/B-XlysxDtZf/?igshid=38u1ly5i1pi6,Connecticut,selfquarantine
2020-03-28 16:17:46+00:00,"Liberal outrage? #LiberalismIsAMentalDisorder Raimondo orders anyone arriving in RI from NY to self-quarantine, ACLU questions method ",Connecticut,selfquarantine
2020-03-27 20:27:40+00:00,Q: address continuing surge from NY- are hospitals ready? A: @GovNedLamont first adds it’s unconscionable to not have ventilators. This is life or death. Been strict about telling people to stay home. Ppl in NYC- come here then self quarantine or stay in NYC.,Connecticut,selfquarantine
2020-03-26 20:50:51+00:00,Q: Old Lyme and East Lyme looking for guidance on ppl coming to NY- can’t enforce people to stay home without statewide mandate. @GovNedLamont says I order you to self quarantine.,Connecticut,selfquarantine
2020-03-26 20:41:40+00:00,Q: people coming here and moving in with other people from NY- are you doing anything with that? A: @GovNedLamont if you come here test yourself on a regular basis. Be respectful. Self quarantine.,Connecticut,selfquarantine
2020-03-26 20:07:36+00:00,"Lamont: “If you’re coming to our state, self quarantine for 14 days.” #wfsb",Connecticut,selfquarantine
2020-03-26 15:39:16+00:00,MICHAEL JACKSON’S DAUGHTER PARIS SHARES ‘ONE POSITIVE ASPECT’ OF BEING IN SELF-QUARANTINE OVER CORONAVIRUS OUTBREAK ,Connecticut,selfquarantine
2020-03-26 11:25:27+00:00,No offense. But these New Yorkers needs to self quarantine in their own damn state. Don’t come to ct and infect us.,Connecticut,selfquarantine
2020-03-25 11:52:20+00:00,"During this time of social distancing and self quarantine, treat yourself to comfy but cute loungewear. This cropped sweatshirt is less than $20 and comes in a TON of colors and designs. I suggest sizing up… https://www.instagram.com/p/B-J9Yt2gnhH/?igshid=1ekw9om0ao2uo",Connecticut,selfquarantine
2020-03-23 21:55:55+00:00,"I’m proud to be a #GenX er! I’m also proud that we have been really following the advice to #StayHome. Today is day 9 of #selfquarantine and we’re doing great. Cooking a lot of meals, lots of #DogKisses and #bingewatching.",Connecticut,selfquarantine
2020-03-20 15:40:40+00:00,I have to work. I'm doing my best to stay a safe distance from coworkers. Try not to be hard on us little people who don't have the luxury of self quarantine. ,Connecticut,selfquarantine
2020-03-19 23:39:02+00:00,"My sister has adopted a new habit during this self-quarantine time of telling stories (that didn’t happen) and making them up as she goes. The scary thing is, she’s *very* convincing.",Connecticut,selfquarantine
2020-03-19 05:13:20+00:00,Sorry bro. Time to self quarantine ,Connecticut,selfquarantine
2020-03-18 06:49:24+00:00,How many more days are left in the self quarantine? I'm already tired of seeing celebrity's self quarantine social media. You're not funny and I couldn't give a flying fuck that you're bored on day 1.,Connecticut,selfquarantine
2020-03-16 02:28:02+00:00,"Bob, our #bluespottedjawfish, takes #socialdistancing very seriously. He made a gate out of empty snail shells and spits sand at any creatures that comes near his cave. He only uses the back entrance to enter and exit his home. Be like Bob. #getoffmylawn #reeftank #selfquarantine ",Connecticut,selfquarantine
2020-03-13 16:50:29+00:00,"My work sent an email telling is to self quarantine if we exhibit symptoms. But, will you pay me?",Connecticut,selfquarantine
2020-03-13 16:18:48+00:00,Quicker everybody self quarantine Quicker we get sports back GG’s,Connecticut,selfquarantine
2020-03-09 20:45:46+00:00,@trinitycollege most recent college dealing with COVID 19 #coronavirus 7students on self quarantine at home. @WTNH @ctcapitolreport #sports contests rescheduled D3 @NESCAC – at Trinity College,Connecticut,selfquarantine
2020-03-08 23:33:42+00:00,7 Trinity College Students in Self-Quarantine After Possible Exposure to Coronavirus ,Connecticut,selfquarantine
2020-03-29 14:55:47+00:00,#QuarantineMaffia @DelReid #BillsMafia feels amazing to be on day 14 of our families aggressive self quarantine. Knowing we are not sick AND we did not spread this to anyone feels like an opening day win! What other mafia members can say this? Del how about a 14 day t-shirt?,Connecticut,selfquarantine
2020-03-27 01:16:40+00:00,11th day of self quarantine. My sous cheff are back after a couple days off and decided to make dessert for this warm night. I might die of anything but never hungry or of love because… https://www.instagram.com/p/B-N-OxTh18BsYIxHPIFi1NRSzDxqVNVfa4dhTA0/?igshid=11tiy5oriagp6,Connecticut,selfquarantine
2020-03-22 18:44:45+00:00,Seventh Day of self quarantine! Let's look at this with a positive view and make the best out of it. One more day sharing with my kids all the time i could not before and teaching them but… https://www.instagram.com/p/B-C-M0hBYcnz3IFxycS7NhzEgAqfrSZz7tE4440/?igshid=rem8pqvvbghq,Connecticut,selfquarantine
2020-03-22 02:35:41+00:00,"6th dqy of self quarantine. We have ribs, gqrlic bread qnd salad for dinner and to finish the day we all watch Pandemic, not to scare my kids but for them to understand better how this… https://www.instagram.com/p/B-BPTPbhmQn0QoDyWLHA5BRg-D7iLXfTeNUCBc0/?igshid=bies7f5d4til",Connecticut,selfquarantine
2020-03-21 22:09:50+00:00,"I suspect during these days of social distancing and self-quarantine, I will discover different locations in my house for selfies! Here I am in my upstairs powder-room! Loving the light! #corona2020 #Soulpreneur… https://www.instagram.com/p/B-Aw4OVDoRR/?igshid=z7sflr4sbbuw",Connecticut,selfquarantine
2020-03-21 02:10:01+00:00,"If you’re gonna self quarantine at least get yourself some good beer to get ya through #FillUpFriday #middletownct #ctbeer #drinkctbeer #supportlocalbusiness #buylocal #drinklocal #tasteandtalkct @Middletown,… https://www.instagram.com/p/B9-bfbKJasd/?igshid=1xvge16l4ygxu",Connecticut,selfquarantine
2020-03-19 15:52:55+00:00,"""mY cHiLd CaNt GeT a TeSt BuT nBa PlAyErS Do"" Shut up. A test isn't a cure. Self quarantine, treat symptoms and call your doctor for advice if things escalate and they need professional help. Don't run into an ER with a possible case and infect everyone else. Idiots. #COVID19",Connecticut,selfquarantine
2020-03-19 14:31:18+00:00,Name 5 wrestlers past or present that you’d like to self quarantine with!! Go!!! ,Connecticut,selfquarantine
2020-03-18 20:52:28+00:00,Just saw someone subscribed to a wine delivery club during these times of self quarantine and I’m so mad I did not think of that before buying several boxes of Franzia instead,Connecticut,selfquarantine
2020-03-18 18:03:06+00:00,Finally getting back into art during this self quarantine ,Connecticut,selfquarantine
2020-03-18 01:26:56+00:00,Day 3 of self quarantine: Trying to live a normal life in Grand Theft Auto.,Connecticut,selfquarantine
2020-03-17 18:28:33+00:00,"Progress is a little slow since I had to work yesterday. I don’t want to be out of work, but self quarantine is so tempting right now considering I have lupus and so much knitting I want to do. #biohazardsocks… https://www.instagram.com/p/B92EXuiJ3B5/?igshid=19zau499fy73e",Connecticut,selfquarantine
2020-03-17 02:38:51+00:00,You and her are in my thoughts every time I think about why I self quarantine. Always love. ,Connecticut,selfquarantine
