date,text,state,query_term
2020-05-09 22:38:54+00:00,"11 Secret Service employees infected with coronavirus, 60 in self-quarantine https://www.usatoday.com/story/news/politics/2020/05/08/coronavirus-secret-service-employees-infected-covid-19/3101578001/ via @usatoday",Alabama,selfquarantine
2020-05-09 15:00:36+00:00,Wow... Coronavirus: Secret Service employees infected with COVID-19 https://www.usatoday.com/story/news/politics/2020/05/08/coronavirus-secret-service-employees-infected-covid-19/3101578001/,Alabama,selfquarantine
2020-05-08 20:10:00+00:00,A positive test means the subject is contagious and should self-quarantine.,Alabama,selfquarantine
2020-05-08 17:41:56+00:00,Also as per their own guidelines if you are exposed you are supposed to self quarantine for 14 days.,Alabama,selfquarantine
2020-05-07 21:43:46+00:00,Perfect- the rule still applies. Those who are young/elderly with a compromised immune system need to self-quarantine. Those who buy into the leftist fear-porn also need to self-quarantine. The rest of America needs to go to work. No more free checks.,Alabama,selfquarantine
2020-05-05 14:57:56+00:00,Be nice if the US navy was forced to self quarantine and shelter in place at “home”. The billions in savings could be spent on improving life for US taxpayers....,Alabama,selfquarantine
2020-05-05 04:18:42+00:00,"So those who have underlying health conditions need to self-quarantine, while the 99% can go back to work.",Alabama,selfquarantine
2020-05-09 07:35:17+00:00,"11 Secret Service employees infected with coronavirus, 60 in self-quarantine https://www.usatoday.com/story/news/politics/2020/05/08/coronavirus-secret-service-employees-infected-covid-19/3101578001/ via @usatoday: #TrumpLiesPeopleDie TrumpLiesAboutCoronaVirus #COVID19",Alaska,selfquarantine
2020-05-08 17:08:16+00:00,@maddow why is pence still traveling to Iowa? We know he should be self-quarantine but not. He’s doing nothing more than PR. Lack of compassion and common sense in that W.H. is evident and I’m angry as hell-,Alaska,selfquarantine
2020-05-07 15:22:22+00:00,What do you think about the west wing staff member being tested positive for Covid? Is trump going to self quarantine? Is he going to wear a mask? How about focusing on what the problem is PS The majority of Americans I feel the same way about you being on the new house paddle,Alaska,selfquarantine
2020-05-05 20:51:52+00:00,I am so beyond DONE with getting bitched at by customers that live in REMOTE areas about self quarantine. If you just traveled from Arizona to Juneau YOU NEED TO QUARANTINE FOR 2 WEEKS BEFORE I WILL SEND AN EMPLOYEE TO OUR HOME NOW STFU AND GO DIE OR SOMETHING,Alaska,selfquarantine
2020-05-09 15:40:19+00:00,"So now Trump, Pence, Ivanka and presumably Jarod have all been exposed. Will they self-quarantine for 14 days? No way. They'll go about their lives as if this doesn't matter and they'll spread it to others. Watch staff leave the WH like rats off a sinking ship.",Arizona,selfquarantine
2020-05-07 16:29:33+00:00,Now will trump self-quarantine?,Arizona,selfquarantine
2020-05-07 16:28:43+00:00,"And his clothes! I'm sure neither of them have been wearing masks, and that valet was probably carrying it for a couple weeks before he had symptoms. Now my question is, will trump self-quarantine for 2 weeks?",Arizona,selfquarantine
2020-05-07 16:13:20+00:00,"Now that trump has had close contact with a Covid carrier (his valet), will he self-quarantine for 14 days? Who would want to be around him? ",Arizona,selfquarantine
2020-05-07 06:17:59+00:00,As long as every attendee self quarantine's for 14 days. Sure.,Arizona,selfquarantine
2020-05-06 13:51:47+00:00,We are still self quarantine so it's just Mike and I. We visit with masks on in the front patio with my daughter ,Arizona,selfquarantine
2020-05-03 17:07:59+00:00,This is a very useful thread for we formerly-high-energy folks who can't seem to get our brain to work these days. #SelfQuarantine ,Arizona,selfquarantine
2020-05-08 15:02:35+00:00,Just realizing how beautiful I am #braids #selflove #SelfQuarantine ,Arkansas,selfquarantine
2020-05-07 14:53:12+00:00,And they taped a month of episodes at start of April and all the talent especially the ones in California and New York who were told NOT to show up to those to prevent spread but those are up but b/c of the month warning those from Cali and NYC have been able to self quarantine,Arkansas,selfquarantine
2020-05-06 11:38:13+00:00,Other viruses to self-quarantine from: MSNBC-19 CNN-19 ABC-19 CBS-19 NBC-19 New York Times-19 Washington Post-19,Arkansas,selfquarantine
2020-05-03 15:49:54+00:00,Love this!,Arkansas,selfquarantine
2020-04-15 11:48:27+00:00,"Well, my self quarantine cut could have done a LOT worse... Before in the upper right. The rest are the after. Yes, I will need a little clean up today. #quarentine #haricut – at The Summit at Lost River",Arkansas,selfquarantine
2020-05-09 23:02:01+00:00,"4/ And via WaPo, a reminder: ""Stephen Hahn, commissioner of the Food and Drug Administration, began to self-quarantine for two weeks after being exposed to an individual who tested positive for the coronavirus, the FDA said late Friday.""",California,selfquarantine
2020-05-09 22:59:05+00:00,"Uh-oh>>>Robert Redfield, CDC director, to self-quarantine after exposure to person at the White House who tested positive for Covid-19 - CNNPolitics ",California,selfquarantine
2020-05-09 22:51:28+00:00,Self quarantine for another 40 years.,California,selfquarantine
2020-05-09 21:43:33+00:00,"Day 56 of California Lockdown, Day 68 of self-quarantine: Just received my $1200 Coronavirus stimulus cheque with Trump’s name on it! https://www.instagram.com/p/B_-40oVp_sM/?igshid=rh9ct929ebh7",California,selfquarantine
2020-05-09 18:41:28+00:00,"Right, it's not like we're in the middle of a global pandemic that has already taken nearly 80,000 American lives, and the only tool we have to fight it is extreme social distancing/self-quarantine and good hygiene.",California,selfquarantine
2020-05-09 15:28:07+00:00,Trump and Pence should go into self-quarantine for the next 2 weeks — according to the government's own coronavirus guidelines http://dlvr.it/RWKMRm #greatbusiness,California,selfquarantine
2020-05-09 10:07:45+00:00,Had fun staying up late to watch Burst Girl giving a live performance on what would have been their Monster of Dolls night in Italy. Thank you @burst_girls. See you in Arizona.,California,selfquarantine
2020-05-08 20:02:35+00:00,Think of all the people she and her husband came in contact with. And yet not one person will self-quarantine. ,California,selfquarantine
2020-05-08 15:08:18+00:00,"It was useless because over 400,000 people have flown here and nobody was tested or quarantined. Instead they were sent home and it was recommended that they self quarantine. Do you think they magically transported home from the airport? Many took domestic flights.",California,selfquarantine
2020-05-08 12:02:39+00:00,"The @CTVCalgary invites our CEO, Dennis Kwan, to speak on the technology-way-out of this pandemic. Showcase iMSafe, our self-quarantine management solution, as an effective way to control the virus spread—a clear message indicating its role in stopping the #pandemic #COVID19",California,selfquarantine
2020-05-08 08:31:45+00:00,"Day 53 of California Lockdown, Day 65 of self-quarantine: We had a doctor’s appointment and we saw a large column of black smoke rising from where we headed. By the time we reached there the #sjfd and #sccosheriff… https://www.instagram.com/p/B_65aVGJkbp/?igshid=kxi3pb36bhoq",California,selfquarantine
2020-05-08 07:53:15+00:00,"And tangina ng conclusion mo na why not self quarantine yourself for HIV, Sars, and flues, existing flues are not equally as deadly from the other, and so to speak HIV is not airborne!!! SARS and flu you speak of has already treatments and vaccines on which you don't beleive in!!",California,selfquarantine
2020-05-08 00:33:28+00:00,Bonus round: Cat pictures only,California,selfquarantine
2020-05-07 00:31:01+00:00,I'm starting with the spider in the mirror I'm asking him to change his ways ,California,selfquarantine
2020-05-06 15:07:24+00:00,Good Morning! Happy Hump Day! Today’s Affirmation: *Setting appropriate boundaries with myself and others is healthy self-care. #GladTidingsByMel #PositiveAffirmations #SelfCareIsSexy #SaferAtHome #SelfQuarantine #StayHome #SocialDistancing #HumpDay #WisdomWednesday,California,selfquarantine
2020-05-06 04:21:59+00:00,"Umm, they were screened. And they were asked to self quarantine. Again, you could have argued months ago for this. Democrats had the data. Everyone has the data. The political points aren’t here to win so....sorry...?",California,selfquarantine
2020-05-05 11:08:07+00:00,What was govt instruction..To self quarantine for 14 days..those who have travel history..None followed.. ,California,selfquarantine
2020-05-05 07:49:52+00:00,"I’m currently watching #90DayFiancé: Self Quarantine, and saw this moment the camera caught during Matt and Allah’s reunion. ",California,selfquarantine
2020-05-04 08:40:58+00:00,"Day 48 of California Lockdown, Day 60 of self-quarantine: Too many people are outside and not #socialdistancing @San Jose, California https://www.instagram.com/p/B_wnSX1pPLT/?igshid=12vsjsi55hze4",California,selfquarantine
2020-05-09 23:44:31+00:00,The White House should lock it down and self quarantine . No assistants . No press . No maids and cooks for everyone’s safety . The president governs via twitter anyway ...in between Fox News shows ,California,selfquarantine
2020-05-09 23:22:04+00:00,The whole WH needs to self quarantine. You too Donald. ,California,selfquarantine
2020-05-09 20:45:24+00:00,U.S. Food and Drug Administration Director Stephen Hahn is starting two weeks of self-quarantine after coming into contact with a person who tested positive for the coronavirus.,California,selfquarantine
2020-05-08 19:04:21+00:00,If you are concerned about your personal health and safety then you can choose to self quarantine. You have no right to restrict my freedom.,California,selfquarantine
2020-05-08 15:12:12+00:00,Good Morning!!! Happy Flex Friday! Today’s Affirmation: *It’s okay to take a break. #GladTidingsByMel #PositiveAffirmations #TodaysAffirmation #AffirmationOfTheDay #SelfCareIsSexy #SaferAtHome #SelfQuarantine #StayHome #SocialDistancing #FriYay #FleXFriday,California,selfquarantine
