date,text,state,query_term
2020-04-08 09:47:17+00:00,"Politics aside, if we are better prepared we will need to do it...(universal testing will resolve the shelter in place problem)",California,shelterinplace
2020-04-28 16:04:29+00:00,There are things we can do to stay engaged as we learn virtually during shelter-in-place - @cjsteven @TheRealCUES,Connecticut,shelterinplace
2020-04-26 05:30:41+00:00,My Six-word #COVID19 story challenge: &gt; Shelter In Place: Home Sweet Home&lt;. @SusanLLane @trinilab @jannie_b @richgeegroup @jaguarpuissant @libby_rich,Connecticut,shelterinplace
2020-04-23 01:22:10+00:00,"1/2 Sometimes when we get in spots that we feel vulnerable or ashamed, it seem easier to shelter in place. Lock it down/Shut it out. Thus creating trapped emotions &amp; cycle of neg/destructive patterns. The only way out is through- meaning",Connecticut,shelterinplace
2020-04-21 16:44:49+00:00,Hi Anis. I am speechless! What a powerful painting..! You are a true artist and I'm so happy to have met you..! #ShelterInPlace ,Connecticut,shelterinplace
2020-04-19 11:17:47+00:00,"Those of us who would like to shelter in place would like those of you who want to reopen, to carry this with you at ALL TIMES ",Connecticut,shelterinplace
2020-04-16 12:19:04+00:00,@viajealduende Happy Birthday Sweet Fighting Man Have a Super Day..! #ShelterInPlace #BoxInPlace – at Pink Boxing,Connecticut,shelterinplace
2020-04-15 11:18:40+00:00," My library closed before I could get some books, so borrowed my son's ""Game of Thrones"" series. I'll be able to shelter in place for years! Stay safe! ",Connecticut,shelterinplace
2020-04-12 18:57:21+00:00,Day??? of shelter in place ,Connecticut,shelterinplace
2020-04-09 02:56:46+00:00,"It surely does Bob. Puts it all in perspective. And, without question, I’d rather shelter in place for a few months than wander in the desert with Moses for 40 yrs as my ancestors did after fleeing Egypt!",Connecticut,shelterinplace
2020-04-06 19:30:20+00:00,Agreed! Can’t enough @FrankCaliendo as we shelter in place. ,Connecticut,shelterinplace
2020-04-05 03:48:27+00:00,Georgia reopens beaches despite coronavirus 'shelter-in-place' order Hppe they do not need help down the road for this! https://www.foxnews.com/us/georgia-reopens-beaches-coronavirus-shelter-in-place-order,Connecticut,shelterinplace
2020-04-03 20:39:12+00:00,"I see so many folks from Ga unsure about what shelter in place looks like! Here in CT we’ve been at it for awhile and it just means don’t do non essential stuff. Yes you can leave your porch.. you can go on walks (just move as you pass ppl) you can go to store, you can make that",Connecticut,shelterinplace
2020-04-02 12:35:29+00:00,"Record numbers of workers applied for unemployment insurance benefits in March, as cities and states broadened shelter-in-place orders. ",Connecticut,shelterinplace
2020-04-02 10:52:26+00:00,"And another day of shelter in place begins, anyone else feels this represents their day? ",Connecticut,shelterinplace
2020-04-24 16:27:59+00:00,In today’s edition of shelter-in-place ,DC,shelterinplace
2020-04-24 01:35:06+00:00,"#RachelMaddow Dr. Sarah Cody, public health officer of Santa Clara County, announced the shelter-in-place orders for San Francisco &amp; the Bay Area on March 16, the earliest in the nation. Gov. Gavin Newsome extended that order to the entire state 3 days later. Cody said acting",DC,shelterinplace
2020-04-21 20:06:44+00:00,Words matter - thank you @i3impact for the reframing of #shelterinplace to #learninginplace and other verbs to define our time spent @bigpathcapital #impinv virtual summit,DC,shelterinplace
2020-04-21 11:42:08+00:00,Among the little gifts of shelter-in-place: fresh lilacs from the yard for my “office.” Most years I fly right past them as I come and go. ,DC,shelterinplace
2020-04-21 00:34:13+00:00,Conservative activist family behind 'grassroots' anti-quarantine Facebook events. A family-run network of pro-gun groups is behind five of the largest Facebook groups dedicated to protesting shelter-in-place restrictions: @NBCNews.,DC,shelterinplace
2020-04-20 20:53:36+00:00,"This. It’s not zero or . It’s not shelter in place or back to normal. As we open up for those who must work to survive, don’t be that *sshat who refuses to follow social distancing protocols that don’t cost anyone their livelihoods just because you want to stick it to the man. ",DC,shelterinplace
2020-04-18 20:36:23+00:00,"“I'm very concerned about any type of pressure — political or otherwise — to make hasty decisions based on the economy as opposed to the science,“ Tampa, Fla., Mayor Jane Castor told @axios She pushed for a shelter-in-place order long before Florida Gov. Ron DeSantis issued one",DC,shelterinplace
