date,text,state,query_term
2020-03-30 23:45:48+00:00," If there wasn't a shelter in place, would be on a train to the city to have one with you Ingeborg! #slainte ",Connecticut,shelterinplace
2020-03-27 12:40:38+00:00,Don't let what you can not do interfere with what you can do. Think about it. #ctrealestate #ctrealtor #cthomes #realestate #corona #shelterinplace #essential #productivity #staysafe #stayhealthy @Connecticut https://www.instagram.com/p/B-PMgeejjF4/?igshid=4pxd9kmqdou9,Connecticut,shelterinplace
2020-03-26 22:38:32+00:00,"Senator Blumenthal said he couldn't emphasize testing enough. A reporter asked about those who had it & younger, healthier people going back to work and restoring ""normalcy"". His response was that until there were enough tests for everyone to be sure, we need to shelter in place.",Connecticut,shelterinplace
2020-03-25 08:53:47+00:00,"You live in California! Where people are flocking to the beaches despite Governor Newsome's shelter in place order! So, I'm pretty sure you are not qualified to speak about New York. And you're a Rumpy Mc Bone Spurs fan. That REALLY makes you unqualified. Period.",Connecticut,shelterinplace
2020-03-23 10:50:28+00:00,"What horrendous numbers If the #USA doesn’t strictly practice #ShelterInPlace &amp; good #InfectionControl , it’s next ",Connecticut,shelterinplace
2020-03-20 23:11:43+00:00,"Small businesses are doomed because of @GovNedLamont’s reckless shelter in place order. There’s no plan to help businesses survive, no timeframe, no leadership. This is an absolutely catastrophe for hundreds of thousands of workers and business owners.",Connecticut,shelterinplace
2020-03-20 22:16:54+00:00,You really should shelter in place,Connecticut,shelterinplace
2020-03-20 20:10:59+00:00,Everyone please stock up on food and things as much as you can cause they are talking about a shelter in place for 14 days.....,Connecticut,shelterinplace
2020-03-20 19:40:11+00:00,So we have a #stayinplacestayathome is Connecticut's #shelterinplace per @GovNedLamont,Connecticut,shelterinplace
2020-03-20 03:12:35+00:00,Is he tho? Why is he refusing to put in a shelter in place order for NYC?,Connecticut,shelterinplace
2020-03-18 23:09:26+00:00,Sadly none of that seems at all likely #NovelCoronavirus #pandemic @CockyBoys @KeithHelix #WakeUp #ShelterInPlace Do any of you remember when #AIDS showed up?,Connecticut,shelterinplace
2020-03-18 21:50:34+00:00,New York needs to put the state shelter in place before weekend.,Connecticut,shelterinplace
2020-03-18 20:33:29+00:00,My condolences to his family. Thank you for taking aggressive measures to keep our state safe. I hope there is a shelter in place order soon. Some people are still too stubborn to stay home.,Connecticut,shelterinplace
2020-03-18 15:05:23+00:00,"... The in­ten­sive-care unit is tak­ing al­most no pa­tients older than 70. The rest may DIE. This is what awaits #Americans thanks to #TrumpVirusCoverup , unless we immediately #ShelterInPlace",Connecticut,shelterinplace
2020-03-29 22:36:25+00:00,So we aren’t even meeting the assumptions in these models for mitigation. No national wide shelter in place and domestic travel and air travel still going. Need to do more.,DC,shelterinplace
2020-03-27 14:40:04+00:00,#BillGates @BillGates makes it clear that the #WhiteHouse #Trump decision to a state-by-state shutdown won’t stop #COVID2019 in the #USA and protect #America’s #Businesses and #Jobs. We need a 1x nationwide TOTAL shutdown and #ShelterInPlace for 6-10 wks. ,DC,shelterinplace
2020-03-24 21:00:42+00:00,"Not dunking, truly curious: do any of the folks who wanted Trump to declare a nat’l shelter in place order now see the value in case-by-case decisions? Cause we know Trump values his view of economic gains over public health. Seems like a lesson in the value of dispersing power.",DC,shelterinplace
2020-03-24 17:09:24+00:00,"Our people are full of vim and vigor, they don't want to be locked into a house or an apartment or some space, says President Trump as more and more states are ordering their residents to stay home or shelter in place. – at Rose Garden",DC,shelterinplace
2020-03-23 21:37:45+00:00,"Dear Floridians: Please join me in calling upon @GovRonDeSantis to shut down all FL beaches, bars &amp; clubs and issue a shelter in place order. Bottom line, you cannot undo dead. And dead is what will happen to way too many people if we don’t do what is necessary.",DC,shelterinplace
2020-03-23 20:22:46+00:00,"for sure, but uh you should’ve put in a shelter in place, just saying. ",DC,shelterinplace
2020-03-23 19:36:42+00:00,Me every 15 minutes: #ShelterInPlace #DaRona,DC,shelterinplace
2020-03-23 15:28:42+00:00,This goes into effect 5pm today. There is not a mandatory shelter in place order but greater enforcement has been aurhorized to break up gatherings of 10 or more. #working4MD,DC,shelterinplace
2020-03-23 15:27:50+00:00, #BREAKING : M A R Y L A N D Governor Hogan ordering all non-essential businesses to CLOSE —effective at 5pm TODAY. *NOT a shelter-in-place order @wusa9,DC,shelterinplace
2020-03-23 15:25:56+00:00,This is not enough. @MayorBowser we need a shelter in place order now. You are putting peoples’ lives at risk. ,DC,shelterinplace
2020-03-23 15:17:22+00:00,Please everyone treat it as #ShelterInPlace thank you @GovLarryHogan let’s do this Maryland!!!!!,DC,shelterinplace
2020-03-21 14:10:59+00:00,"A breath of sanity and pragmatism from infectious disease specialist Dr. Emily Langdon: “If we do this right, nothing happens. A successful shelter-in-place means you’re going to feel like it was all for nothing, and that’s what we’re going for here.”",DC,shelterinplace
2020-03-21 12:49:14+00:00,REM’s unlisted track on side A of Life’s Rich Pagaent is some sound #SocialDistancing #ShelterInPlace advice. I have water... I have rum... Wait for dawn and dawn shall come... ,DC,shelterinplace
2020-03-20 09:42:21+00:00,Fully stocked produce and 2go #carryout selections at #UptownMarketDC during our #ShelterInPlace time. Get fresh &amp; gr8 takeout #VanNessDC from your local neighborhood #small businesses! @VanNessMainSt @ParkVanNess – at Uptown Market,DC,shelterinplace
2020-03-19 19:48:46+00:00,BREAKING: Duloc is now under a mandatory shelter in place order after Gingy tested positive for COVID-19. Lord Farquaad is being monitored for symptoms due to the below incident that occurred earlier. ,DC,shelterinplace
2020-03-18 21:11:35+00:00,"Help us help the underserved! Sex Worker's are extremely vulnerable to COVID-19! Help us provide emergency shelter, financial assistance, to provide food and other essentials needed to protect their lives while they shelter in place! http://gf.me/u/xrnyvx",DC,shelterinplace
2020-03-18 13:05:11+00:00,"Coronavirus Crackdowns: The Difference Between Being In 'Quarantine,' 'Isolation,’ And ‘Shelter In Place’ ",DC,shelterinplace
2020-03-17 18:43:25+00:00,"NYC Mayor de Blasio: ""We will quickly need help from federal government.“ He says he’s likely to decide in 48 hours on ""shelter-in-place“ order.",DC,shelterinplace
2020-03-16 21:35:57+00:00,"ATTN: BAY AREA! The 'shelter in place' order is NOT a lockdown. It is rightfully serious, but you can still shop for food, household + necessary supplies, access health care and provide aid to family + friends in need. It begins at 12:01 AM tonight til at least April 7… #COVID19",DC,shelterinplace
2020-03-16 01:53:36+00:00,I’ve been home for 5 hours and have gone to the kitchen numerous times for snacks lmaooo if we gotta shelter in place i’m not gonna make it a week ,DC,shelterinplace
2020-03-30 22:36:25+00:00,Last jog before shelter in place tonight. ,DC,shelterinplace
2020-03-27 23:18:32+00:00,“I was willing to drive back if necessary” -Calif. Rep. @JimmyPanetta on race to return to DC for stimulus vote Most of the Bay Area's delegation missed vote due to shelter-in-place order. More here: https://www.sfchronicle.com/politics/article/Congress-passes-2-trillion-coronavirus-bill-as-15161852.php #coronavirus #stimulus @sfchronicle,DC,shelterinplace
2020-03-27 21:59:56+00:00,"What do you propose doing Matt? Even if Trump were to open America tomorrow and override every shut down, half the country would still shelter in place. Low margin businesses will still end up closing, and we’d have removed our justification for giving them stimulus at all",DC,shelterinplace
2020-03-27 17:06:59+00:00,Mayor Boswer should remove all outside field equipment and store in DPR facilities. She refuses to put a shelter in place and begin population testing- we can at least take away the tools for people to play soccer in Adams Morgan.,DC,shelterinplace
2020-03-26 00:32:59+00:00,Stay strong. Are you guys going to shelter in place or solely closing non-essential?,DC,shelterinplace
2020-03-25 13:07:09+00:00,"What if we end social distancing too early? We know. Note the wisdom of Dr. Emily Langdon: “If we do this right, nothing happens. A successful shelter-in-place means you’re going to feel like it was all for nothing, and that’s what we’re going for here.”",DC,shelterinplace
2020-03-25 01:44:35+00:00,"While we are in proximity to DC, thankfully we don't have a shelter in place. Still remarkable to see the number of people who are ignoring the prescription.",DC,shelterinplace
2020-03-23 17:20:30+00:00,Some number just texted me that dc might be announcing a shelter in place. I replied asking who it was. Turns out if was some guy i stopped talking to from bumble. Seriously what a conniving tactic???? Scaring someone into replying is low,DC,shelterinplace
2020-03-23 13:25:38+00:00,Democrats have stopped the aide that made shelter in place possible for many.,DC,shelterinplace
2020-03-23 02:14:23+00:00,Appears DC AG Karl Racine deleted his tweet calling for a shelter in place order in DC ,DC,shelterinplace
2020-03-23 01:27:33+00:00,"Would love to see more info by state - local regulations (shelter in place, etc), infection rates, etc",DC,shelterinplace
2020-03-22 20:11:06+00:00,Pt 2 As such they forge on. They're delivering to all areas--including those w shelter in place orders such as New Rochelle &amp; San Francisco.,DC,shelterinplace
2020-03-22 19:16:35+00:00,I wish I hadn’t broken my toe 3 days before #ShelterInPlace - I could have had nice long solo runs. ,DC,shelterinplace
2020-03-22 12:28:01+00:00,"No. But beware. “It’s not hard to imagine a circumstance where, for example, Republican governors place heavily Democratic counties under a “shelter in place” order on Election Day, while residents of Republican counties are free to head to the polls.”",DC,shelterinplace
2020-03-22 00:12:39+00:00,Strollerfied Nation about to get us that “shelter in place”,DC,shelterinplace
2020-03-20 20:57:00+00:00,#Beer increased to pandemic-related shelter-in-place level. #coronavirus,DC,shelterinplace
2020-03-19 01:31:18+00:00,Please don’t just like. Please retweet and boost. Millions of Americans work in retail and shelter in place orders are like travel bans in terms of shutting down all activities. ,DC,shelterinplace
2020-03-18 13:59:17+00:00,"We need sensible, proactive leadership on food insecurity. It's immoral to require the underclass to line up at neighborhood food shelters exposed to Covid-19 while we the privileged shelter in place guiding our kids thru distance learning lessons and safe snack breaks. ",DC,shelterinplace
2020-03-18 12:07:11+00:00,"Seriously, THIS! Is the reason we must all shelter in place. STOP going out. For those over 60 who get Covid-19, the death rate is 50%. ",DC,shelterinplace
2020-03-18 00:46:41+00:00,Shelter in place .. San Fran : ,DC,shelterinplace
2020-03-18 00:28:57+00:00,"Oh phew. They cancelled the Cherry Blossom 10 miler too.... but yes way more runners out and about these days. When we get through this we will either all be really fit, or alcoholics from the shelter in place drinking (or both).",DC,shelterinplace
2020-03-17 20:39:04+00:00,#studiohouse #shelterinplace #cornedbeefandcabbage #feed10 @Studio House at Walbridge https://www.instagram.com/p/B92Slq2F8fq/?igshid=w169kfs28lh0,DC,shelterinplace
2020-03-17 20:30:50+00:00,"@RepDonBeyer wise mandamus say, if @USMSPB won’t come to the mountain, even with 5 USC Section 1221(f)(3): why not be CHRISTIAN AND COURTEOUS LIKE TO *ACCOMMODATE* our friends: who’s thinking SHELTER IN PLACE? https://osc.gov/",DC,shelterinplace
2020-03-17 19:01:02+00:00,New York City mayor says 'shelter in place' decision coming in next 48 hours ,DC,shelterinplace
2020-03-17 17:54:16+00:00,So California has 7 counties plus San Francisco have shelter in place. Does this mean that the homeless people can stay in Pelosi house as she is so involved in impeachment and presiding over nobody in the chamber.,DC,shelterinplace
2020-03-17 17:04:14+00:00,"Someone please have sharpieboy shelter in place, he has reasonable people explain what’s happening then he steps up with his 75 word vocabulary and make a farce out of the conference ",DC,shelterinplace
2020-03-17 13:31:59+00:00,'History will not forgive us for waiting': San Francisco Bay Area issues shelter-in-place order over coronavirus - Washington Examiner https://www.washingtonexaminer.com/news/history-will-not-forgive-us-for-waiting-san-francisco-bay-area-issues-shelter-in-place-order-over-coronavirus via @GoogleNews,DC,shelterinplace
2020-03-17 11:28:23+00:00,Homeless are specifically mentioned in the Bay Area emergency shelter-in-place order. They are being told to find shelter if they can and to observe social distancing measures (maintain 6 feet between people) if they cannot.,DC,shelterinplace
2020-03-17 10:16:36+00:00,Coronavirus update: SF Bay Area officials order nearly 7 million people to 'shelter in place' https://www.cnbc.com/2020/03/16/san-francisco-orders-residents-to-stay-inside-except-for-essential-needs.html File for unemployment insurance benefits if you are experiencing lack of work because of #QuarantineLife. #Bills #coronoavirusoutbreak #CoronavirusAdvice,DC,shelterinplace
2020-03-16 23:32:39+00:00,I am happy for you guys. Now she can shelter in place......in your house.....for many weeks.,DC,shelterinplace
2020-03-16 23:07:58+00:00,Anyone else need a #Zoom consultant? #ShelterInPlace #CoronavirusOutbreak #WorkFromHome hashtag get the older folks connected,DC,shelterinplace
2020-03-16 22:27:08+00:00,Other cities should be following San Francisco’s shelter in place order there’s no reason why these closures need to be staggered @cnnbrk @abcnews @NBCNews @CBSNews @NPR,DC,shelterinplace
2020-03-16 22:11:01+00:00,"Yikes! Shelter in place order for SF Bay Area, until April 7 at least! ",DC,shelterinplace
2020-03-16 20:36:44+00:00,“the order calls for the sheriff or chief of police to ‘ensure compliance’” // San Francisco // #ShelterInPlace https://twitter.com/kingmilesiii/status/1239399475996774401,DC,shelterinplace
2020-03-14 21:15:07+00:00,"I am not a nervous person nor would I consider myself a rule follower, but I feel the same way. As much as I want to be out supporting small and local businesses the smart thing to do is shelter in place ~ ",DC,shelterinplace
2020-03-29 22:05:05+00:00,When you have to shelter in place and your favorite birthday dinner spot is closed to help flatten the curve you compromise! @winkinglizard @mujay5 hshamb @The Baxendale Compound https://www.instagram.com/p/B-VWi5oDmdzP8rlm3d5s9FMbiDkUY7QTplzCSI0/?igshid=1wjn82x8py7ba,Delaware,shelterinplace
2020-03-29 18:15:50+00:00,"Happy to see read-aloud storytelling alive and well during this strange time. It isn’t every day you get jjabramsofficial to read @The_Pigeon to your 5-year-old! As we get accustomed to #shelterinplace, here’s a… https://www.instagram.com/p/B-U7fPlD-vH/?igshid=1pwysuju7u8ic",Delaware,shelterinplace
2020-03-27 23:02:45+00:00,"Highlights from today at Slangerup Homeschool, ltd. In addition to art, reading, and engineering, offering new courses in s’mores and getting swol. #shelterinplace #shelterinplace2020 @Dublin, Ohio https://www.instagram.com/p/B-QTs-5j-YH/?igshid=hfrpssqzgqp",Delaware,shelterinplace
2020-03-24 15:57:18+00:00,Corona Shelter in Place Day 1: Totally acceptable to day drink. Growler prices have been DRASTICALLY REDUCED &amp; are now legal in Indiana! Check your local 101 Beer Kitchen Draft list and Order Online! Wine &amp; Mead as well! #savethebeer,Delaware,shelterinplace
2020-03-18 01:57:40+00:00,"If we have to shelter in place, I’m ready. #essentials #covid_19 #fatty @Delaware, Ohio https://www.instagram.com/p/B923xdMny53/?igshid=6vhiejit1zio",Delaware,shelterinplace
2020-03-18 02:03:13+00:00,"If we have to shelter in place, I’m ready. #essentials #covid_19 #fatty https://www.instagram.com/p/B923xdMny53/ via https://tweet.photo",Delaware,shelterinplace
2020-03-28 19:57:20+00:00,"Shelter-In-Place on #caturday keeping safe from the #KungFlu fully stocked up and ready for the #quarantine2020 that's coming. Hope everyone stay safe from the #sweetandsoursickness @Wall, New Jersey https://www.instagram.com/p/B-SjR7Enyt_/?igshid=4avitrf5fxas",Georgia,shelterinplace
2020-03-27 15:30:52+00:00,Hexa team prepares to distribute stay healthy packages to our residents at Raajipo @Robbinsville #socialdistance #shelterinplace #covıd19 #crisis #helpourseniors #teamwork #community #crisis #hexabuilders @… https://www.instagram.com/p/B-Pf_PZjam9/?igshid=1hb71xuzpvvl3,Georgia,shelterinplace
2020-03-24 20:06:06+00:00,"#stayhome #staysafe #shelterinplace #prayers #oceanserenity @Point Pleasant, New Jersey https://www.instagram.com/p/B-IRGi1gvkH/?igshid=1b3repptvfjtd",Georgia,shelterinplace
2020-03-23 21:16:22+00:00,Hold up a second. We have a shelter in place but they are releasing prisoners? Didn't they make a movie about this ... #ThePurge,Georgia,shelterinplace
2020-03-19 22:53:41+00:00,"sounds like out here. Heard rumor via DePaul people, Chicago may call for shelter in place. We just need to get in/out &amp; thru PA in one piece...",Georgia,shelterinplace
2020-03-21 02:09:34+00:00,"Tomorrow I begin my shelter in place with my wife and daughter. This day has been so surreal and unimaginable. Almost 15 years at my job, and now uncertainty if I’ll see it continue on the other side of this. For now, it’s family time, picking up my guitar again and podcasting",Idaho,shelterinplace
2020-03-20 15:55:20+00:00,Gov. Holcomb says reiterates social distancing now reduces likelihood of a shelter-in-place mandate.,Kentucky,shelterinplace
2020-03-18 14:27:54+00:00,I thought that di Blasio put a shelter in place order for NYC? Why are teachers being asked to report to school buildings?? Or lose PTO days? ,Maine,shelterinplace
2020-03-12 16:40:11+00:00,Time shelter in place. Send the drone out for supplies!,Maine,shelterinplace
2020-03-26 20:53:40+00:00,I clearly have not been using my shelter in place time correctly. ,Massachusetts,shelterinplace
2020-03-25 22:50:54+00:00,"They said shelter in place, but they didn’t say what place. #braintree – at Montilio's",Massachusetts,shelterinplace
2020-03-24 15:33:01+00:00,This gif encapsulates the public health decision of a premature lift of shelter in place orders and travel restrictions. ,Massachusetts,shelterinplace
2020-03-23 13:50:37+00:00,"In just the past 40 minutes, the list of state snd local officials calling on @MassGovernor to order #StayAtHome/#ShelterInPlace has grown to 58 (and counting). I hope Gov. Baker will listen to @darosman and other experts and do more to #ShutDownMA.",Massachusetts,shelterinplace
2020-03-23 12:06:59+00:00,-@MassDPH says there are 5 deaths &amp; 646 confirmed #coronavirus cases in MA TODAY: Nantucket’s “stay at home” order &amp; Provincetown’s “shelter in place” order begins. - a @bostonpolice officer has tested positive @JCuocoNews has more #7news,Massachusetts,shelterinplace
2020-03-23 11:18:52+00:00,Hi @universalhub can you find out from @marty_walsh or one of our councilors such as @wutrain or @MattOMalley why we do not have a shelter in place order for the city? It’s past time.,Massachusetts,shelterinplace
2020-03-23 00:54:56+00:00,Shelter in place. Now. #FlattenTheCurve This is the point of no return for intervention to prevent Massachusetts's hospital system from being overloaded by Coronavirus: https://covidactnow.org/state/MA #COVIDActNow,Massachusetts,shelterinplace
2020-03-22 16:24:47+00:00,"JUST IN: Nantucket issues a Stay at Home Order (aka “Shelter in Place Order”), effective 3/23 @5:00 PM through 4/6. This is not a lockdown. Essential services like grocery stores, pharmacies &amp; takeout restaurants can remain open. @NBC10Boston @necn",Massachusetts,shelterinplace
2020-03-22 15:19:05+00:00,Here’s the list of state and city officials who have joined our call to @MassGovernor @CharlieBakerMA to issue an order to #StayAtHome/#ShelterInPlace See: https://bit.ly/3djpYtb Elected officials can email me directly if they wish to sign on. See: http://Connolly.house,Massachusetts,shelterinplace
2020-03-20 18:47:00+00:00,"Despite a growing number of #Massachusetts legislators municipal elected officials, doctors, nurses, public health experts and concerned residents calling on @MassGovernor to issue the #ShelterInPlace executive order, he did not take action at today's press conference ",Massachusetts,shelterinplace
2020-03-20 18:24:13+00:00,NOW: @MassGovernor says the state is not planning a shelter-in-place order at this time. @NBC10Boston @necn,Massachusetts,shelterinplace
2020-03-20 02:35:22+00:00,Reading the California shelter in place order...sounds like what we have already been doing to me? Not as strict per se as I thought it might be. ,Massachusetts,shelterinplace
2020-03-18 18:24:09+00:00,"Keep up the pressure on @MassGovernor - it worked last week on closing public schools, this weekend with ending elective surgeries / apptmnts in hospitals, &amp; with #COVID19 cases growing in #Massachusetts, next step is #ShelterInPlace #coronavirus",Massachusetts,shelterinplace
2020-03-18 11:45:06+00:00,"Good morning, @MassGovernor. Please save lives and call a shelter in place. We have some ideas to start thinking about a recovery when you’re ready (in 30 mins or so). Thank you. ",Massachusetts,shelterinplace
2020-03-17 17:23:38+00:00,Shutting down rumors—@MassGovernor says NO Shelter in place order planned for Massachusetts #coronavirus #7news,Massachusetts,shelterinplace
2020-03-17 16:17:30+00:00,"The actions we do or don’t take now to #ShutDownMASS will have exponential effects. Case in point: New York isn’t projected to peak for another 45 days, on May 1. At which point it is projected to overwhelm their hospital system. #ShelterInPlace https://www.nytimes.com/2020/03/17/nyregion/coronavirus-new-york-update.html",Massachusetts,shelterinplace
2020-03-17 13:08:53+00:00,"“This is another day, O Lord. I know not what it will bring forth, but make me ready Lord, for whatever it may be” #Prayer for the #COVID2019 sick, the homebound, the lockeddown, the #ShelterInPlace, the #remoteworking, #remotelearning, the scared, the brave, #essentialservices",Massachusetts,shelterinplace
2020-03-15 22:20:48+00:00,Governor Baker says (Massachusetts) not planning any shelter in place orders. #CoronaVirusUpdates @MassGovernor @wbz,Massachusetts,shelterinplace
2020-03-26 22:28:08+00:00,"From @The_BMC outpatient pharmacy director. Get our patients to our in-state mail order division! Help people who can, shelter in place by getting medication delivered! What are other health systems doing to support their patients access to medication through #COVID19",Massachusetts,shelterinplace
2020-03-23 14:52:52+00:00,"As more states issue Stay-At-Home and shelter in place restrictions, we need mortgage, rent, and student loan payments (AND INTEREST) freezes.",Massachusetts,shelterinplace
2020-03-23 14:22:33+00:00,Medical marijuana dispensaries will remain open for patients during the shelter in place order in Massachusetts. Thank you @MassGovernor for considering medical marijuana an essential service and medicine in the Commonwealth. #mapoli,Massachusetts,shelterinplace
2020-03-23 14:08:41+00:00,"Important @WBUR @commonhealth story by @anthonygbrooks this morning on increasing pressure on @MassGovernor to issue #ShelterInPlace order, now 55 #maleg &amp; muni officials have signed letter, &amp; more doctors pushing for #StayAtHome including @gb_psr https://www.wbur.org/commonhealth/2020/03/17/baker-no-shelter-in-place-planned-will-send-5m-in-funds-to-local-boards-of-health #mapoli",Massachusetts,shelterinplace
2020-03-23 14:05:56+00:00,"Gov. Baker, please listen to the recommendations of epidemiologists, physicians, and a growing list of over 55 state and city officials and nearly 40,000 residents of the Commonwealth who are asking you to order #StayAtHome/#ShelterInPlace. https://www.repmikeconnolly.org/state_city_officials_call_baker_order_stay_at_home_shelter_in_place #ShutDownMA",Massachusetts,shelterinplace
2020-03-23 02:52:24+00:00,Massachusetts Needs A Shelter In Place. ,Massachusetts,shelterinplace
2020-03-21 18:50:14+00:00,"NO shelter-in-place order for Massachusetts. Gov Baker says in states with such an order, people are still going out to grocery stores, going out for walks, etc. He says current orders in MA for restaurants to do take-out only and limiting big gatherings are already “aggressive”",Massachusetts,shelterinplace
2020-03-21 17:52:14+00:00,"Well, this whole shelter in place thing has some benefits... just finished writing my team’s annual reviews ",Massachusetts,shelterinplace
2020-03-20 18:29:23+00:00,UPDATE @MassGovernor Says NO shelter in place order here in Massachusetts. #CoronaVirusUpdate,Massachusetts,shelterinplace
2020-03-20 16:31:29+00:00,".@NYGovCuomo says he doesn’t like the term “Shelter In Place” because it can cause panic, yet he’s ordering essentially that today - the time for MA to act was *days* ago ",Massachusetts,shelterinplace
2020-03-19 18:15:05+00:00,today’s #coronavirus heroism: my sister drove from Providence to Cambridge right before shelter in place set in to bring me a bike so that I can get to the hospital without breaking social distancing. A literal ride or die ,Massachusetts,shelterinplace
2020-03-18 20:27:24+00:00,"As you shelter in place don’t lose touch with the many social and professional communities that have always bonded us with strength, courage and the resolve to know we are never alone #BeStrong #Engage @CAIAAssociation @FdpInstitute #BeWell",Massachusetts,shelterinplace
2020-03-17 23:29:56+00:00,We are out of time. All we can do now is not let these deaths be in vain. #ShutItDown #ShelterInPlace @MassGovernor @MassGov,Massachusetts,shelterinplace
2020-03-17 20:04:32+00:00,#Mapoli Before any Shelter in place order comes down a comprehensive financial security package had to be passed. As livelihoods are being cut off at the neck some are still out there trying to get by. The governments in action and foot dragging got us here Now get us out.,Massachusetts,shelterinplace
