date,text,state,query_term
2020-05-06 19:56:00+00:00,I learned one thing today re: #StayAtHome and #ShelterInPlace during #COVID19: People need a remedial #driversed course!! Just about everyone I encountered in my brief foray for #essentialsupplies drove like a complete idiot! And beyond their complete lack of driving ability...,Alabama,shelterinplace
2020-05-05 18:03:33+00:00,I'm all for #ShelterInPlace to continue... I'm not happy that the traffic around here is ramping up again! ,Alabama,shelterinplace
2020-05-05 01:43:31+00:00,Everyday is Thatday #ShelterInPlace #StayHomeSaveLives,Alabama,shelterinplace
2020-05-04 17:43:43+00:00,Wow! daily projected #covid19 cases to go from 25K per day to 200K per day by June 1. Peaking? Naw. Flatten the curve? Naw. The mountain is in front of us. Not behind us. And this according to the #Trump administration. #ShelterInPlace. https://www.businessinsider.com/trump-administration-predicts-daily-virus-deaths-will-double-by-june-2020-5 #SmartNews,Alaska,shelterinplace
2020-05-09 21:36:32+00:00,"The Day is moving fast, and may be getting hungry #dadjokes #ShelterInPlace ",California,shelterinplace
2020-05-09 06:52:06+00:00,If this isn’t the cutest thing!!! #FireDrillFriday #TeacherLife #StayHome #ShelterInPlace #BeatCOVID19 ,California,shelterinplace
2020-05-09 00:10:52+00:00,I 100% agree with the quarantine but I have to say that my house is getting really boring!!! #ShelterInPlace,California,shelterinplace
2020-05-08 20:36:01+00:00,"Editing the recording of the last lecture for this semester. The hardest semester in my 13 years' career for sure. As I told my students, we will always remember this semester. #endofsemester #lastlecture #shelterinplace #onlineteaching #sjsu",California,shelterinplace
2020-05-08 16:42:22+00:00,The #coronavirus and #Covid_19 brought to you via #FastAndFurious memes!!! #ShelterInPlace #ReOpenAmerica #stupidpeople #stupidtrump #idiotpresident,California,shelterinplace
2020-05-08 08:13:31+00:00,Damn you #ShelterInPlace and Amazon! Guess who got a new cooking toy today? I’m so ready to try this out this weekend ,California,shelterinplace
2020-05-07 23:25:25+00:00,#ShelterInPlace thoughts: Rizzo from grease was 34 years old when the movie came out playing a high schooler...Sandy was 30....why is Hollywood like this? lol,California,shelterinplace
2020-05-07 15:34:09+00:00,"Day 53 #ShelterInPlace #FullFlowerMoon ""With (virtual) freedom, #books, #flowers, and the #moon who could not be happy?"" —Oscar Wilde Get out there and bask! #Pagan #NativeAmerican #WritersLife #WritingCommunity",California,shelterinplace
2020-05-07 14:28:10+00:00,True Story #pandemic #shelterinplace #pandemic2020 #stayhome #stayathome #funny https://www.instagram.com/p/B_49aBWAr2Z/?igshid=fyw99q99cdfl,California,shelterinplace
2020-05-07 02:31:56+00:00,9 Giratina raids was better than I was expecting for the 1st remote raid hour. Will stream again next Wednesday if we have another one http://twitch.tv/sakuratokito #PokemonGO #ShelterInPlace ,California,shelterinplace
2020-05-06 21:20:58+00:00,Having trouble figuring out how to create an engaging graduation ceremony for your students and families? Please reach out. We can help! #bettertogether #education #graduation #ceremony #video #editing #covid19 #coronavirus #stayathome #shelterinplace #calsa #acsa #ceremonies,California,shelterinplace
2020-05-06 15:18:27+00:00,That’s a wrap on my third #Quarantine project! You might like this one ⁦@chimythcast⁩ #ShelterInPlace #StayHomeSaveLives,California,shelterinplace
2020-05-05 18:12:11+00:00,"Being a #essentialworker is not lucky, we are at risk everyday being around our coworkers and the public. #shelterinplace is a privilage some of us cannot afford, if I could stay home and not end up homeless for doing so, I would.",California,shelterinplace
2020-05-05 05:08:22+00:00,This hurts honestly~ I know it’s better for us but I’m slowly dying inside. #ShelterInPlace #CoronavirusLockdown #artistsontwitter pic.twitter.com/tHK9OGF13u,California,shelterinplace
2020-05-05 04:43:04+00:00,"Sleeping on the job, neglecting my guard cat duties — #guardcat #sleepingonthejob #housecat #outdoorcat #lazycat #lifeisgood #shelterinplace #stayhome #acatslife #sleepingcat #letsleepingcatslie",California,shelterinplace
2020-05-05 04:36:28+00:00,#MayThe4thBeWithYou #BabyYoda Bored at home #ShelterInPlace pic.twitter.com/useAKjEH4y,California,shelterinplace
2020-05-04 22:17:46+00:00,"Meanwhile, somewhere in Asia... #ShelterInPlace #shenanigans",California,shelterinplace
2020-05-04 20:42:18+00:00,"I don’t know who deserves credit for this, but wow! Thank you @MacDougallDHS for sharing. #maythe4thbewithyou #shelterinplace #starwars",California,shelterinplace
2020-05-04 18:10:00+00:00,Shelter-in-Place Shiny #PokemonGO #PokemonGOShiny #ShelterInPlace ,California,shelterinplace
2020-05-08 15:48:58+00:00,If @Cosmopolitan only knew the half of it! #shelterinplace ,California,shelterinplace
2020-05-08 00:05:03+00:00,How many parents feel this way after being in #Lockdown? #SIP #ShelterinPlace #coronavirus #homeschooling #wine #Ineedwine,California,shelterinplace
2020-05-07 05:46:16+00:00,"Flowers from my garden: snowball viburnum 2 ways, nasturtium. #uskathome #ShelterInPlace #mayblooms #sanjoseca #gardensketching #flowerportraits",California,shelterinplace
2020-05-07 03:34:16+00:00,Appreciate those around you whether near or far. #TeacherAppreciation to our #Phenomenal staff @SolanoCOE #ShelterInPlace won’t stop the celebration! #Education4All #TeacherAppreciationWeek2020 #lifechangers ,California,shelterinplace
2020-05-07 00:19:04+00:00,Who needs coffee when I can run on adrenaline caused by emails in my inbox? #workfromhome #ShelterInPlace,California,shelterinplace
2020-05-06 23:07:14+00:00,"Just got back from interviewing community workers asisting families affected by #ShelterInPlace. It’s taking a toll economically on families. Thank God for all those serving the community. We need to open up, even with restrictions, but let Americans work. #opencalifornianow",California,shelterinplace
2020-05-06 22:38:27+00:00,I can get used to working from home. #WorkFromHome #SIP #ShelterInPlace #backyard #workingfromhome #WorkTrends,California,shelterinplace
2020-05-06 15:59:51+00:00,"Day 52 #ShelterInPlace Here's to a meaningful middle of the week and welcome to today's #WordWednesday Mellifluous (adj) (of a voice or words) sweet or musical; pleasant to hear. Having a smooth, rich flow. #WritersLife #WritingCommunity #AmWritingFiction #AmEditing",California,shelterinplace
2020-05-06 02:02:20+00:00,"What a damn tool, he’s a real POS #VoteBlue #ShelterInPlace ",California,shelterinplace
2020-05-06 02:00:58+00:00,Shelter-in-Place Shiny #PokemonGO #PokemonGOShiny #ShelterInPlace ,California,shelterinplace
2020-05-06 00:52:52+00:00,Shop local and support over 100 artists and artisans who display their work under one roof @ACCIGallery in @noshaberkeley @VisitBerkeley @VisitCA. It will have to be online shopping while we #ShelterInPlace ,California,shelterinplace
2020-05-05 21:37:57+00:00,"Me, too! Wow -- I'm loving these old episodes Makes #ShelterInPlace kinda joyful Warms my heart &amp; brings back so many good memories ",California,shelterinplace
2020-05-05 03:43:57+00:00,Go fish went to go fuck yourself zero to real quick tonight #ShelterInPlace,California,shelterinplace
2020-05-04 16:48:39+00:00,New blog up. :) Retweets help a lot. :) https://foramoreperfectamerica.blogspot.com/2020/05/a-path-to-reopening.html #ForAMorePerfectAmerica #Paulitics #COVID19 #ShelterInPlace #Economy #Lockdown,California,shelterinplace
2020-05-04 04:02:52+00:00,I guess some parts of #SanJose didnt get the #ShelterInPlace memo. This was Story &amp; King today. ,California,shelterinplace
2020-05-03 23:50:32+00:00,Japan locked down the country on April 16. Discuss. #ShelterInPlace #transmission #dynamics #reproductionnumber #VirusCorona #contained,California,shelterinplace
2020-05-03 19:00:13+00:00,Sunday Funday in the new zoom world. Catching up with my girls. #ShelterInPlace https://www.instagram.com/p/B_vJXINl67H/?igshid=5z2zspbz73j6,California,shelterinplace
2020-05-03 14:39:30+00:00,I get my joy from motivating you GOATS! I appreciate you guys for the effort every day! @goatfuel #shelterinplace #socialdistancing @nike https://www.instagram.com/p/B_urhXShoo7/?igshid=1rrzlrzk10wv2,California,shelterinplace
2020-05-07 23:14:59+00:00,Blunt Force TONIGHT#set your alarm! The hippie and I #discuss #police #gates #billgates #margaretsanger #plannedparenthood #eugenics #tyranny #covid19 #shelterinplace #vaccine #pandemic #plandemic #censorship… https://www.instagram.com/p/B_55sgHAS2M/?igshid=6v9n52bqohu6,California,shelterinplace
2020-05-07 22:47:00+00:00,How is your shelter? Is it your dream shelter what would be a non negotiable? #buyahouse#shelterinplace#homesweethome#pool#bighouselive https://www.instagram.com/p/B_52Q2xg3op/?igshid=p2teqvg99875,California,shelterinplace
2020-05-07 15:13:29+00:00,"Day 53 #ShelterInPlace #FullFlowerMoon ""With freedom, books, flowers, and the moon who could not be happy?"" —Oscar Wilde Get out there and bask! #Moon #Pagan #NativeAmerican #WritersLife #WritingCommunity",California,shelterinplace
2020-05-06 23:59:38+00:00,"Practicing our letters! I put blank white boards down with an item next to it or under it, and she has to write the letter that the item begins with. Bbbbb... Barbie. Llllllll.... lemon. #distancelearning #shelterinplace #notaprimaryteacher @DES_Shark_Pride @DublinUSD",California,shelterinplace
2020-05-06 22:56:03+00:00,There are many informal discovery techniques you can use to gather information while sheltering in place. Here are some common examples of informal discovery practices. Create a FREE CEB account to read: http://ow.ly/sGl550zz7jl #ceb #informaldiscovery #SIP #shelterinplace pic.twitter.com/ZZqN7bcqNH,California,shelterinplace
2020-05-05 23:27:19+00:00,This week on the blog: our transition to telehealth! We pivoted to full agency implementation of #telehealth within one week of California’s unprecedented #shelterinplace mandate. Read about our teams' brilliant solutions to new challenges: http://upliftfs.org/transition-to-telehealth/ #childwelfare,California,shelterinplace
