date,text,state,query_term
2020-05-05 18:03:33+00:00,I'm all for #ShelterInPlace to continue... I'm not happy that the traffic around here is ramping up again! ,Alabama,shelterinplace
2020-05-05 16:35:20+00:00,Going to go walk with some friends on a wide path trail. We no longer have a shelter in place order but I am at that point where I know I need to get back out there safely but can't seem to bring myself to want to leave the house.,Alabama,shelterinplace
2020-05-05 14:57:56+00:00,Be nice if the US navy was forced to self quarantine and shelter in place at “home”. The billions in savings could be spent on improving life for US taxpayers....,Alabama,shelterinplace
2020-05-05 13:16:49+00:00,If shelter in place works then why are they releasing the prisoners? Were they not sheltering in place? Couldn’t they wear masks ?#dontreleaseprisoners,Alabama,shelterinplace
2020-05-05 11:39:59+00:00,"You realize a lot of the people staying inside will eventually die of starvation, don't you? The UN is warning of a starvation pandemic...1 in 4 in the U.S. alone. Shelter in place only works for so long before even bigger problems arise...and that's what's happening now.",Alabama,shelterinplace
2020-05-05 02:57:59+00:00,Ga. cases near 29K days after shelter-in-place order expires http://a.msn.com/01/en-us/BB13zj0g?ocid=st2,Alabama,shelterinplace
2020-05-05 02:21:22+00:00,,Alabama,shelterinplace
2020-05-05 01:43:31+00:00,Everyday is Thatday #ShelterInPlace #StayHomeSaveLives,Alabama,shelterinplace
2020-05-03 07:59:46+00:00,@RoomsToGo Alabama is no longer on shelter in place. When will the stores open back up?,Alabama,shelterinplace
2020-05-03 02:35:18+00:00,Shelter in place is not a law.,Alabama,shelterinplace
2020-05-02 12:33:25+00:00,10 Guess-That-Movie Quotes - Play the game! I used movie quotes that fit the shelter-in-place experience. ,Alabama,shelterinplace
2020-05-01 17:44:28+00:00,Literally 6 hours after shelter in place is lifted and mask law goes into effect. THEY don’t care about nothin ,Alabama,shelterinplace
2020-05-01 10:59:06+00:00,"The scene was not a disgrace. It's our rights as Americans. You say they are traitors? I do not. I may not agree with shelter in place. I may not agree with leaving. But I agree that they damn well have the right to do what they did. If I wish to leave, I will. This isn't China",Alabama,shelterinplace
2020-05-01 07:08:45+00:00,"We're about to go from ""shelter in place"" to ""safer at home"". On top of that, our city is making face coverings mandatory if you're not in your house or car.",Alabama,shelterinplace
