date,text,state,query_term
2020-02-25 20:27:07+00:00,"Prepare for social distancing. Stock your cupboard and freezer now. Messonnier cautioned Americans to prepare for School Closings and/or working from home as efforts to contain and control #coronavirus spread in the U.S., if it accelerates.",DC,social distancing
2020-02-11 20:34:26+00:00,Glad we're doing #SDOH and not #SocialDistancing because @PublicHealth will be standing room only! @SLP4publichlth @choucair @BrianCCastrucci @AbdulElSayed @Tammiekboyd @somavasaha @shwoolf @MickCornett @RexArcherMD @SenSherrodBrown,DC,social distancing
2020-02-11 17:49:58+00:00,"12) @DrNancyM_CDC: “might be a situation of keeping kids home from school; teleschooling and telemedicine helps keep people from congregating for social distancing; maybe avoid mass gatherings; it’ll buy us more time for eventuality of vaccine, and avoid peaks on HC system”.",DC,social distancing
2020-02-11 17:34:23+00:00,"5) @DrNancyM_CDC: “We don’t have really good mitigation strategies yet, except social distancing, which are really difficult. Vaccine won’t be ready for 1 year.”",DC,social distancing
2020-02-26 16:52:07+00:00,"Don’t call me cold, aloof or impersonal. I’m just practicing #SocialDistancing on account of the #coronavirus. Kindness kills! ",Massachusetts,social distancing
2020-02-27 18:18:29+00:00,Social distancing is less “no handshakes” and more “don’t interact face-to-face.”,New York,social distancing
2020-02-24 17:57:32+00:00,"The ideas I’ve seen: • preparing for extended remote work and general social distancing, if possible, in order to slow infection rates to lessen the burden on limited healthcare resources • documenting tasks/processes and sharing them with at least two others",New York,social distancing
2020-02-25 20:27:07+00:00,"Prepare for social distancing. Stock your cupboard and freezer now. Messonnier cautioned Americans to prepare for School Closings and/or working from home as efforts to contain and control #coronavirus spread in the U.S., if it accelerates.",Washington,social distancing
2020-02-11 20:34:26+00:00,Glad we're doing #SDOH and not #SocialDistancing because @PublicHealth will be standing room only! @SLP4publichlth @choucair @BrianCCastrucci @AbdulElSayed @Tammiekboyd @somavasaha @shwoolf @MickCornett @RexArcherMD @SenSherrodBrown,Washington,social distancing
2020-02-11 17:49:58+00:00,"12) @DrNancyM_CDC: “might be a situation of keeping kids home from school; teleschooling and telemedicine helps keep people from congregating for social distancing; maybe avoid mass gatherings; it’ll buy us more time for eventuality of vaccine, and avoid peaks on HC system”.",Washington,social distancing
2020-02-11 17:34:23+00:00,"5) @DrNancyM_CDC: “We don’t have really good mitigation strategies yet, except social distancing, which are really difficult. Vaccine won’t be ready for 1 year.”",Washington,social distancing
