date,text,state,query_term
2020-03-28 23:17:32+00:00,The deer outside my door practicing social distancing ,Alabama,social distancing
2020-03-28 16:21:37+00:00,Bad social distancing,Alabama,social distancing
2020-03-28 14:55:06+00:00,"for sure, when life is currently not apocalyptic!! this whole social distancing thing, plus im on quarantine",Alabama,social distancing
2020-03-26 20:06:07+00:00,Day 12...I’ve seen more customers come through than I have when we weren’t social distancing...,Alabama,social distancing
2020-03-23 15:21:14+00:00,"Our social distancing has grown since last week! For anyone Irish, you can celebrate St Patrick everday. Look out for each other. Stay healthy @NiagaraUniv @NUCampusAct @NUMinistry @NUBrennanCenter",Alabama,social distancing
2020-03-17 20:45:45+00:00,Maintaining Social Distancing - Drinking an Attention Please! by @beardedirisbrew @MOC’s Meads &amp; Ales —,Alabama,social distancing
2020-03-14 21:15:40+00:00,This was taken today at Fort Laudedale Airport what happened to Social Distancing?? @CDCgov @VP @NYGovCuomo this is making the crisis worse!! #CoronaVirusUpdates #coronavirus,Alabama,social distancing
2020-03-14 02:47:34+00:00,"I’m sitting in the home office, social distancing, staring at a second failing Cisco CUCM PCD migration, on hold for TAC for 30 minutes (who obviously have more important issues to address) but hey... Tony Hawk and I are friends now, so... #Cisco #tonyhawk #QuarantineAndChill",Alabama,social distancing
2020-03-12 13:25:44+00:00,I was social distancing before it was cool,Alabama,social distancing
2020-03-30 04:12:26+00:00,wow it seems like so long since ive posted a countdown. however in the wake of @realDonaldTrump breifing this afternoon extending social distancing to 30 more days the countdown is still very temporary for @MartinsvilleSwy,Alabama,social distancing
2020-03-19 00:48:09+00:00,My sister just played the thotiana chorus on the piano and now she’s earned herself social distancing status until 2120,Alabama,social distancing
2020-03-15 16:36:16+00:00,Social distancing St. Patrick’s Day mini-Parade in Clarence Center! #StPatricksDayParade ,Alabama,social distancing
2020-03-15 15:07:46+00:00,"How about playing past @BuffaloSabres games from the 70’s, 80’s and 90’s while we’re all social distancing at home and there are no sports on TV?!",Alabama,social distancing
2020-03-30 17:12:47+00:00,"How is Bigfoot doing with social distancing? Has anyone checked in? FaceTimed? I haven’t heard from him in a while, getting worried",Alaska,social distancing
2020-03-30 04:07:37+00:00,Social distancing is working! Not only for #COVID19 but for the flu and cold as well,Alaska,social distancing
2020-03-26 21:18:32+00:00,"First time driving through Clarion in awhile and I’m appalled at how many people are out and about. I saw a group of 7 that just got Bob Sub, a group of 5 on a walk, and on and on... YOU’RE DOING SOCIAL DISTANCING WRONG!",Alaska,social distancing
2020-03-20 13:22:11+00:00,"Got to start my first week of social distancing taking Boomer, Peanut and Ella on a walk. @Clarion, Pennsylvania https://www.instagram.com/p/B99PsrpFgWx/?igshid=qf5i58vsl7s2",Alaska,social distancing
2020-03-17 13:32:23+00:00,#covid_19 #socialdistancing #sacrificeforthegreatergood #staythefuckhome #washyourhands #getvaccinated #criticalcare @Western Pennsylvania https://www.instagram.com/p/B91ieypBifzQvctRgHG-pE02KIKJjjuJA-drIY0/?igshid=buybx1jh4s7v,Alaska,social distancing
2020-03-30 14:37:06+00:00,That the phrase social distancing will stop being used!,California,social distancing
2020-03-30 14:20:19+00:00,This shit is legit and if you’re not social distancing and following none of the CDC guidelines then that’s on you. as a healthcare worker we expose ourselves to disease and illness everyday.,California,social distancing
2020-03-28 23:25:25+00:00,I switched from Texas to Kentucky goodness! Happy social distancing y'all! ,California,social distancing
2020-03-28 20:32:24+00:00,@rns1121 said the rooster social distancing ,California,social distancing
2020-03-27 02:02:25+00:00,Dr. Gilman enjoying fresh air and social distancing during a bike ride at Solomon’s Island. ,California,social distancing
2020-03-26 15:46:46+00:00,What a great day for a walking field trip to enjoy our local Myrtle Point Park! Social distancing with friends and siblings. #BetterTogether #HESHerons – at Myrtle Point State Park,California,social distancing
2020-03-26 14:14:50+00:00,"Social distancing everywhere, God when is this gonna end. I’m really curious to how life will come back to normal when this whole drama ends...",California,social distancing
2020-03-25 21:07:00+00:00,So very proud people are heeding @GovLarryHogan's social distancing orders. Picked up food at a local restaurant in Solomons and as people entered and waited they definitely kept their distance from each other.,California,social distancing
2020-03-24 22:23:42+00:00,"We’re physically distant while still being social, being virtually here to serve you and our community. Social distancing, redefined! @Joe Lockman - Mortgage Loan Officer https://www.instagram.com/p/B-Ig2TuJ_Oj/?igshid=1ahxrc4pppzpa",California,social distancing
2020-03-24 01:22:23+00:00,Social Distancing in Nature @St. Mary's River State Park https://www.instagram.com/p/B-GQgHoHeoE/?igshid=10a314pt31k8b,California,social distancing
2020-03-23 07:55:35+00:00,"They are saying (Plan, don’t panic). We are saying (Plan ahead, Calmly) Talk about social distancing. I’m calmly distancing myself in my man cave. Beautiful PEOPLE #coronavirus #helponline #COVIDー19",California,social distancing
2020-03-22 16:14:23+00:00,"@ShamrockOn weekend Day 2. Got 8.5 miles in with friends. It was a good time. #socialdistancing @Wildewood, Maryland https://www.instagram.com/p/B-Cs_fxBED-/?igshid=bw1o93bdsq3a",California,social distancing
